osmid,name,highway,oneway,reversed,length,ref,geometry,lanes,junction,bridge
139557020,Carrer del Raval,residential,False,True,4.976,,"LINESTRING (1.9842491 42.4626933, 1.9842654 42.4627364)",,,
199106210,Avinguda de Catalunya,primary,False,False,7.758,N-154,"LINESTRING (1.9842491 42.4626933, 1.9841594 42.4627154)",,,
199106210,Avinguda de Catalunya,primary,False,True,15.26,N-154,"LINESTRING (1.9842491 42.4626933, 1.9844247 42.462648)",,,
968248452,Carrer de l'Esport,residential,False,False,100.223,,"LINESTRING (1.9763353 42.462449, 1.977002 42.4616937)",,,
199106212,Avinguda de Catalunya,primary,False,False,91.89200000000001,N-154,"LINESTRING (1.9763353 42.462449, 1.9761217 42.4623535, 1.9753772 42.4620208)",,,
1075778005,Avinguda de Catalunya,primary,False,True,258.356,N-154,"LINESTRING (1.9763353 42.462449, 1.9768155 42.4626572, 1.9770584 42.4627359, 1.9772884 42.4627862, 1.9776801 42.4628343, 1.9787809 42.4629582, 1.979351 42.4630224)",,,
1104665105,Carrer de Puigcerdà,residential,False,True,77.473,,"LINESTRING (1.9763353 42.462449, 1.9763352 42.4625351, 1.9764152 42.4625922, 1.9768075 42.4627674, 1.9770445 42.4628423)",,,
236191787,,primary,True,False,8.337,N-154,"LINESTRING (1.9799302 42.4631414, 1.9798293 42.4631324)",1,,
1075778007,Passeig de Sant Guillem,unclassified,False,False,80.926,,"LINESTRING (1.9798962 42.4622569, 1.9798252 42.461531)",,,
139554116,Carrer dels Reis de Mallorca,residential,False,False,92.103,,"LINESTRING (1.9798962 42.4622569, 1.9800683 42.4622772, 1.9807719 42.4625269, 1.9809356 42.4625538)",,,
1075778007,Passeig de Sant Guillem,unclassified,False,True,75.53399999999999,,"LINESTRING (1.9798962 42.4622569, 1.9798662 42.4627336, 1.9797627 42.4629207)",,,
1075778006,Carrer de l'Esport,residential,False,False,100.823,,"LINESTRING (1.9798252 42.461531, 1.9810503 42.4616038)",,,
1075778007,Passeig de Sant Guillem,unclassified,False,True,80.926,,"LINESTRING (1.9798252 42.461531, 1.9798962 42.4622569)",,,
32974259,Passeig de Sant Guillem,unclassified,False,False,154.001,,"LINESTRING (1.9798252 42.461531, 1.9797881 42.461228, 1.9797321 42.4610842, 1.9797321 42.460913, 1.9797608 42.4604192, 1.9798195 42.4601571)",,,
"[139554123, 968248452]",Carrer de l'Esport,residential,False,True,261.706,,"LINESTRING (1.9798252 42.461531, 1.9777735 42.4612201, 1.977576 42.4612083, 1.9774733 42.4612252, 1.9773968 42.4612803, 1.977002 42.4616937)",,,
