osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,geometry,bridge,name,junction
"[889545721, 177848718]",False,2,N-340a,secondary,50,False,66.534,"LINESTRING (-5.381274 36.2133075, -5.3813562 36.2132293, -5.3814232 36.2131611, -5.381464 36.213109, -5.3815403 36.2129912, -5.3815568 36.2129658, -5.381623 36.2127881)",,,
889545733,True,2,,motorway_link,,False,43.456,"LINESTRING (-5.3850042 36.2069674, -5.3854655 36.2070865)",,,
889545732,True,2,,motorway_link,,False,18.874,"LINESTRING (-5.3854655 36.2070865, -5.385664 36.2071427)",,,
"[177633587, 22467484]",True,,,motorway_link,,False,104.82199999999999,"LINESTRING (-5.3854655 36.2070865, -5.38559 36.207161, -5.3856598 36.207201, -5.3856964 36.2072401, -5.3857751 36.2073536, -5.3858186 36.2074381, -5.3858314 36.2074629, -5.3858439 36.2074787, -5.3858967 36.2075423, -5.3860531 36.2077071, -5.3860784 36.2077337, -5.3860956 36.2077605, -5.3860957 36.2078049, -5.3860742 36.2078411)",,,
"[22691074, 889545731]",True,,,motorway_link,,False,138.896,"LINESTRING (-5.3859347 36.2071273, -5.3860192 36.2070939, -5.3860889 36.2070474, -5.3861628 36.2069873, -5.3862082 36.2069303, -5.3862403 36.2068621, -5.3862526 36.2068093, -5.3862564 36.2067464, -5.3862395 36.2066651, -5.386208 36.206601, -5.3861671 36.2065368, -5.3860514 36.2064479, -5.3857676 36.2062462, -5.3857352 36.2062001, -5.3857214 36.2061539)",yes,,
1211216116,True,2,CA-34,motorway_link,60,False,40.376999999999995,"LINESTRING (-5.3855238 36.2060114, -5.3853592 36.2058855, -5.3852088 36.2057524)",,,
1213855851,True,,,secondary,,False,5.396000000000001,"LINESTRING (-5.3822361 36.2123315, -5.3822198 36.2123316, -5.382206 36.2123316, -5.3821775 36.2123393)",,Glorieta de Cuatro Vientos,roundabout
22468251,True,1,,secondary_link,,False,11.051,"LINESTRING (-5.3821775 36.2123393, -5.3820545 36.212334)",,,
335361280,True,,,secondary,,False,13.491999999999997,"LINESTRING (-5.3821775 36.2123393, -5.3821533 36.2123537, -5.382136 36.2123735, -5.3821271 36.2123967, -5.3821277 36.212421, -5.3821376 36.2124439)",,Glorieta de Cuatro Vientos,roundabout
22466866,True,1,CA-34,motorway_link,,False,321.026,"LINESTRING (-5.3843269 36.2060106, -5.3842463 36.2061405, -5.3841931 36.2062032, -5.3840906 36.2062851, -5.3839526 36.2063602, -5.3838439 36.2064067, -5.3837025 36.2064539, -5.3834496 36.206529, -5.383177 36.206627, -5.3829092 36.2067389, -5.3826497 36.2068785, -5.3824733 36.2069835, -5.3823204 36.2070863, -5.3821448 36.2072183, -5.3820073 36.2073334, -5.3818899 36.2074434, -5.3817755 36.2075677, -5.381662 36.2077983)",,,
"[692491977, 22691077, 889545727]",True,2,CA-34,motorway_link,40,False,138.904,"LINESTRING (-5.3843269 36.2060106, -5.3843036 36.2061832, -5.3842962 36.2063552, -5.384308 36.2064349, -5.3843275 36.206495, -5.3843629 36.206581, -5.3843965 36.2066383, -5.3844522 36.2067086, -5.3845331 36.2067735, -5.3846361 36.2068423, -5.3847156 36.2068786, -5.3848001 36.2069142, -5.3850042 36.2069674)",yes,,
"[22467025, 933630899, 177844972]",True,"['1', '2']",CA-34,motorway_link,80,False,455.067,"LINESTRING (-5.3906851 36.2074118, -5.3896411 36.2075001, -5.3892432 36.2075148, -5.3890073 36.207512, -5.3888127 36.2074997, -5.388625 36.2074834, -5.3884453 36.2074651, -5.3882858 36.2074453, -5.3880228 36.2073958, -5.3878012 36.2073381, -5.3875306 36.2072551, -5.3872655 36.2071477, -5.3868509 36.2069161, -5.3863673 36.206613, -5.3860277 36.2063676)",,,
