osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,tunnel,access,junction
33301030,True,Carrer de Gaudí,residential,50,False,98.22,"LINESTRING (1.8331463 41.730427, 1.8332492 41.730337, 1.8339184 41.7297575)",,,,,
"[333227336, 356362492]",False,Carretera de Vic,secondary,50,False,58.459999999999994,"LINESTRING (1.8331463 41.730427, 1.8330204 41.7303626, 1.8327802 41.7302409, 1.8325639 41.7301312)","['4', '3']",,,,
333227336,False,Carretera de Vic,secondary,50,True,44.522,"LINESTRING (1.8331463 41.730427, 1.8333018 41.7305059, 1.8335889 41.7306533)",4,,,,
177636501,True,Plaça de l'Onze de Setembre,residential,,False,7.356,"LINESTRING (1.828424 41.7306831, 1.8283706 41.7307359)",,,,,
177636501,True,Plaça de l'Onze de Setembre,residential,,False,38.002,"LINESTRING (1.8283706 41.7307359, 1.8283061 41.7307704, 1.8282277 41.7307905, 1.8281491 41.7307928, 1.8280713 41.7307783, 1.8280103 41.7307524, 1.827962 41.7307181)",,,,,
34930423,True,Passeig de Pere III,residential,,False,51.279,"LINESTRING (1.827962 41.7307181, 1.8273441 41.7307124)",,,,,
185991262,True,Plaça de l'Onze de Setembre,residential,,False,21.802,"LINESTRING (1.827962 41.7307181, 1.8279229 41.7306711, 1.8279052 41.7306183, 1.8278984 41.7305849, 1.8279075 41.7305328)",,,,,
41267938,True,Passeig de Pere III,residential,,False,83.032,"LINESTRING (1.8284252 41.73049, 1.829287 41.7301832, 1.8293221 41.7301613)",,,,,
340253871,True,Plaça de l'Onze de Setembre,residential,,False,22.177,"LINESTRING (1.8284252 41.73049, 1.8284482 41.7305357, 1.8284529 41.7305626, 1.8284563 41.730582, 1.828424 41.7306831)",,,,,
229311944,True,Passeig de Pere III,residential,30,False,14.775,"LINESTRING (1.8262122 41.7305378, 1.8260344 41.7305448)",,,,,
184671964,True,Passeig de Pere III,residential,,False,22.191000000000003,"LINESTRING (1.8262122 41.7305378, 1.8261839 41.7305073, 1.8262022 41.7304383, 1.8262133 41.7303966, 1.8262738 41.730376)",1,,,,
177535419,True,Plaça Espanya,residential,30,False,70.913,"LINESTRING (1.8260344 41.7305448, 1.8259167 41.730621, 1.8257501 41.730693, 1.8254753 41.7307183, 1.8252991 41.7306603, 1.8252715 41.7306422)",,,,,
