osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,bridge,tunnel,width,access
"[61946786, 61945415]",True,Carrer de la Sèquia,residential,30,False,100.156,"LINESTRING (2.8197751 41.9831731, 2.8199333 41.9832298, 2.8202073 41.9833268, 2.820735 41.9834768, 2.8208979 41.9835062)",,,,,,,
295961278,False,Gran Via de Jaume I,residential,50,False,53.607,"LINESTRING (2.8197751 41.9831731, 2.8197445 41.9832531, 2.8197253 41.9833829, 2.8197196 41.9834998, 2.8197555 41.9835932, 2.8197865 41.9836423)",4,,,,,,
584778721,False,Gran Via de Jaume I,residential,50,True,55.92,"LINESTRING (2.8197751 41.9831731, 2.8197867 41.9830921, 2.8197928 41.9830556, 2.8198313 41.98279, 2.8198358 41.9827589, 2.8198411 41.9827244, 2.8198534 41.9826737)",4,,,,,,
61944467,True,Ronda de Sant Antoni Maria Claret,residential,30,False,120.57,"LINESTRING (2.8212126 41.9794077, 2.8212989 41.9793698, 2.8216587 41.9791904, 2.8222823 41.978878, 2.8223278 41.9788522, 2.8223837 41.9787767)",,,,,,,
"[61946483, 61945214]",True,Carrer de Joan Maragall,residential,30,False,89.11100000000002,"LINESTRING (2.8212126 41.9794077, 2.8212711 41.9794753, 2.821651 41.9798862, 2.8216656 41.9799023, 2.8216802 41.9799184, 2.8218181 41.9800707)",3,,,,,,
"[69748042, 412972485]",False,Carrer de Barcelona,secondary,40,False,175.046,"LINESTRING (2.8170253 41.9765872, 2.8170384 41.9766169, 2.8170785 41.9767047, 2.8171378 41.976851, 2.8173605 41.9774018, 2.8173703 41.9774261, 2.8176097 41.9780174, 2.8176408 41.9780934)",4,N-IIa,,,,,
188798421,False,Carrer de Barcelona,secondary,40,True,107.55600000000001,"LINESTRING (2.8170253 41.9765872, 2.8169854 41.9764865, 2.8169571 41.9764164, 2.8166852 41.9757276, 2.8166574 41.9756594)",4,N-IIa,,,,,
902047509,True,Carrer de la Creu,residential,30,False,51.385000000000005,"LINESTRING (2.8170253 41.9765872, 2.8172763 41.9765351, 2.817624 41.9764629)",,,,,,,
"[166571450, 166571451]",False,Gran Via de Jaume I,residential,50,False,36.474000000000004,"LINESTRING (2.8199239 41.98235, 2.8199145 41.9824059, 2.8198867 41.9825356, 2.8198741 41.9825854, 2.8198649 41.982623, 2.819862 41.9826317, 2.8198534 41.9826737)",4,,,,,,
166571453,False,Gran Via de Jaume I,residential,50,True,106.449,"LINESTRING (2.8199239 41.98235, 2.8199406 41.9822512, 2.8199499 41.9822187, 2.8199577 41.9821876, 2.8200253 41.9819223, 2.8201246 41.9815221, 2.8201295 41.9815009, 2.8201642 41.9814101)",4,,,,,,
61944758,False,Carrer del Riu Güell,residential,30,False,31.520999999999997,"LINESTRING (2.8153287 41.9831448, 2.8154261 41.9832408, 2.8155293 41.9833327, 2.815565 41.9833672)",2,,,,,,
61944758,False,Carrer del Riu Güell,residential,30,True,79.42199999999998,"LINESTRING (2.8153287 41.9831448, 2.81527 41.9830868, 2.8151012 41.9829329, 2.8150711 41.9829041, 2.8147867 41.9826322, 2.8147785 41.9826243, 2.8147696 41.9826188, 2.8147312 41.9825858)",2,,,,,,
"[61947604, 61948574]",True,Carrer dels Impressors Oliva,residential,30,False,139.60500000000002,"LINESTRING (2.8153287 41.9831448, 2.815396 41.9830858, 2.8160964 41.9821401, 2.8161643 41.9820554)",1,,,,,,
61943004,True,Carrer de Santa Eugènia,residential,50,False,44.085,"LINESTRING (2.8175139 41.9817238, 2.8171846 41.9815871, 2.8170481 41.9815307)",2,N-141e,,,,,
61948489,False,Carrer de la Sèquia,living_street,20,False,20.695999999999998,"LINESTRING (2.8222379 41.9837111, 2.8222833 41.9837185, 2.8223579 41.9837307, 2.8224824 41.9837512)",,,,,,,
412970467,False,Carrer de Barcelona,secondary,40,True,13.958,"LINESTRING (2.8190768 41.9816365, 2.8190277 41.9815164)",2,N-IIa,,,,,
61943550,False,Plaça del Marquès de Camps,secondary,,False,73.30799999999999,"LINESTRING (2.8190768 41.9816365, 2.8190397 41.9817351, 2.818974 41.9819069, 2.8188821 41.9821475, 2.8188776 41.9821678, 2.818839 41.9822715)",2,N-IIa,,,,,
"[67817611, 506463581, 61947391]",True,Plaça del Marquès de Camps,residential,30,False,94.096,"LINESTRING (2.8190768 41.9816365, 2.8191783 41.9819065, 2.819225 41.9820453, 2.8192795 41.9821916, 2.8192842 41.9822109, 2.8192329 41.9822969, 2.819172 41.9823379, 2.8190448 41.9823558)",,,,,,,
61946635,True,Rotonda d'Ultònia,residential,50,False,16.924999999999997,"LINESTRING (2.8225125 41.9788717, 2.8225096 41.9788585, 2.8225097 41.978845, 2.8225128 41.9788318, 2.8225188 41.9788191, 2.8225275 41.9788073, 2.8225375 41.9787977, 2.8225493 41.9787893, 2.8225627 41.9787823, 2.8225774 41.978777, 2.8225929 41.9787733, 2.8226091 41.9787713, 2.8226254 41.9787712)",1,,roundabout,,,,
165397209,True,Carrer d'Ultònia,residential,30,False,15.512,"LINESTRING (2.8225125 41.9788717, 2.8224569 41.9788058, 2.8223837 41.9787767)",1,,,,,,
"[61946161, 61947474, 61948573, 61946374]",True,"['Carrer de la Font del Rei', 'Baixada de la Font del Canó']",residential,50,False,153.61499999999998,"LINESTRING (2.8227491 41.9762425, 2.8228088 41.9762194, 2.8231278 41.976153, 2.8232015 41.9761392, 2.8232393 41.976121, 2.8232575 41.9761044, 2.8232727 41.9760765, 2.8233477 41.9758893, 2.8234571 41.975683, 2.823611 41.9754825, 2.8235194 41.9752798, 2.8234928 41.975226, 2.8234814 41.9752029)",,,,,,,
574289995,True,Carrer de la Rutlla,residential,30,False,90.467,"LINESTRING (2.8227491 41.9762425, 2.8225257 41.9755257, 2.8225119 41.9754815, 2.8225021 41.9754499)",,,,,,,
61946776,True,Carrer de la Creu,residential,30,False,46.855,"LINESTRING (2.8210872 41.9757437, 2.8215588 41.9756457, 2.8216331 41.9756303)",,,,,,,
61946214,False,Travessia de l'Auriga,living_street,20,False,51.104,"LINESTRING (2.8247651 41.9823312, 2.8247609 41.9823314, 2.8247337 41.9823469, 2.8245859 41.9824277, 2.824529 41.9824592, 2.8243517 41.9825208, 2.8242322 41.9825582)",,,,,,,
61946214,False,Travessia de l'Auriga,living_street,20,True,27.428,"LINESTRING (2.8247651 41.9823312, 2.8248133 41.9823097, 2.825009 41.9822261, 2.8250535 41.9822093)",,,,,,,
61946793,False,Plaça dels Bell-lloc,living_street,20,False,57.039,"LINESTRING (2.8247651 41.9823312, 2.8248149 41.9823841, 2.8248852 41.9824628, 2.8248304 41.982485, 2.8246277 41.9825806, 2.8247058 41.9826959)",,,,,,,
