osmid,oneway,name,highway,reversed,length,ref,maxspeed,geometry,junction,lanes,access
32402199,False,Paseo de los Curas,residential,False,4.467,,,"LINESTRING (-3.3673417 40.4773974, -3.3673914 40.477411)",,,
642264759,False,Vía Complutense,primary,True,51.660000000000004,N-II,50,"LINESTRING (-3.3622605 40.4859145, -3.3623023 40.4858979, -3.3624317 40.4858453, -3.3628 40.4856966)",,,
666041998,True,Rotonda Jerónimo de Sola,primary,False,13.845000000000002,N-II,50,"LINESTRING (-3.3622605 40.4859145, -3.3622302 40.48588, -3.3621865 40.4858551, -3.3621344 40.4858428)",roundabout,,
688183618,True,Calle del Tinte,residential,False,77.64699999999999,,,"LINESTRING (-3.3645031 40.4841906, -3.3646098 40.4843424, -3.3647958 40.4846047, -3.3648807 40.4847277, -3.364936 40.4848064)",,,
"[75810154, 75117828]",True,"['Calle del Ángel', 'Calle Talamanca']",residential,False,133.596,,,"LINESTRING (-3.364936 40.4848064, -3.3649802 40.4848733, -3.3649887 40.4848862, -3.3655476 40.4857319, -3.3656329 40.4858249, -3.3656855 40.4858585)",,,
745257209,False,Vía Complutense,primary,False,78.163,N-II,50,"LINESTRING (-3.364936 40.4848064, -3.3646667 40.4849087, -3.364456 40.4850106, -3.3642078 40.485138, -3.3641464 40.4851695)",,,
"[887296792, 91348386, 887296791]",False,Vía Complutense,primary,True,251.37999999999997,N-II,50,"LINESTRING (-3.364936 40.4848064, -3.3651972 40.4847332, -3.3658885 40.4846168, -3.3666019 40.4845139, -3.3667408 40.484501, -3.3668842 40.4844877, -3.3670901 40.4844711, -3.3672272 40.484463, -3.3673473 40.4844552, -3.3678558 40.4844224)",,,
23858696,True,Calle de Santiago,residential,False,47.241,,20,"LINESTRING (-3.3690575 40.4824601, -3.3685605 40.482654)",,1,
23859062,True,Vía Complutense,primary,False,47.043,N-II,50,"LINESTRING (-3.3619608 40.4860049, -3.3617477 40.4860951, -3.3614702 40.4862042)",,,
666039494,True,Rotonda Jerónimo de Sola,primary,False,17.614,N-II,50,"LINESTRING (-3.3619608 40.4860049, -3.3619855 40.4860395, -3.3620234 40.4860664, -3.3620705 40.4860828, -3.3621231 40.4860868)",roundabout,,
75117926,False,Calle Daoíz y Velarde,residential,True,30.5,,,"LINESTRING (-3.3699256 40.485151, -3.3697905 40.4852519, -3.3696683 40.4853432)",,2,
75482895,False,Calle Luis Astrana Marín,residential,True,55.228,,50,"LINESTRING (-3.3699256 40.485151, -3.3703193 40.4854576, -3.3703811 40.4855069)",,2,
667153577,False,Calle Luis Astrana Marín,residential,False,98.663,,50,"LINESTRING (-3.3699256 40.485151, -3.3698074 40.4850483, -3.3697369 40.4849847, -3.3692332 40.484554, -3.369157 40.4844836)",,3,
1014166659,True,,primary,False,5.357,,,"LINESTRING (-3.3688058 40.4844059, -3.3688112 40.4843579)",roundabout,2,
1013318325,False,Calle Luis Astrana Marín,residential,True,31.168999999999997,,50,"LINESTRING (-3.3688058 40.4844059, -3.3689413 40.4844213, -3.3690585 40.4844473, -3.369157 40.4844836)",,4,
19916361,True,Vía Complutense,primary,False,42.452,N-II,50,"LINESTRING (-3.3688112 40.4843579, -3.3692772 40.484216)",,2,
1014166656,True,,primary,False,6.013,,,"LINESTRING (-3.3688112 40.4843579, -3.3687736 40.484312)",roundabout,2,
1013318319,True,,primary,False,32.515,,,"LINESTRING (-3.3687736 40.484312, -3.3687045 40.4843033, -3.3686274 40.4843151, -3.3685081 40.4843569, -3.3684155 40.4843936)",roundabout,2,
"[77058971, 32900485]",True,"['Calle de Simón García de Pedro', 'Calle de la Cruz de Guadalajara']",residential,False,125.94200000000001,,,"LINESTRING (-3.3597706 40.4862131, -3.3597105 40.4861946, -3.358954 40.4859856, -3.3592868 40.4855882)",,,
32403159,True,Calle Cerrajeros,living_street,False,4.535,,,"LINESTRING (-3.3643483 40.4820398, -3.3644018 40.4820371)",,,
"[619862144, 23870257, 409578704]",True,"['Plaza de Cervantes', 'Plaza de Rodríguez Marín']",living_street,False,90.92099999999999,,,"LINESTRING (-3.3643483 40.4820398, -3.3642475 40.4818195, -3.3641871 40.4817122, -3.3641893 40.4816511, -3.364084 40.4812525)",,,
"[61238360, 656041138]",True,"['Calle de Carmen Calzado', 'Calle Cerrajeros']",living_street,False,224.556,,20,"LINESTRING (-3.3658865 40.4810617, -3.3658743 40.4811359, -3.3659046 40.4815322, -3.36594 40.4819011, -3.3650187 40.4819836, -3.3644018 40.4820371)",,1,
192156455,True,Calle de Santa Úrsula,living_street,False,153.92400000000004,,,"LINESTRING (-3.3658865 40.4810617, -3.365733 40.4810751, -3.3643723 40.4812221, -3.3641812 40.4812427, -3.364084 40.4812525)",,,
192156456,True,Calle Trinidad,residential,False,83.406,,,"LINESTRING (-3.3654345 40.4801837, -3.3663528 40.4799103)",,,
23869997,True,Calle Gallo,residential,False,105.354,,50,"LINESTRING (-3.3654345 40.4801837, -3.3658801 40.4809775, -3.3658865 40.4810617)",,,
23904436,True,Calle del Arcipreste de Hita,residential,False,95.27199999999999,,,"LINESTRING (-3.3654345 40.4801837, -3.3652221 40.4798328, -3.3648943 40.4794338)",,,
421819873,False,,residential,False,16.879,,,"LINESTRING (-3.3665364 40.4798508, -3.3663528 40.4799103)",,,
23904447,True,Calle de Santa Clara,residential,False,110.97999999999999,,,"LINESTRING (-3.3665364 40.4798508, -3.3664357 40.4794979, -3.366414 40.4792454, -3.3664409 40.479006, -3.3664968 40.4788688)",,,
355350993,True,Calle de la Cárcel Vieja,residential,False,72.33999999999999,,,"LINESTRING (-3.3665364 40.4798508, -3.366568 40.4798413, -3.3673321 40.4796122)",,,
61312530,False,Calle del Empecinado,residential,False,83.736,,,"LINESTRING (-3.36775 40.4794641, -3.3681698 40.4801461)",,,
23904423,True,Calle de Santa Catalina,residential,False,115.59799999999998,,50,"LINESTRING (-3.36775 40.4794641, -3.368262 40.4792911, -3.3690451 40.4791444)",,,
61312530,False,Calle del Empecinado,residential,True,83.736,,,"LINESTRING (-3.3681698 40.4801461, -3.36775 40.4794641)",,,
23869711,False,Calle de los Colegios,living_street,False,43.769000000000005,,30,"LINESTRING (-3.3619137 40.4815426, -3.3623268 40.481488, -3.3624231 40.4814733)",,,
23869711,False,Calle de los Colegios,living_street,True,234.255,,30,"LINESTRING (-3.3619137 40.4815426, -3.3618442 40.4815536, -3.3608234 40.4816929, -3.3601464 40.4817836, -3.3592395 40.481855, -3.3591773 40.4818596)",,,
23904598,False,Calle de San Pedro y San Pablo,living_street,False,101.653,,,"LINESTRING (-3.3619137 40.4815426, -3.3619375 40.4815948, -3.3624219 40.4823707)",,,
23869711,False,Calle de los Colegios,living_street,True,43.769000000000005,,30,"LINESTRING (-3.3624231 40.4814733, -3.3623268 40.481488, -3.3619137 40.4815426)",,,
408875678,False,Calle de los Colegios,living_street,False,133.596,,,"LINESTRING (-3.3624231 40.4814733, -3.3628551 40.4814108, -3.3631673 40.4813653, -3.3637915 40.4812804, -3.3639778 40.481262)",,,
408875679,False,Calle de Santo Tomás de Aquino,residential,False,159.74,,40,"LINESTRING (-3.3624231 40.4814733, -3.3624063 40.4814292, -3.3622992 40.4811573, -3.3621336 40.4808361, -3.3620873 40.4807545, -3.362045 40.4806699, -3.362024 40.4806279, -3.3618488 40.480278, -3.3617725 40.4801256)",,2,
23870217,False,Calle Trinidad,living_street,False,88.132,,,"LINESTRING (-3.3639778 40.481262, -3.3639614 40.481184, -3.36389 40.4808857, -3.3639153 40.4808398, -3.3641378 40.4806827, -3.3642712 40.4806019)",,,
408875678,False,Calle de los Colegios,living_street,True,133.596,,,"LINESTRING (-3.3639778 40.481262, -3.3637915 40.4812804, -3.3631673 40.4813653, -3.3628551 40.4814108, -3.3624231 40.4814733)",,,
