osmid,ref,highway,maxspeed,oneway,reversed,length,geometry,junction,name,lanes
30589477,C-253,secondary,50,False,True,16.27,"LINESTRING (3.0985573 41.8463484, 3.098518 41.846336, 3.0983764 41.8462914)",,,
30589542,C-253,secondary,40,True,False,22.843,"LINESTRING (3.0985573 41.8463484, 3.0987141 41.8463785, 3.0988256 41.8463956)",,,
581661325,C-253,secondary,40,True,False,12.863999999999999,"LINESTRING (3.0988256 41.8463956, 3.0988695 41.8463751, 3.0989188 41.8463635, 3.0989705 41.8463614)",roundabout,,
959154550,,residential,30,True,False,21.112,"LINESTRING (3.0989705 41.8463614, 3.0991431 41.8462217)",,Avinguda Costa Brava,
581661323,C-253,secondary,40,True,False,10.986,"LINESTRING (3.0989705 41.8463614, 3.099035 41.8463729, 3.0990912 41.8463991)",roundabout,,
30589515,C-253,secondary,50,True,False,30.296999999999997,"LINESTRING (3.0991539 41.8464748, 3.0992633 41.84655, 3.0994537 41.8466274)",,,
581661318,C-253,secondary,40,True,False,15.062000000000001,"LINESTRING (3.0991539 41.8464748, 3.0991606 41.8465197, 3.0991493 41.8465641, 3.0991211 41.846604)",roundabout,,
441639282,C-253,secondary,40,True,False,27.887,"LINESTRING (3.0994537 41.8466274, 3.0992136 41.8465966, 3.0991211 41.846604)",,,
"[581661306, 30589526]",C-253,secondary,50,False,False,72.818,"LINESTRING (3.0994537 41.8466274, 3.0994817 41.8466388, 3.0998377 41.8467512, 3.1002595 41.8468889)",,,2
302662418,C-253,secondary,40,True,False,36.039,"LINESTRING (3.1080348 41.8494199, 3.1082381 41.8494773, 3.1084502 41.8495138)",,,
536572743,C-253,secondary,50,False,True,111.265,"LINESTRING (3.1080348 41.8494199, 3.1079314 41.84938, 3.107707 41.8492964, 3.1068097 41.8490105)",,,2
581661320,C-253,secondary,40,True,False,9.999,"LINESTRING (3.0990912 41.8463991, 3.0991301 41.8464335, 3.0991539 41.8464748)",roundabout,,
"[581661313, 581661316]",C-253,secondary,40,True,False,14.780000000000001,"LINESTRING (3.0991211 41.846604, 3.0990917 41.8466281, 3.099056 41.846647, 3.0990142 41.8466602, 3.0989694 41.8466662)",roundabout,,
147184574,,residential,30,True,False,23.533,"LINESTRING (3.0989694 41.8466662, 3.0987822 41.8468254)",,Avinguda de Puig Sapera,
581661311,C-253,secondary,40,True,False,18.951,"LINESTRING (3.0989694 41.8466662, 3.098909 41.8466626, 3.0988527 41.8466459, 3.0988054 41.8466178, 3.0987765 41.8465901)",roundabout,,
30589513,C-253,secondary,40,True,False,12.338000000000001,"LINESTRING (3.098753 41.84649, 3.0987666 41.8464544, 3.0987913 41.8464224, 3.0988256 41.8463956)",roundabout,,
30589537,C-253,secondary,50,True,False,22.733999999999998,"LINESTRING (3.098753 41.84649, 3.0987001 41.8464372, 3.0985573 41.8463484)",,,
878380365,,living_street,20,True,False,78.457,"LINESTRING (3.1029233 41.8456288, 3.1021204 41.8452545)",,Passeig Josep Mundet,
