osmid,ref,name,highway,oneway,reversed,length,geometry,tunnel,junction,lanes
556373834,BI-3302,Zeharkalea,tertiary,False,False,69.416,"LINESTRING (-2.5055988 43.186687, -2.506441 43.1867994)",,,
556373834,BI-3302,Zeharkalea,tertiary,False,True,78.23599999999999,"LINESTRING (-2.5055988 43.186687, -2.505283 43.186623, -2.5050213 43.1865392, -2.5048904 43.1864976, -2.5046992 43.1864368)",,,
556373834,BI-3302,Zeharkalea,tertiary,False,True,56.526,"LINESTRING (-2.508766 43.1871121, -2.5085333 43.1870786, -2.5082254 43.1870375, -2.5080808 43.1870182)",,,
4389409,,Ongarai kalea,residential,False,False,152.55599999999998,"LINESTRING (-2.5052033 43.1890651, -2.5051256 43.189096, -2.5050655 43.1891173, -2.50492 43.189111, -2.5048545 43.1890792, -2.5048098 43.1890421, -2.504779 43.1889534, -2.5047296 43.1888259, -2.5046159 43.1887535, -2.5045768 43.1887371, -2.5044167 43.1886701, -2.5042726 43.1886476, -2.5041014 43.1886731, -2.5038971 43.1887622, -2.5038662 43.1888212, -2.5038935 43.188891)",,,
4389409,,Ongarai kalea,residential,False,True,23.008,"LINESTRING (-2.5052033 43.1890651, -2.5051803 43.1889802, -2.5051505 43.1888618)",,,
"[288759226, 56660434]",,"['Ongarai kalea', 'Betiondo kalea']",residential,False,True,335.4459999999999,"LINESTRING (-2.5052033 43.1890651, -2.5056212 43.1894514, -2.5061298 43.1899737, -2.5061831 43.1900285, -2.5063045 43.1902028, -2.5063829 43.1903153, -2.5064364 43.1903911, -2.5065815 43.1905955, -2.5068133 43.190492, -2.5069796 43.1904157, -2.5071728 43.1903238, -2.5073101 43.1902567, -2.507363 43.190229, -2.5074919 43.1901615, -2.507513 43.1901497, -2.5076314 43.1900833, -2.5077285 43.1900181, -2.5077607 43.1899962, -2.5077763 43.1899855, -2.507845 43.1899352, -2.5078928 43.1899094)",,,
4389409,,Ongarai kalea,residential,False,True,152.55600000000004,"LINESTRING (-2.5038935 43.188891, -2.5038662 43.1888212, -2.5038971 43.1887622, -2.5041014 43.1886731, -2.5042726 43.1886476, -2.5044167 43.1886701, -2.5045768 43.1887371, -2.5046159 43.1887535, -2.5047296 43.1888259, -2.504779 43.1889534, -2.5048098 43.1890421, -2.5048545 43.1890792, -2.50492 43.189111, -2.5050655 43.1891173, -2.5051256 43.189096, -2.5052033 43.1890651)",,,
26713745,,Hiriaren VI. mendeurrenaren kalea,tertiary,False,False,13.707,"LINESTRING (-2.504288 43.1865804, -2.5042639 43.1866033, -2.5041851 43.1866782)",,,
903737095,,Hiriaren VI. mendeurrenaren kalea,tertiary,True,False,21.725,"LINESTRING (-2.504288 43.1865804, -2.5043606 43.1865312, -2.5044058 43.1864641, -2.5044249 43.1864178)",,,
"[239499762, 239499763]",BI-2301,Zubiaurre Kalea,secondary,False,False,59.918000000000006,"LINESTRING (-2.5025855 43.1884986, -2.5025434 43.1885362, -2.502517 43.1885729, -2.5025074 43.1885893, -2.5024816 43.1886332, -2.5024753 43.1886438, -2.5023733 43.1887991, -2.5023267 43.1888688, -2.5022549 43.188979)",,,
