osmid,highway,junction,oneway,reversed,length,geometry,ref,name,maxspeed,lanes,width,access
32470847,primary,roundabout,True,False,46.11000000000001,"LINESTRING (3.1718622 42.2648241, 3.1718602 42.2647889, 3.1718704 42.2647483, 3.1718929 42.2647144, 3.1719172 42.2646921, 3.1719638 42.2646639, 3.1720067 42.2646477, 3.1720764 42.264638, 3.1721353 42.2646399, 3.1721937 42.2646536, 3.1722487 42.2646828)",,,,,,
"[137547752, 948425331, 810146509]",primary,,False,True,148.081,"LINESTRING (3.1718622 42.2648241, 3.1717281 42.2648563, 3.1715478 42.2648997, 3.1710329 42.2650238, 3.1702281 42.2652204, 3.1701522 42.2652389)",C-260,Avinguda de Rhode,,,,
133344365,primary,,True,False,34.794,"LINESTRING (3.1737565 42.2642516, 3.1739417 42.2639703)",C-260,Avinguda de Rhode,40,,,
32470271,primary,,False,True,38.488,"LINESTRING (3.1737565 42.2642516, 3.1736126 42.2643495, 3.1733805 42.2644548)",C-260,Avinguda de Rhode,40,,,
32470149,primary,,True,False,32.293,"LINESTRING (3.1722487 42.2646828, 3.1726367 42.2646393)",C-260,,,,,
948403174,primary,roundabout,True,False,10.634,"LINESTRING (3.1722487 42.2646828, 3.1722759 42.2647132, 3.1722888 42.2647402, 3.1722928 42.2647706)",,,,2,,
530270395,primary,roundabout,True,False,12.008,"LINESTRING (3.1722928 42.2647706, 3.1722908 42.2647925, 3.1722746 42.2648294, 3.1722376 42.2648679)",,,,2,,
32470271,primary,,False,False,3.104,"LINESTRING (3.1726367 42.2646393, 3.1726725 42.2646305)",C-260,Avinguda de Rhode,40,,,
78193302,primary,,True,False,31.844,"LINESTRING (3.1726367 42.2646393, 3.1722928 42.2647706)",C-260,,,,,
75031715,residential,,False,False,90.423,"LINESTRING (3.1722376 42.2648679, 3.1723726 42.2649047, 3.1724944 42.2649426, 3.1725251 42.2650346, 3.1727531 42.2655203)",,Carrer de Madrid,,,,
530270395,primary,roundabout,True,False,13.545000000000002,"LINESTRING (3.1722376 42.2648679, 3.1722026 42.2648922, 3.1721519 42.2649102, 3.1720932 42.2649207)",,,,2,,
37423359,residential,,True,False,122.869,"LINESTRING (3.1785507 42.2602731, 3.1785912 42.2603089, 3.1795089 42.2611205)",,Carrer de Francesc Macià,,,,
128117073,primary,,True,False,34.748000000000005,"LINESTRING (3.1785507 42.2602731, 3.1785811 42.2602596, 3.1787377 42.2601902, 3.1789012 42.2600996)",C-260,Avinguda de Rhode,,2,,
32470197,tertiary,,False,True,150.274,"LINESTRING (3.177399 42.2665055, 3.1778298 42.2661788, 3.1778983 42.2661291, 3.1784223 42.2657489, 3.1786933 42.2655522)",,Gran Via de Pau Casals,,,,
1066237003,tertiary,roundabout,True,False,16.401,"LINESTRING (3.177399 42.2665055, 3.1774122 42.2665449, 3.1774288 42.2665885, 3.1774283 42.2666501)",,,,2,,
37423413,residential,,False,False,33.625,"LINESTRING (3.1774283 42.2666501, 3.1775662 42.2666685, 3.1777845 42.2667842)",,Carretera del Mas Oliva,,,,
946479960,tertiary,roundabout,True,False,33.86,"LINESTRING (3.1774283 42.2666501, 3.1774035 42.2666838, 3.1773613 42.2667204, 3.1773054 42.2667449, 3.1772418 42.2667547, 3.1771774 42.2667487, 3.177119 42.2667276, 3.1770944 42.2667094)",,,,2,,
33820701,residential,,False,False,43.487,"LINESTRING (3.1765992 42.266337, 3.176364 42.2663079, 3.176074 42.2663092)",,Carretera del Mas Oliva,,,4,
33820701,residential,,False,True,49.109,"LINESTRING (3.1765992 42.266337, 3.1768421 42.2663879, 3.1770987 42.266448, 3.1771659 42.266473)",,Carretera del Mas Oliva,,,4,
84829635,residential,,True,False,162.88299999999998,"LINESTRING (3.1765992 42.266337, 3.1760997 42.2667009, 3.1754975 42.2671439, 3.1753729 42.2672354, 3.1751857 42.2673623)",,Carrer Benet Falp i Matas,,,,
136508180,residential,,True,False,14.676,"LINESTRING (3.1758958 42.2663038, 3.176074 42.2663092)",,Carretera del Mas Oliva,,,4,
37289655,residential,,True,False,98.92399999999999,"LINESTRING (3.1758958 42.2663038, 3.176002 42.2662562, 3.1769239 42.2658427)",,Carrer del Doctor Ferran,,,,
84829632,residential,,False,False,38.743,"LINESTRING (3.1737656 42.2665587, 3.1741762 42.2667292)",,Ronda de Miquel Oliva i Prat,,,,
291814801,residential,,False,False,45.695,"LINESTRING (3.1737656 42.2665587, 3.1733056 42.2663285)",,Ronda de Miquel Oliva i Prat,,,4,
291814801,residential,,False,True,42.260000000000005,"LINESTRING (3.1737656 42.2665587, 3.1738814 42.2667275, 3.1739033 42.2668122, 3.1738925 42.2669164)",,Ronda de Miquel Oliva i Prat,,,4,
84829668,residential,,False,False,31.277,"LINESTRING (3.1738925 42.2669164, 3.1741762 42.2667292)",,Carrer Granada,,,,
291814801,residential,,False,True,8.254,"LINESTRING (3.1738925 42.2669164, 3.1738466 42.2669824)",,Ronda de Miquel Oliva i Prat,,,4,
291814801,residential,,False,False,42.260000000000005,"LINESTRING (3.1738925 42.2669164, 3.1739033 42.2668122, 3.1738814 42.2667275, 3.1737656 42.2665587)",,Ronda de Miquel Oliva i Prat,,,4,
564433520,residential,,True,False,5.689,"LINESTRING (3.1740711 42.267198, 3.1741287 42.2671697)",,Carrer Toledo,,,4,
291814801,residential,,False,False,8.254,"LINESTRING (3.1738466 42.2669824, 3.1738925 42.2669164)",,Ronda de Miquel Oliva i Prat,,,4,
