osmid,highway,junction,oneway,reversed,length,geometry,lanes,name,maxspeed,width,bridge
188447705,residential,roundabout,True,False,12.347999999999999,"LINESTRING (-1.6798802 42.803011, -1.67994 42.8030451, -1.6800118 42.8030625)",,,,,
24424115,residential,,True,False,67.75,"LINESTRING (-1.6800118 42.8030625, -1.6800874 42.8031544, -1.6800921 42.8031658, -1.6802839 42.8036352)",1,Avenida Plaza Norte,30,10,
815392356,residential,roundabout,True,False,17.586,"LINESTRING (-1.6800118 42.8030625, -1.6800837 42.8030619, -1.6801515 42.8030444, -1.6802082 42.8030121)",,,,,
31644822,residential,,True,False,93.285,"LINESTRING (-1.6766457 42.8029236, -1.6766909 42.8030115, -1.677048 42.8036013, -1.6770866 42.8036968)",1,Calle de Remiro de Goñi,30,,
31858073,residential,,False,True,151.37199999999999,"LINESTRING (-1.6766457 42.8029236, -1.6767376 42.8028708, -1.6775042 42.8026495, -1.6782566 42.8024223, -1.6783518 42.802397)",2,Calle de Remiro de Goñi,30,,
654290551,residential,,False,False,118.942,"LINESTRING (-1.6766457 42.8029236, -1.6764929 42.8029676, -1.6754574 42.8033095, -1.6753151 42.8033603)",2,Calle de Remiro de Goñi,30,,
883061212,residential,roundabout,True,False,9.253,"LINESTRING (-1.6753397 42.8071493, -1.6753294 42.8071902, -1.675331 42.8072318)",2,,40,,
134780220,residential,roundabout,True,False,13.998000000000001,"LINESTRING (-1.6755735 42.8074018, -1.6756591 42.8073974, -1.6757384 42.8073734)",2,,40,,
23528557,residential,,True,False,18.372,"LINESTRING (-1.6757384 42.8073734, -1.6759543 42.8074204)",2,Calle Miluze,40,,
134780220,residential,roundabout,True,False,21.804,"LINESTRING (-1.6757384 42.8073734, -1.6757946 42.8073396, -1.6758364 42.8072959, -1.6758608 42.8072457, -1.675866 42.8072098)",2,,40,,
883061212,residential,roundabout,True,False,14.235,"LINESTRING (-1.6757065 42.8070248, -1.675622 42.8070088, -1.675535 42.8070134)",2,,40,,
883061212,residential,roundabout,True,False,22.936000000000003,"LINESTRING (-1.675535 42.8070134, -1.6754693 42.8070318, -1.6754125 42.8070621, -1.6753682 42.8071022, -1.6753397 42.8071493)",2,,40,,
883061215,residential,,True,False,23.53,"LINESTRING (-1.675535 42.8070134, -1.6753735 42.8069348, -1.6753003 42.8068908)",1,Calle Miluze,50,,
163491608,residential,,True,False,22.65,"LINESTRING (-1.675331 42.8072318, -1.6752766 42.8073177, -1.6751838 42.8074028)",2,Calle Ermitagaña,50,,
"[892781688, 883061213]",residential,roundabout,True,False,29.403,"LINESTRING (-1.675331 42.8072318, -1.6753579 42.8072949, -1.6754117 42.8073479, -1.6754864 42.8073849, -1.6755735 42.8074018)",2,,40,,
"[883061216, 883061217]",residential,roundabout,True,False,31.887999999999998,"LINESTRING (-1.677249 42.8063253, -1.6773226 42.8063446, -1.6774008 42.8063461, -1.6774756 42.8063297, -1.6775398 42.8062969, -1.6775867 42.806251)",2,,40,,
134780235,residential,roundabout,True,False,32.204,"LINESTRING (-1.6772729 42.8059992, -1.6772059 42.8060298, -1.6771554 42.8060744, -1.6771267 42.8061283, -1.6771226 42.8061862, -1.6771436 42.806242)",2,,40,,
