osmid,oneway,lanes,highway,reversed,length,geometry,name,maxspeed,ref,junction,width,est_width,tunnel
452742893,True,1,secondary_link,False,38.29,"LINESTRING (-6.0730927 37.3846869, -6.073148 37.3846851, -6.073267 37.3846755, -6.0733969 37.384665, -6.0734606 37.3846686, -6.0734951 37.3846782, -6.073521 37.3846854)",,,,,,,
452742894,True,1,secondary_link,False,55.34100000000001,"LINESTRING (-6.0741168 37.3844672, -6.0739245 37.3845348, -6.07372 37.3845668, -6.0736622 37.3845759, -6.0735704 37.3845902, -6.0735357 37.3846179, -6.0735347 37.3846226)",,,,,,,
452742895,True,1,secondary,False,63.185,"LINESTRING (-6.0741168 37.3844672, -6.0737121 37.3845347, -6.0736547 37.3845435, -6.0734166 37.3845827)",Avenida de Europa,50,,,,,
23075612,True,2,secondary,False,13.538,"LINESTRING (-6.0829869 37.3833062, -6.0829152 37.3834138)",Avenida Colón,50,A-8062,,,,
23075577,True,2,secondary,False,19.462,"LINESTRING (-6.0829869 37.3833062, -6.0830181 37.3833308, -6.0830568 37.3833476, -6.0830999 37.3833552, -6.0831438 37.3833529, -6.0831852 37.3833409)",Rotonda de Ochoa,50,A-8062,roundabout,,,
153326300,True,,secondary,False,9.046,"LINESTRING (-6.0816051 37.3853009, -6.081633 37.3853165, -6.0816658 37.385324, -6.0816999 37.3853227)",,,A-8062,roundabout,,,
"[539522976, 153326322]",True,"['1', '2']",secondary,False,56.762,"LINESTRING (-6.0816051 37.3853009, -6.0815404 37.3854104, -6.0815027 37.3854951, -6.0813769 37.3857776)",Avenida Colón,50,A-8062,,,,
"[79435216, 370101641]",True,,residential,False,237.31400000000002,"LINESTRING (-6.081261 37.3859803, -6.0815468 37.3860206, -6.0822006 37.3861025, -6.0832743 37.3862341, -6.0838559 37.3863231, -6.0839102 37.386331)",Calle Isidoro Castaño,,,,,,
153326307,False,2,secondary,False,35.591,"LINESTRING (-6.081261 37.3859803, -6.081208 37.3860539, -6.0810879 37.3862206, -6.0810609 37.3862581)",Avenida Colón,50,A-8062,,,,
153326307,False,2,secondary,True,24.757,"LINESTRING (-6.081261 37.3859803, -6.0813595 37.3858081, -6.0813769 37.3857776)",Avenida Colón,50,A-8062,,,,
303111408,True,1,secondary,False,33.358000000000004,"LINESTRING (-6.0801976 37.3896208, -6.0802054 37.3895002, -6.0802169 37.3893212)",Calle Virgen del Pilar,50,A-8062,,,,
303111413,False,2,secondary,False,35.251000000000005,"LINESTRING (-6.0801976 37.3896208, -6.0801962 37.3897174, -6.0801942 37.3898582, -6.0801931 37.3899378)",Calle Virgen del Pilar,50,A-8062,,,,
71890826,False,,residential,False,13.714,"LINESTRING (-6.0798621 37.3907173, -6.0797247 37.3906599)",Avenida del Torrejón,,,,,,
310157968,True,,secondary_link,False,34.129,"LINESTRING (-6.0798621 37.3907173, -6.0798191 37.390791, -6.0798089 37.3908581, -6.0799129 37.3909929)",,,,,,,
71890826,False,,residential,True,196.02699999999996,"LINESTRING (-6.0775623 37.3903084, -6.0780124 37.3903144, -6.0783898 37.3903826, -6.0790211 37.3905055, -6.0792231 37.3905432, -6.0794339 37.390585, -6.0796565 37.3906362, -6.0796943 37.3906448, -6.0797247 37.3906599)",Avenida del Torrejón,,,,,,
79715907,True,,residential,False,13.240000000000002,"LINESTRING (-6.0775623 37.3903084, -6.0775401 37.3902687, -6.0775021 37.3902374, -6.0774666 37.390222)",,,,roundabout,,,
71890828,False,,residential,False,165.816,"LINESTRING (-6.0772535 37.3903213, -6.0767268 37.3904508, -6.0760774 37.3906934, -6.0759605 37.3907349, -6.0758005 37.3907862, -6.0756251 37.3908082, -6.0755408 37.3908146, -6.0754959 37.390818)",Avenida del Torrejón,,,,,,
79715907,True,,residential,False,20.281,"LINESTRING (-6.0772535 37.3903213, -6.0772554 37.3903647, -6.0772693 37.3903958, -6.0773024 37.3904304, -6.0773716 37.3904601)",,,,roundabout,,,
339424767,False,,residential,False,38.618,"LINESTRING (-6.0745596 37.3904422, -6.0743856 37.3907608)",Avenida del Cortijuelo Alto,,,,,,
71890828,False,,residential,True,93.24099999999999,"LINESTRING (-6.0745596 37.3904422, -6.0748467 37.3905809, -6.0751604 37.3907321, -6.0753738 37.3907867, -6.0754959 37.390818)",Avenida del Torrejón,,,,,,
339424768,False,,residential,False,106.013,"LINESTRING (-6.0745596 37.3904422, -6.0744118 37.3903557, -6.0737836 37.3899878, -6.0735936 37.3898766)",Calle Alcalde Francisco Fernández Montiel,,,,,,
515815779,False,2,residential,True,104.43299999999999,"LINESTRING (-6.0745596 37.3904422, -6.0745809 37.3903483, -6.0745857 37.390327, -6.0746049 37.390242, -6.0747391 37.3900314, -6.0749126 37.3897593, -6.0750233 37.3895856)",Avenida del Cortijuelo Alto,,,,,,
348488135,True,,residential,False,7.494,"LINESTRING (-6.0802362 37.388937, -6.0803208 37.3889419)",Calle Pizarro,,,,,,
303111406,True,1,secondary,False,31.595,"LINESTRING (-6.0802362 37.388937, -6.0802186 37.3890369, -6.0802116 37.3890764, -6.0801541 37.3892123)",Avenida Colón,50,A-8062,,,,
71890834,True,1,residential,False,228.63,"LINESTRING (-6.0828333 37.3885822, -6.0807268 37.3882848, -6.0803967 37.3882823, -6.0802785 37.3882829)",Calle Cazalleja de Almanzor,,,,,,
416702560,False,2,residential,True,26.505000000000003,"LINESTRING (-6.0828333 37.3885822, -6.0828834 37.3884698, -6.0829297 37.3883565)",Calle José Villegas,,,,5,,
540221783,False,2,residential,True,52.586,"LINESTRING (-6.0828333 37.3885822, -6.0830215 37.388623, -6.0832234 37.3886792, -6.0833967 37.3887333)",Calle Romero Ressendi,,,,3.5,,
153326307,False,2,secondary,True,32.014,"LINESTRING (-6.0802785 37.3882829, -6.0802687 37.3879951)",Avenida Colón,50,A-8062,,,,
153326307,False,2,secondary,False,40.67,"LINESTRING (-6.0802785 37.3882829, -6.0802823 37.3883642, -6.0802854 37.3884303, -6.0802958 37.3886484)",Avenida Colón,50,A-8062,,,,
307347747,False,1,residential,False,91.676,"LINESTRING (-6.0802785 37.3882829, -6.0801396 37.3882588, -6.0798688 37.3881535, -6.0795975 37.3880479, -6.079402 37.3879719, -6.0793353 37.387946)",Calle San Ginés,,,,,,
71890838,False,2,residential,False,33.877,"LINESTRING (-6.0836446 37.3868808, -6.0835554 37.3871771)",Calle José Villegas,,,,4,,
77417769,True,,residential,False,241.63299999999998,"LINESTRING (-6.0836446 37.3868808, -6.0822091 37.3866112, -6.0814803 37.3864764, -6.0809882 37.3863653)",Calle Vázquez Díaz,,,,,,
135255009,False,2,residential,False,66.60000000000001,"LINESTRING (-6.0836446 37.3868808, -6.0836977 37.3868502, -6.0838282 37.3864857, -6.0838757 37.3863945, -6.0839102 37.386331)",Calle José Villegas,,,,,,
71890841,False,,residential,False,32.282,"LINESTRING (-6.083089 37.3914225, -6.0830037 37.3913284, -6.0828755 37.3911869)",Calle Hermanos Pinzón,,,,,,
309399226,False,,residential,True,35.152,"LINESTRING (-6.083089 37.3914225, -6.0831566 37.3915064, -6.0834235 37.3915501)",Calle Camino de Belma,,,,,,
78709945,False,,residential,False,38.298,"LINESTRING (-6.0824673 37.3907764, -6.0827064 37.3904891)",Calle Galicia,,,,,,
545609222,False,,living_street,False,25.655,"LINESTRING (-6.0824673 37.3907764, -6.082204 37.3906791)",Calle Hermanos Pinzón,,,,,,
71890841,False,,residential,True,58.514,"LINESTRING (-6.0824673 37.3907764, -6.082635 37.3909103, -6.08268 37.3909448, -6.0828755 37.3911869)",Calle Hermanos Pinzón,,,,,,
"[310047400, 159798871]",False,,residential,False,160.72000000000003,"LINESTRING (-6.0786976 37.3887802, -6.0785193 37.3891135, -6.0786226 37.3892095, -6.0785874 37.3898804, -6.0789463 37.3898932)","['Calle Virgen de Lourdes', 'Calle Virgen de los Reyes']",,,,,,
310047395,False,,residential,False,37.775999999999996,"LINESTRING (-6.0786976 37.3887802, -6.0785074 37.3887405, -6.0783049 37.3886523)",Avenida San José,,,,,,
