osmid,oneway,name,highway,reversed,length,ref,geometry,bridge,maxspeed,lanes,width
100135150,False,Carrer Estanys de Pallars,residential,False,45.812,,"LINESTRING (1.1331336 42.4083757, 1.1326567 42.4081618)",,,,
134199978,False,Carretera de la Seu d'Urgell,primary,False,238.262,N-260,"LINESTRING (1.1331336 42.4083757, 1.1328914 42.4086378, 1.1327693 42.4087368, 1.132618 42.4088277, 1.132308 42.4089295, 1.1319894 42.4090048, 1.1311575 42.4092077, 1.1309359 42.4092647, 1.1308192 42.4092917, 1.1306429 42.4093421)",,,,
27883162,False,Camí del Pont Vell,unclassified,False,9.499,,"LINESTRING (1.1306429 42.4093421, 1.1305762 42.4092723)",,,,
134199978,False,Carretera de la Seu d'Urgell,primary,True,238.262,N-260,"LINESTRING (1.1306429 42.4093421, 1.1308192 42.4092917, 1.1309359 42.4092647, 1.1311575 42.4092077, 1.1319894 42.4090048, 1.132308 42.4089295, 1.132618 42.4088277, 1.1327693 42.4087368, 1.1328914 42.4086378, 1.1331336 42.4083757)",,,,
"[134199976, 568316539, 135405485]",False,"['Carrer Agustí Muxí i Monroset', ""Carretera de la Seu d'Urgell""]",primary,False,57.660000000000004,N-260,"LINESTRING (1.1306429 42.4093421, 1.1305808 42.4093588, 1.130051 42.4094928, 1.1300282 42.4094976, 1.1299786 42.4095103)",yes,,,
134199976,False,Carrer Agustí Muxí i Monroset,primary,False,11.684,N-260,"LINESTRING (1.1292189 42.4098402, 1.1291289 42.4099216)",,,,
100135158,False,Carrer Emili Riu i Periquet,residential,False,215.869,,"LINESTRING (1.1292189 42.4098402, 1.1290856 42.4097597, 1.128897 42.4094879, 1.1286904 42.40917, 1.1285829 42.4089661, 1.1285716 42.4088508, 1.1288133 42.4080486)",,,,
134199976,False,Carrer Agustí Muxí i Monroset,primary,True,64.22,N-260,"LINESTRING (1.1292189 42.4098402, 1.1294382 42.4096754, 1.1296549 42.4095875, 1.1298106 42.4095511, 1.1298666 42.409538)",,,,
727513508,False,Carretera de la Pobla de Segur,primary,True,3.932,N-260,"LINESTRING (1.128733 42.4102992, 1.1286954 42.4102773)",,50,,
19848194,False,Avinguda Comtes de Pallars,primary,False,237.358,C-13,"LINESTRING (1.128733 42.4102992, 1.1288231 42.4103535, 1.1294884 42.4107546, 1.1297984 42.4109392, 1.1298257 42.4109536, 1.1298874 42.4109895, 1.1301114 42.4111199, 1.1305508 42.4113695, 1.1305983 42.4113963, 1.1308064 42.4115054, 1.1310131 42.4116104)",,50,2,7
"[134199976, 176385369, 28094338, 28094339]",False,"['Eix Pirinenc', 'Carrer Agustí Muxí i Monroset']",primary,True,53.120999999999995,N-260,"LINESTRING (1.128733 42.4102992, 1.1287627 42.4102726, 1.1287844 42.4102514, 1.1290142 42.4100336, 1.1290425 42.410009, 1.1290879 42.4099672, 1.1291289 42.4099216)",yes,,,
19848194,False,Avinguda Comtes de Pallars,primary,False,3.379,C-13,"LINESTRING (1.1318001 42.4120173, 1.1318262 42.4120408)",,50,2,7
19848194,False,Avinguda Comtes de Pallars,primary,True,24.520000000000003,C-13,"LINESTRING (1.1318001 42.4120173, 1.1317339 42.4119694, 1.1316626 42.4119251, 1.1315714 42.4118761)",,50,2,7
136663411,True,Carrer Francesc Moragas,living_street,False,63.186,,"LINESTRING (1.1318001 42.4120173, 1.131361 42.4122854, 1.1313076 42.412318, 1.1311954 42.4123673)",,,,
100152868,True,Carrer del Doctor Carles Pol i Aleu,tertiary,False,11.336,C-147a,"LINESTRING (1.1313403 42.4129522, 1.1313568 42.4129991, 1.131394 42.413045)",,,,
136663412,False,Carrer Major,residential,True,41.535,,"LINESTRING (1.1313403 42.4129522, 1.1312636 42.4129166, 1.1312019 42.4128536, 1.1310676 42.4126473)",,,,
1087867725,False,Avinguda Comtes de Pallars,primary,True,2.953,C-13,"LINESTRING (1.1320983 42.4123684, 1.1320838 42.4123441)",,50,2,7
25347798,True,Carrer del Doctor Carles Pol i Aleu,tertiary,False,91.414,,"LINESTRING (1.1320983 42.4123684, 1.1315156 42.4127625, 1.1313843 42.4128558, 1.131347 42.4129028, 1.1313403 42.4129522)",,,,
28094331,False,Avinguda de la Generalitat,primary,False,253.62899999999993,C-13,"LINESTRING (1.1320983 42.4123684, 1.1321381 42.4124359, 1.1321678 42.4124976, 1.1321924 42.4125508, 1.1322245 42.4126285, 1.1322811 42.4127794, 1.1323777 42.4130379, 1.1324659 42.4132785, 1.1325589 42.4135276, 1.132595 42.4136337, 1.1326396 42.4137619, 1.1326737 42.4138819, 1.1326879 42.4139703, 1.1326962 42.4140732, 1.1326967 42.4141419, 1.1326897 42.4142165, 1.1326758 42.4142878, 1.1326574 42.4143755, 1.132626 42.4144743, 1.1326034 42.4145372, 1.1325868 42.4145802)",,50,2,7
28094331,False,Avinguda de la Generalitat,primary,True,253.62900000000002,C-13,"LINESTRING (1.1325868 42.4145802, 1.1326034 42.4145372, 1.132626 42.4144743, 1.1326574 42.4143755, 1.1326758 42.4142878, 1.1326897 42.4142165, 1.1326967 42.4141419, 1.1326962 42.4140732, 1.1326879 42.4139703, 1.1326737 42.4138819, 1.1326396 42.4137619, 1.132595 42.4136337, 1.1325589 42.4135276, 1.1324659 42.4132785, 1.1323777 42.4130379, 1.1322811 42.4127794, 1.1322245 42.4126285, 1.1321924 42.4125508, 1.1321678 42.4124976, 1.1321381 42.4124359, 1.1320983 42.4123684)",,50,2,7
239710034,False,Carrer Torrent de la Pietat,residential,True,59.65,,"LINESTRING (1.1325868 42.4145802, 1.1319671 42.4145231, 1.1318673 42.4145072)",,,,
1087867724,False,Avinguda Comtes de Pallars,primary,False,5.662,C-13,"LINESTRING (1.1319268 42.4121384, 1.1319652 42.4121807)",,50,2,7
568438199,True,Avinguda de la Verge de Montserrat,residential,False,17.953,,"LINESTRING (1.1319268 42.4121384, 1.1319626 42.4120814, 1.1319793 42.412056, 1.1319839 42.4120307, 1.1319773 42.4119861)",,,,
1087867722,False,Avinguda Comtes de Pallars,primary,True,13.643,C-13,"LINESTRING (1.1319268 42.4121384, 1.1318623 42.4120732, 1.1318262 42.4120408)",,50,2,7
25347799,False,Avinguda de la Verge de Montserrat,residential,False,42.659,,"LINESTRING (1.1319817 42.4119592, 1.1318268 42.411593)",,,,
568438197,True,,residential,False,13.021,,"LINESTRING (1.1319817 42.4119592, 1.1320076 42.4119824, 1.1320404 42.412066)",,,,
25347799,False,Avinguda de la Verge de Montserrat,residential,False,46.95399999999999,,"LINESTRING (1.1302432 42.4098841, 1.1300559 42.4096346, 1.1300282 42.4095807, 1.1299786 42.4095103)",,,,
25347799,False,Avinguda de la Verge de Montserrat,residential,True,69.368,,"LINESTRING (1.1302432 42.4098841, 1.1306438 42.4103602, 1.1306891 42.410414)",,,,
134199976,False,Carrer Agustí Muxí i Monroset,primary,True,11.684,N-260,"LINESTRING (1.1291289 42.4099216, 1.1292189 42.4098402)",,,,
"[134199976, 176385369, 28094338, 28094339]",False,"['Eix Pirinenc', 'Carrer Agustí Muxí i Monroset']",primary,False,53.120999999999995,N-260,"LINESTRING (1.1291289 42.4099216, 1.1290879 42.4099672, 1.1290425 42.410009, 1.1290142 42.4100336, 1.1287844 42.4102514, 1.1287627 42.4102726, 1.128733 42.4102992)",yes,,,
"[133475648, 140227548]",False,Camí de la Cabanera,residential,False,254.82399999999998,,"LINESTRING (1.1291289 42.4099216, 1.1281611 42.4094459, 1.1280979 42.4093916, 1.1280905 42.4093807, 1.127783 42.408926, 1.1277455 42.4086805, 1.1279976 42.40832, 1.1281704 42.4081813)",,,,
"[479533384, 479533381]",False,"['Avinguda de la Diputació', 'Plaça de Santa Anna']",residential,True,99.946,,"LINESTRING (1.1291289 42.4099216, 1.129225 42.4099928, 1.1299207 42.4105079, 1.1299952 42.4105526)",,,,
25347802,False,Plaça Caterina Albert,residential,False,37.823,,"LINESTRING (1.1315714 42.4118761, 1.1318268 42.411593)",,,,
19848194,False,Avinguda Comtes de Pallars,primary,False,24.52,C-13,"LINESTRING (1.1315714 42.4118761, 1.1316626 42.4119251, 1.1317339 42.4119694, 1.1318001 42.4120173)",,50,2,7
19848194,False,Avinguda Comtes de Pallars,primary,True,54.535000000000004,C-13,"LINESTRING (1.1315714 42.4118761, 1.1315017 42.4118438, 1.1312817 42.4117416, 1.1310877 42.4116468, 1.1310131 42.4116104)",,50,2,7
25347799,False,Avinguda de la Verge de Montserrat,residential,True,42.659,,"LINESTRING (1.1318268 42.411593, 1.1319817 42.4119592)",,,,
25347802,False,Plaça Caterina Albert,residential,True,37.823,,"LINESTRING (1.1318268 42.411593, 1.1315714 42.4118761)",,,,
25347799,False,Avinguda de la Verge de Montserrat,residential,False,33.297000000000004,,"LINESTRING (1.1318268 42.411593, 1.1316526 42.4113827, 1.1316176 42.4113365)",,,,
100135154,True,Camí de l'Escorxador,unclassified,False,173.059,,"LINESTRING (1.1304314 42.4080518, 1.1304938 42.4081047, 1.1305967 42.4082161, 1.1308436 42.4083376, 1.1310458 42.4084389, 1.1310938 42.4085097, 1.131065 42.408563, 1.1310356 42.4086186, 1.1309258 42.4088211, 1.1308298 42.4089173, 1.1306927 42.4090262, 1.130631 42.409135, 1.130631 42.4092211, 1.1305762 42.4092723)",,,,
"[732468185, 765265675]",False,Camí del Pont Vell,residential,False,132.098,,"LINESTRING (1.1304314 42.4080518, 1.1305438 42.4075842, 1.1307008 42.4073137, 1.1307108 42.4073067, 1.1309641 42.4071292, 1.1311294 42.4070407)",,,,
136788778,False,Carrer Torrent de la Pietat,residential,False,8.29,,"LINESTRING (1.1308638 42.4145034, 1.1309638 42.414493)",,,,
100152832,False,Carrer de les Neroses,residential,False,106.91000000000001,,"LINESTRING (1.1308638 42.4145034, 1.1308538 42.4146686, 1.1308297 42.4148683, 1.1307636 42.4151125, 1.1307479 42.4152902, 1.1309697 42.4153299)",,,,
136788778,False,Carrer Torrent de la Pietat,residential,True,59.108999999999995,,"LINESTRING (1.1308638 42.4145034, 1.1305586 42.4144712, 1.1301469 42.4144688)",,,,
136788778,False,Carrer Torrent de la Pietat,residential,False,103.437,,"LINESTRING (1.1291193 42.4150023, 1.1300849 42.4144819, 1.1301469 42.4144688)",,,,
136663412,False,Carrer Major,residential,True,5.922,,"LINESTRING (1.1310676 42.4126473, 1.1310439 42.412597)",,,,
136663412,False,Carrer Major,residential,False,41.535000000000004,,"LINESTRING (1.1310676 42.4126473, 1.1312019 42.4128536, 1.1312636 42.4129166, 1.1313403 42.4129522)",,,,
136788782,False,,living_street,False,46.632000000000005,,"LINESTRING (1.1310676 42.4126473, 1.1312424 42.412598, 1.1313139 42.4125715, 1.1311954 42.4123673)",,,,
25347799,False,Avinguda de la Verge de Montserrat,residential,False,127.80099999999999,,"LINESTRING (1.1316176 42.4113365, 1.1314831 42.4112029, 1.1312572 42.4109784, 1.1306891 42.410414)",,,,
25347799,False,Avinguda de la Verge de Montserrat,residential,True,33.297000000000004,,"LINESTRING (1.1316176 42.4113365, 1.1316526 42.4113827, 1.1318268 42.411593)",,,,
"[133475649, 28094335]",True,"['Carrer Professor Fassman', 'Plaça de Santa Anna']",residential,False,165.929,,"LINESTRING (1.1316176 42.4113365, 1.131407 42.4113504, 1.1313146 42.4113049, 1.1310182 42.411159, 1.1309154 42.4111084, 1.130399 42.4108565, 1.1303236 42.4108253, 1.1301781 42.4107507, 1.1300119 42.410622, 1.1299952 42.4105526)",,,,
19848194,False,Avinguda Comtes de Pallars,primary,False,54.535,C-13,"LINESTRING (1.1310131 42.4116104, 1.1310877 42.4116468, 1.1312817 42.4117416, 1.1315017 42.4118438, 1.1315714 42.4118761)",,50,2,7
19848194,False,Avinguda Comtes de Pallars,primary,True,237.358,C-13,"LINESTRING (1.1310131 42.4116104, 1.1308064 42.4115054, 1.1305983 42.4113963, 1.1305508 42.4113695, 1.1301114 42.4111199, 1.1298874 42.4109895, 1.1298257 42.4109536, 1.1297984 42.4109392, 1.1294884 42.4107546, 1.1288231 42.4103535, 1.128733 42.4102992)",,50,2,7
28741967,True,Carrer Mossèn Agustí Coy i Cotonat,living_street,False,89.75899999999999,,"LINESTRING (1.1311954 42.4123673, 1.1311822 42.4123293, 1.1311703 42.4122949, 1.1311523 42.4121808, 1.1311423 42.4121081, 1.1311407 42.4120718, 1.1311333 42.4120231, 1.1311045 42.4119731, 1.1310498 42.4119153, 1.1309569 42.4118216, 1.1309494 42.4117928, 1.1309596 42.4117475, 1.1309764 42.4116872, 1.1310131 42.4116104)",,,,
136788782,False,,living_street,True,46.632000000000005,,"LINESTRING (1.1311954 42.4123673, 1.1313139 42.4125715, 1.1312424 42.412598, 1.1310676 42.4126473)",,,,
366103096,False,Carrer del Raval,residential,False,14.608,,"LINESTRING (1.1285757 42.4103745, 1.1286954 42.4102773)",,,,
136788778,False,Carrer Torrent de la Pietat,residential,True,8.29,,"LINESTRING (1.1309638 42.414493, 1.1308638 42.4145034)",,,,
136663409,False,Camí dels Horts,residential,True,73.384,,"LINESTRING (1.1309638 42.414493, 1.1309976 42.4142325, 1.1308355 42.4139976, 1.1307455 42.4138805)",,,,
136788778,False,Carrer Torrent de la Pietat,residential,False,74.209,,"LINESTRING (1.1309638 42.414493, 1.1312043 42.4144898, 1.1318673 42.4145072)",,,,
1087872459,False,Carretera de la Pobla de Segur,primary,False,9.644,N-260,"LINESTRING (1.1280189 42.4098837, 1.1280754 42.409914, 1.1281119 42.4099366)",,50,,
1087872460,False,Carretera de la Pobla de Segur,primary,True,30.415,N-260,"LINESTRING (1.1280189 42.4098837, 1.1278738 42.4097924, 1.1277351 42.4097079)",,50,,
100135150,False,Carrer Estanys de Pallars,residential,True,45.812,,"LINESTRING (1.1326567 42.4081618, 1.1331336 42.4083757)",,,,
