osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,geometry,tunnel
270410170,Calle Santa Ana,residential,False,False,24.982,,,,"LINESTRING (-3.0748558 39.5234955, -3.0749283 39.5237131)",
270410179,,residential,False,True,58.795,,,,"LINESTRING (-3.0748558 39.5234955, -3.074468 39.5230595)",
270410182,,residential,False,True,52.147,,,,"LINESTRING (-3.0748558 39.5234955, -3.0747702 39.5230312)",
270598718,Carretera de Alcázar,primary,False,True,9.909,2,CM-310,50,"LINESTRING (-3.0773769 39.5290955, -3.0772987 39.5291611)",
271075203,Calle El Santo,residential,False,True,6.926,,,,"LINESTRING (-3.0773769 39.5290955, -3.077339 39.5290405)",
270598718,Carretera de Alcázar,primary,False,False,119.773,2,CM-310,50,"LINESTRING (-3.0773769 39.5290955, -3.0778786 39.5286915, -3.078101 39.5284927, -3.0783002 39.528289)",
270410161,Calle José Antonio,residential,False,True,8.78,,,,"LINESTRING (-3.0760454 39.5268756, -3.0760142 39.5268004)",
181659461,Calle Valencia,residential,False,False,69.559,,,,"LINESTRING (-3.0760454 39.5268756, -3.075813 39.526915, -3.0753305 39.5266765)",
270410162,Calle La Iglesia,residential,False,False,29.509999999999998,,,,"LINESTRING (-3.0760454 39.5268756, -3.0761356 39.5270565, -3.0761689 39.5271233)",
270410158,Calle Capitán Miranda,residential,False,True,54.549,,,,"LINESTRING (-3.0753305 39.5266765, -3.0748821 39.5270244)",
181659461,Calle Valencia,residential,False,False,122.595,,,,"LINESTRING (-3.0753305 39.5266765, -3.0749687 39.5264831, -3.0746266 39.5263104, -3.0741627 39.5260902, -3.0741384 39.5260701)",
181659461,Calle Valencia,residential,False,True,69.559,,,,"LINESTRING (-3.0753305 39.5266765, -3.075813 39.526915, -3.0760454 39.5268756)",
270410158,Calle Capitán Miranda,residential,False,False,4.027,,,,"LINESTRING (-3.0748538 39.5270533, -3.0748821 39.5270244)",
270410158,Calle Capitán Miranda,residential,False,True,117.114,,,,"LINESTRING (-3.0748538 39.5270533, -3.0740716 39.5279166)",
270410184,Calle Vía Crucis,residential,False,False,58.86,,,,"LINESTRING (-3.0748538 39.5270533, -3.0744479 39.5267252, -3.0743781 39.5266718)",
199362977,Calle Cantarranas,residential,False,False,32.284,,,,"LINESTRING (-3.0761689 39.5271233, -3.0765453 39.5271205)",
270410162,Calle La Iglesia,residential,False,False,30.642000000000003,,,,"LINESTRING (-3.0761689 39.5271233, -3.0762162 39.5272499, -3.0762678 39.5273881)",
270410162,Calle La Iglesia,residential,False,True,29.509999999999998,,,,"LINESTRING (-3.0761689 39.5271233, -3.0761356 39.5270565, -3.0760454 39.5268756)",
270410162,Calle La Iglesia,residential,False,True,28.563,,,,"LINESTRING (-3.0763432 39.5276383, -3.0762678 39.5273881)",
181659459,Calle El Toboso,residential,False,False,59.528,,,,"LINESTRING (-3.0740716 39.5279166, -3.073505 39.5276074)",
181659459,Calle El Toboso,residential,False,True,53.057,,,,"LINESTRING (-3.0740716 39.5279166, -3.0745766 39.5281922)",
270410158,Calle Capitán Miranda,residential,False,False,117.114,,,,"LINESTRING (-3.0740716 39.5279166, -3.0748538 39.5270533)",
270410158,Calle Capitán Miranda,residential,False,True,135.116,,,,"LINESTRING (-3.0740716 39.5279166, -3.0731857 39.5289214)",
173086104,,tertiary,False,False,68.965,2,CM-3162,50,"LINESTRING (-3.0731531 39.5289652, -3.0723639 39.5288463)",
173086104,,tertiary,False,True,61.481,2,CM-3162,50,"LINESTRING (-3.0731531 39.5289652, -3.0738575 39.5290678)",
270410158,Calle Capitán Miranda,residential,False,False,5.616,,,,"LINESTRING (-3.0731531 39.5289652, -3.0731857 39.5289214)",
271075208,Calle Hontanilla,residential,False,True,51.087,,,,"LINESTRING (-3.0731531 39.5289652, -3.0728874 39.5293764)",
270598718,Carretera de Alcázar,primary,False,False,9.909,2,CM-310,50,"LINESTRING (-3.0772987 39.5291611, -3.0773769 39.5290955)",
315428610,Carretera de Quintanar,primary,False,True,55.145,2,CM-310,,"LINESTRING (-3.0772987 39.5291611, -3.0768984 39.5295492)",
928944028,,tertiary,False,False,12.611,2,TO-2988,50,"LINESTRING (-3.0772987 39.5291611, -3.0774047 39.5292397)",
270410170,Calle Santa Ana,residential,False,False,23.969,,,,"LINESTRING (-3.0753376 39.52492, -3.0754182 39.5251264)",
270410170,Calle Santa Ana,residential,False,True,10.694,,,,"LINESTRING (-3.0753376 39.52492, -3.0753166 39.5248252)",
181659460,Calle Calvo Sotelo,residential,False,False,174.146,,,,"LINESTRING (-3.0753376 39.52492, -3.0749926 39.5250613, -3.0747378 39.5251484, -3.0742801 39.5253628, -3.0739234 39.5255472, -3.0735648 39.5256771)",
199362979,Calle Carlos V,residential,False,True,4.595,,,,"LINESTRING (-3.0731118 39.5254469, -3.0730893 39.5254094)",
181659461,Calle Valencia,residential,False,False,69.807,,,,"LINESTRING (-3.0731118 39.5254469, -3.0730047 39.5254866, -3.0727333 39.5255273, -3.0725034 39.5255607, -3.0723224 39.5255888)",
181659461,Calle Valencia,residential,False,True,46.812,,,,"LINESTRING (-3.0731118 39.5254469, -3.0732742 39.5255034, -3.0735648 39.5256771)",
