osmid,name,highway,oneway,reversed,length,lanes,geometry,junction,ref
322220653,Avenida Aviación Española,primary,False,False,68.472,,"LINESTRING (-0.8319237 37.8042242, -0.8326745 37.8043894)",,
322220653,Avenida Aviación Española,primary,False,True,27.294,,"LINESTRING (-0.8319237 37.8042242, -0.8316281 37.8041487)",,
197791568,Calle Cartagena,residential,False,False,64.571,,"LINESTRING (-0.836165 37.8049853, -0.835783 37.8054814)",,
197791568,Calle Cartagena,residential,False,True,62.71,,"LINESTRING (-0.836165 37.8049853, -0.8365597 37.8045154)",,
25740725,Avenida de Calderón de la Barca,primary,True,False,37.040000000000006,1,"LINESTRING (-0.836165 37.8049853, -0.8357911 37.8049013, -0.8357595 37.8048941)",,
125017119,Avenida del Pinatar,primary,False,True,98.94699999999999,2,"LINESTRING (-0.8341806 37.8081431, -0.8342911 37.8080694, -0.8344017 37.8079957, -0.8345929 37.8078681, -0.8348704 37.8076361, -0.8349959 37.8075312)",,
254319146,Calle Jabalina,residential,False,True,43.260999999999996,,"LINESTRING (-0.8341806 37.8081431, -0.8341195 37.8080976, -0.8340449 37.808042, -0.8338209 37.8078774)",,
25740725,Avenida de Calderón de la Barca,primary,True,False,34.901,1,"LINESTRING (-0.8330614 37.8044606, -0.8326745 37.8043894)",,
25824037,,residential,False,False,10.535,,"LINESTRING (-0.8330614 37.8044606, -0.8329662 37.8045182)",,
25824037,,residential,False,True,10.535,,"LINESTRING (-0.8329662 37.8045182, -0.8330614 37.8044606)",,
25824041,Calle Andrés Baquero,residential,False,True,29.358,,"LINESTRING (-0.8329662 37.8045182, -0.8326745 37.8043894)",,
25824041,Calle Andrés Baquero,residential,False,False,101.18599999999999,,"LINESTRING (-0.8329662 37.8045182, -0.8336513 37.8051389, -0.8337183 37.8052072)",,
25824041,Calle Andrés Baquero,residential,False,False,29.358,,"LINESTRING (-0.8326745 37.8043894, -0.8329662 37.8045182)",,
106084910,Calle Alcántara,residential,False,True,86.712,,"LINESTRING (-0.8326745 37.8043894, -0.8320203 37.8049733)",,
