osmid,lanes,ref,name,highway,maxspeed,oneway,reversed,length,geometry,junction,tunnel,width
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,False,103.44200000000001,"LINESTRING (1.1643528 41.3747834, 1.1643562 41.37485, 1.164347 41.3757136)",,,
1126983663,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,True,10.904,"LINESTRING (1.1643528 41.3747834, 1.1643582 41.3747383, 1.1643886 41.3746907)",,,
30123030,,,carrer de la Muralla de Sant Francesc,residential,,True,False,70.625,"LINESTRING (1.164347 41.3757136, 1.1642515 41.3756612, 1.1641728 41.3753691, 1.164085 41.3752026, 1.1640595 41.375136)",,,
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,False,15.867999999999999,"LINESTRING (1.164347 41.3757136, 1.1643475 41.3758153, 1.1643477 41.3758563)",,,
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,True,103.44200000000001,"LINESTRING (1.164347 41.3757136, 1.1643562 41.37485, 1.1643528 41.3747834)",,,
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,True,30.37,"LINESTRING (1.1633869 41.3778795, 1.1635388 41.3776313)",,,
342308059,,,Carrer de la Muralla de Santa Tecla,residential,,False,False,36.355,"LINESTRING (1.1633869 41.3778795, 1.1632568 41.3777727, 1.1633419 41.377602)",,,
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,False,69.712,"LINESTRING (1.1633869 41.3778795, 1.1632819 41.378065, 1.1632666 41.3780921, 1.1632551 41.3781123, 1.1631208 41.3783496, 1.1631079 41.3783715, 1.1630583 41.3784559)",,,
350019845,2,N-240a,Carrer de la Muralla de Santa Tecla,tertiary,30,False,True,81.533,"LINESTRING (1.1626455 41.3791205, 1.1626964 41.3790385, 1.1627366 41.3789738, 1.1630255 41.3785088, 1.1630583 41.3784559)",,,
374918683,,,Carrer del Baulard de Santa Anna,residential,,False,True,71.577,"LINESTRING (1.1626455 41.3791205, 1.1624658 41.3790705, 1.1621429 41.3790667, 1.1620029 41.37906, 1.1619726 41.3790586, 1.1618038 41.3790315)",,,
344133893,,,Carrer Forés,residential,,True,False,45.336,"LINESTRING (1.1638095 41.3747791, 1.1643528 41.3747834)",,,
326281219,,,Carrer Major,living_street,,True,False,24.116,"LINESTRING (1.1627969 41.3746925, 1.1627741 41.3749087)",,,
238211949,,,carrer de la Muralla de Sant Francesc,residential,,True,False,85.64099999999999,"LINESTRING (1.1627969 41.3746925, 1.1631105 41.3747184, 1.1635464 41.3747931, 1.1638095 41.3747791)",,,
40289561,,,Carrer del Pintor Potau,residential,,True,False,80.986,"LINESTRING (1.1654811 41.3745165, 1.1654818 41.3744384, 1.1654864 41.3739172, 1.1654874 41.3738046, 1.1654875 41.3737882)",,,
350355386,2,,Carrer del Batlle Dionis Mestre,tertiary,,False,False,38.977000000000004,"LINESTRING (1.1654811 41.3745165, 1.1658567 41.3744798, 1.1659443 41.3744712)",,,
