osmid,oneway,name,highway,reversed,length,geometry,maxspeed,access,lanes,ref,junction,width
835026193,True,Rúa de Madrid,tertiary,False,74.597,"LINESTRING (-8.8040062 42.4010077, -8.8039126 42.4010624, -8.8037359 42.4011352, -8.8035786 42.4011825, -8.803181 42.4012752)",,,,,,
"[434824194, 25579619, 39118342]",True,"['Rúa dos Mariñeiros', 'Rúa do Consistorio', 'Rúa Viña da Fonte']",residential,False,177.751,"LINESTRING (-8.8052339 42.4010859, -8.8056654 42.4010049, -8.8062789 42.4007524, -8.8063372 42.4007284, -8.8064749 42.4006559, -8.8064703 42.4005722, -8.8064635 42.4005359, -8.8063876 42.4004615, -8.8061582 42.4002212, -8.8061595 42.400191, -8.8061626 42.4001519)",,,,,,
174889786,False,Rúa dos Cesteiros,residential,False,63.967000000000006,"LINESTRING (-8.8052339 42.4010859, -8.8052267 42.4011696, -8.8049573 42.4015473, -8.8049475 42.4016114)",,,,,,
257339863,True,Rúa de Madrid,living_street,False,32.808,"LINESTRING (-8.8075029 42.4002512, -8.8071051 42.4002236)",,,,,,
25579672,False,Rúa do Porto,residential,False,112.39900000000002,"LINESTRING (-8.8075029 42.4002512, -8.8074877 42.4002061, -8.8074668 42.4001513, -8.8074006 42.3999616, -8.8073718 42.3998174, -8.8074305 42.3995976, -8.8074304 42.3995275, -8.8074075 42.399469, -8.8072762 42.3992819)",,,,,,
25579650,True,Rúa Augusto González Besada,living_street,False,21.002,"LINESTRING (-8.8069838 42.3990134, -8.8067873 42.3991343)",10,destination,,,,
46781336,True,Rúa do Porto,residential,False,38.340999999999994,"LINESTRING (-8.8069838 42.3990134, -8.8070293 42.3990479, -8.8072762 42.3992819)",,,,,,
25582513,False,Rúa da Constitución,residential,False,77.87599999999999,"LINESTRING (-8.803181 42.4012752, -8.803161 42.4012298, -8.8029791 42.4008872, -8.8029357 42.4008673, -8.8028892 42.4008734, -8.8026328 42.4009688)",,,,,,
25594415,True,Rúa da Constitución,residential,False,50.583,"LINESTRING (-8.803181 42.4012752, -8.8032035 42.4013363, -8.8032941 42.4016689, -8.8033031 42.4017208)",,,,,,
25579650,True,Rúa Augusto González Besada,living_street,False,44.082,"LINESTRING (-8.8067873 42.3991343, -8.8066614 42.3992057, -8.8066217 42.3992481, -8.8066168 42.3992909, -8.8066334 42.3994752)",10,destination,,,,
