osmid,oneway,ref,highway,reversed,length,lanes,maxspeed,junction,geometry,name,width,access
497616559,True,N-II,primary,False,29.649,,,,"LINESTRING (2.3077064 41.4764715, 2.3074531 41.4762842)",,,
177362006,True,N-II,primary,False,15.965,2,40,roundabout,"LINESTRING (2.3077064 41.4764715, 2.3077356 41.4764345, 2.3077629 41.4764103, 2.3077936 41.4763939, 2.3078446 41.47638)",,,
177361991,False,N-2,primary,False,22.178,4,50,,"LINESTRING (2.3110631 41.4772635, 2.3111035 41.4772703, 2.3113229 41.477307)",Carrer Mossèn Jacint Verdaguer,14,
"[558361794, 677910747, 758105031]",False,"['N-2', 'N-II']",primary,True,212.51800000000003,4,50,,"LINESTRING (2.3110631 41.4772635, 2.3108933 41.4772293, 2.3107714 41.4772047, 2.3107068 41.4771913, 2.310676 41.4771849, 2.3106021 41.477171, 2.3105515 41.4771615, 2.3105026 41.4771522, 2.3104329 41.4771375, 2.3101739 41.4770831, 2.3095458 41.476915, 2.3091867 41.4768188, 2.3086379 41.4766751)",Carrer Mossèn Jacint Verdaguer,14,
1125213547,True,BP-5002,tertiary,False,26.411,1,50,,"LINESTRING (2.3068921 41.4771847, 2.306645 41.4773335)",Carrer d'Amadeu I,,
1128453190,False,BP-5002,tertiary,True,9.275,2,50,,"LINESTRING (2.3068921 41.4771847, 2.3069802 41.4771337)",Carrer d'Amadeu I,,
1125213543,True,BP-5002,tertiary,False,2.562,,,,"LINESTRING (2.3066151 41.4773731, 2.3065891 41.4773854)",Carrer d'Amadeu I,,
47584721,True,,residential,False,141.07000000000002,1,30,,"LINESTRING (2.3066151 41.4773731, 2.3066446 41.4773898, 2.3081622 41.4777587, 2.3082201 41.4777728)",Carrer Figueres,,
38179828,False,BP-5002,tertiary,False,101.385,2,50,,"LINESTRING (2.3063378 41.4776171, 2.3059483 41.4783695, 2.3059159 41.4784308, 2.3058971 41.478467)",Carrer d'Amadeu I,,
1125213545,True,BP-5002,tertiary,False,32.743,1,50,,"LINESTRING (2.3063378 41.4776171, 2.3063491 41.477568, 2.30642 41.4774071, 2.3064617 41.4773387)",Carrer d'Amadeu I,,
1125213548,True,BP-5002,tertiary,False,22.823,,,,"LINESTRING (2.3064617 41.4773387, 2.3064591 41.4773128, 2.3064692 41.4772879, 2.3064907 41.4772674, 2.3065207 41.4772542, 2.306555 41.4772501, 2.3065889 41.4772555, 2.3066179 41.4772699, 2.3066363 41.4772884)",Carrer d'Amadeu I,,
32765445,True,,tertiary,False,136.687,,30,,"LINESTRING (2.3058971 41.478467, 2.3059369 41.4785012, 2.3059608 41.4785217, 2.30632 41.4788301, 2.3063693 41.4788465, 2.3064288 41.4788351, 2.3064532 41.478804, 2.3064484 41.4787625, 2.3062091 41.4785657, 2.3061951 41.4785251, 2.3062138 41.4784833, 2.3062588 41.478465, 2.3063439 41.4784775, 2.3063599 41.4784818, 2.3065041 41.4785209)",Carrer Navarra,,
38179828,False,BP-5002,tertiary,True,101.385,2,50,,"LINESTRING (2.3058971 41.478467, 2.3059159 41.4784308, 2.3059483 41.4783695, 2.3063378 41.4776171)",Carrer d'Amadeu I,,
673885041,False,,residential,False,120.409,,,,"LINESTRING (2.3058971 41.478467, 2.3059196 41.4785265, 2.3059486 41.4786031, 2.3062593 41.4788679, 2.3059595 41.4794122)",Carrer d'Alfons XIII,,
32765445,True,,tertiary,False,6.71,,30,,"LINESTRING (2.3065041 41.4785209, 2.30658 41.4785411)",Carrer Navarra,,
