osmid,oneway,lanes,ref,name,highway,reversed,length,junction,geometry,width,maxspeed
1118610748,True,,,calle de Sentenero,residential,False,61.042,,"LINESTRING (-0.7624118 38.3858885, -0.7621405 38.3853824)",,
43170078,True,,,Calle Guitarrista Tárrega,residential,False,51.261,,"LINESTRING (-0.762427 38.3829211, -0.7626357 38.3833521)",,
1120489219,True,,CV-8357,Avenida de la Constitución,tertiary,False,108.07,,"LINESTRING (-0.762427 38.3829211, -0.7635942 38.3825933)",,
1120489219,True,,CV-8357,Avenida de la Constitución,tertiary,False,44.15,,"LINESTRING (-0.7635942 38.3825933, -0.764075 38.3824684)",,
734123923,True,,CV-8357,Avenida de la Constitución,tertiary,False,32.312,,"LINESTRING (-0.7646555 38.3823071, -0.7650061 38.3822127)",,
734123927,True,,CV-8357,Replaceta Isabel-Clara Simó,tertiary,False,6.667,roundabout,"LINESTRING (-0.7650564 38.382214, -0.7650793 38.3822051, -0.7650973 38.382191, -0.7651086 38.3821731)",,
41674592,True,,,calle Jaime II,residential,False,99.087,,"LINESTRING (-0.765928 38.3819336, -0.7662652 38.3827846)",,
734123926,True,,CV-8357,Avenida de la Constitución,tertiary,False,91.741,,"LINESTRING (-0.765928 38.3819336, -0.7669236 38.381666)",,
734123926,True,,CV-8357,Avenida de la Constitución,tertiary,False,98.157,,"LINESTRING (-0.7669236 38.381666, -0.7678423 38.3814258, -0.7679595 38.3813953, -0.7679936 38.3813936)",,
41506410,True,,CV-8357,Plaza de Pío XII,tertiary,False,15.754000000000001,roundabout,"LINESTRING (-0.7679936 38.3813936, -0.7680178 38.3814236, -0.7680522 38.3814465, -0.7680937 38.3814605, -0.7681386 38.3814642)",,
43140580,True,,CV-8357,avenida de Elche,tertiary,False,35.203,,"LINESTRING (-0.768273 38.3813872, -0.7686765 38.3814006)",,
41506410,True,,CV-8357,Plaza de Pío XII,tertiary,False,6.654,roundabout,"LINESTRING (-0.768273 38.3813872, -0.7682825 38.3813483, -0.7682786 38.3813283)",,
41676599,False,,,calle doctor Fleming,residential,False,151.712,,"LINESTRING (-0.7686765 38.3814006, -0.7687934 38.3827619)",,
43140580,True,,CV-8357,avenida de Elche,tertiary,False,47.147,,"LINESTRING (-0.7686765 38.3814006, -0.7692151 38.3814396)",,
41676598,False,,,calle maestro Parra,residential,False,133.517,,"LINESTRING (-0.7692151 38.3814396, -0.7691915 38.3826402)",,
43140580,True,,CV-8357,avenida de Elche,tertiary,False,46.567,,"LINESTRING (-0.7692151 38.3814396, -0.7697478 38.3814713)",,
776210207,False,,,,residential,False,6.53,,"LINESTRING (-0.7692151 38.3814396, -0.7692172 38.3813809)",,
41675452,True,,,calle Gabriel Miró,residential,False,115.479,,"LINESTRING (-0.7697478 38.3814713, -0.7696312 38.3825058)",,
43140580,True,,CV-8357,avenida de Elche,tertiary,False,63.994,,"LINESTRING (-0.7697478 38.3814713, -0.770481 38.3815009)",,
30335147,True,,,calle Lope de Vega,residential,False,7.359,,"LINESTRING (-0.7712781 38.3815517, -0.7712822 38.3814856)",,
383621228,True,,CV-8357,avenida Alfonso X el Sabio,tertiary,False,58.232,,"LINESTRING (-0.7712781 38.3815517, -0.7719447 38.3815864)",,
43106851,False,,,calle Andalucía,residential,False,50.671,,"LINESTRING (-0.7719447 38.3815864, -0.7719009 38.3820408)",,
43107684,True,,,calle de las Horcas,residential,False,7.233,,"LINESTRING (-0.7719447 38.3815864, -0.7719533 38.3815217)",,
383621228,True,,CV-8357,avenida Alfonso X el Sabio,tertiary,False,57.87,,"LINESTRING (-0.7719447 38.3815864, -0.7726062 38.3816307)",,
43106772,True,,,calle Galicia,residential,False,50.62,,"LINESTRING (-0.7726062 38.3816307, -0.772567 38.3820849)",,
383621228,True,,CV-8357,avenida Alfonso X el Sabio,tertiary,False,45.088,,"LINESTRING (-0.7726062 38.3816307, -0.7731224 38.3816568)",,
43106770,False,,,calle médico Rafael Navarro,residential,False,8.452,,"LINESTRING (-0.7731224 38.3816568, -0.7731296 38.381581)",,
43106770,False,,,calle médico Rafael Navarro,residential,True,48.977,,"LINESTRING (-0.7731224 38.3816568, -0.7730835 38.3820962)",,
43140578,True,,CV-8357,avenida de Elche,tertiary,False,46.807,,"LINESTRING (-0.7692172 38.3813809, -0.7686818 38.3813485)",,
43140943,True,,,calle Maestro Parra,residential,False,97.993,,"LINESTRING (-0.7692172 38.3813809, -0.7692312 38.3804997)",,
776210207,False,,,,residential,True,6.53,,"LINESTRING (-0.7692172 38.3813809, -0.7692151 38.3814396)",,
41506410,True,,CV-8357,Plaza de Pío XII,tertiary,False,22.06,roundabout,"LINESTRING (-0.7682786 38.3813283, -0.7682749 38.381309, -0.7682512 38.381274, -0.768214 38.3812471, -0.7681676 38.3812313, -0.7681171 38.3812284, -0.7680921 38.3812334)",,
43140579,True,,CV-8357,Avenida de la Constitución,tertiary,False,92.916,,"LINESTRING (-0.766886 38.3815999, -0.7658739 38.3818622)",,
43141012,True,,,calle Salvador de Madariaga,residential,False,41.584,,"LINESTRING (-0.766886 38.3815999, -0.7667464 38.3812423)",,
43140579,True,,CV-8357,Avenida de la Constitución,tertiary,False,76.214,,"LINESTRING (-0.7658739 38.3818622, -0.7650517 38.3820954)",,
1120489220,True,,CV-8357,Avenida de la Constitución,tertiary,False,46.22,,"LINESTRING (-0.7623756 38.382872, -0.7618764 38.3830122)",,
1152645264,False,,,calle maestro Serrano,residential,False,45.354,,"LINESTRING (-0.7623756 38.382872, -0.7622038 38.382487)",,
41674591,False,,,calle Santa Rosalía,residential,True,82.842,,"LINESTRING (-0.7681386 38.3814642, -0.7682611 38.382203)",,
41506410,True,,CV-8357,Plaza de Pío XII,tertiary,False,15.318000000000001,roundabout,"LINESTRING (-0.7681386 38.3814642, -0.7681817 38.3814576, -0.7682206 38.3814416, -0.7682519 38.3814174, -0.768273 38.3813872)",,
41506410,True,,CV-8357,Plaza de Pío XII,tertiary,False,8.847000000000001,roundabout,"LINESTRING (-0.7679861 38.3813154, -0.7679813 38.381355, -0.7679936 38.3813936)",,
43140579,True,,CV-8357,Avenida de la Constitución,tertiary,False,100.985,,"LINESTRING (-0.7679861 38.3813154, -0.7679306 38.3813329, -0.766886 38.3815999)",,
41659640,False,,,Carrer de Viriato,residential,True,42.403,,"LINESTRING (-0.771307 38.3877398, -0.7711556 38.3873774)",,
41659641,False,,,calle del Cid,residential,False,92.29,,"LINESTRING (-0.771307 38.3877398, -0.7703174 38.3880351)",,
43152653,True,,,calle del Cid,residential,False,63.417,,"LINESTRING (-0.771307 38.3877398, -0.7719874 38.3875377)",,
43152654,False,,,calle Juan Ramón Jiménez,residential,False,40.824,,"LINESTRING (-0.771307 38.3877398, -0.7714431 38.3880911)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,77.972,,"LINESTRING (-0.7683856 38.3828914, -0.767553 38.3831478)",,
41674591,False,,,calle Santa Rosalía,residential,False,77.31299999999999,,"LINESTRING (-0.7683856 38.3828914, -0.7683707 38.382814, -0.7682611 38.382203)",,
41674592,True,,,calle Jaime II,residential,False,73.474,,"LINESTRING (-0.7665357 38.3834672, -0.7668347 38.384085)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,75.209,,"LINESTRING (-0.7665357 38.3834672, -0.7657342 38.3837177)",,
45074733,True,,CV-8420,calle Emilio Castelar,tertiary,False,87.812,,"LINESTRING (-0.7671935 38.384826, -0.7674424 38.3847558, -0.7680755 38.3845762, -0.768141 38.3845576)",,
41506397,True,,CV-8420,calle San Roque,tertiary,False,33.954,,"LINESTRING (-0.7695728 38.3841568, -0.7699417 38.3840587)",,
41675453,True,,,calle Colón,residential,False,95.946,,"LINESTRING (-0.7654223 38.3830278, -0.7650564 38.382214)",,
41675458,True,,,Calle Maestro Ramis,residential,False,35.177,,"LINESTRING (-0.7654223 38.3830278, -0.7650455 38.3831411)",,
41675453,True,,,calle Colón,residential,False,81.388,,"LINESTRING (-0.7657342 38.3837177, -0.7654223 38.3830278)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,35.316,,"LINESTRING (-0.7657342 38.3837177, -0.765363 38.383845)",,
41675453,True,,,calle Colón,residential,False,86.036,,"LINESTRING (-0.7663351 38.3850684, -0.7660101 38.3843378)",,
45074733,True,,CV-8420,calle Emilio Castelar,tertiary,False,18.388,,"LINESTRING (-0.7663351 38.3850684, -0.7665336 38.3850124)",,
41675454,True,,,Calle Alcalde Manuel Alberola,residential,False,96.632,,"LINESTRING (-0.7641359 38.3824737, -0.7645339 38.3832848)",,
734123924,True,,CV-8357,Replaceta Carmelita Sánchez Cutillas,tertiary,False,5.970000000000001,roundabout,"LINESTRING (-0.7641359 38.3824737, -0.764151 38.3824699, -0.7641718 38.3824573, -0.764186 38.3824399)",,
41506399,False,,CV-8420,plaza Pais Valencià,tertiary,True,18.957,,"LINESTRING (-0.7654475 38.3852895, -0.7652371 38.3853327)",,
45074733,True,,CV-8420,calle Emilio Castelar,tertiary,False,5.293,,"LINESTRING (-0.7654475 38.3852895, -0.765508 38.3852854)",,
41675454,True,,,Calle Alcalde Manuel Alberola,residential,False,44.762,,"LINESTRING (-0.7651141 38.384587, -0.7652795 38.3849681)",,
41675455,True,,,calle Lepanto,residential,False,45.766,,"LINESTRING (-0.7651141 38.384587, -0.7656091 38.3844497)",,
41675453,True,,,calle Colón,residential,False,73.025,,"LINESTRING (-0.7660101 38.3843378, -0.7657342 38.3837177)",,
41675455,True,,,calle Lepanto,residential,False,37.101,,"LINESTRING (-0.7656091 38.3844497, -0.7660101 38.3843378)",,
41675456,True,,,calle Almoina,residential,False,70.578,,"LINESTRING (-0.7656091 38.3844497, -0.765363 38.383845)",,
41675451,False,,CV-8402,Avenida de los Reyes Católicos,tertiary,False,112.753,,"LINESTRING (-0.7704256 38.382545, -0.7705405 38.381535)",,
41675451,False,,CV-8402,Avenida de los Reyes Católicos,tertiary,True,158.143,,"LINESTRING (-0.7704256 38.382545, -0.7703115 38.3839644)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,69.38,,"LINESTRING (-0.7704256 38.382545, -0.7696312 38.3825058)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,41.137,,"LINESTRING (-0.7696312 38.3825058, -0.7691915 38.3826402)",,
41675452,True,,,calle Gabriel Miró,residential,False,185.587,,"LINESTRING (-0.7696312 38.3825058, -0.7694773 38.3839476, -0.7695728 38.3841568)",,
41675456,True,,,calle Almoina,residential,False,83.019,,"LINESTRING (-0.765363 38.383845, -0.7650455 38.3831411)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,47.745,,"LINESTRING (-0.765363 38.383845, -0.7648456 38.383986)",,
41675454,True,,,Calle Alcalde Manuel Alberola,residential,False,70.808,,"LINESTRING (-0.7648456 38.383986, -0.7651141 38.384587)",,
1118610747,True,,,calle Virgen de los Desamparados,residential,False,97.596,,"LINESTRING (-0.7632509 38.3844888, -0.7642899 38.3841616)",,
41674591,False,,,calle Santa Rosalía,residential,False,82.842,,"LINESTRING (-0.7682611 38.382203, -0.7681386 38.3814642)",,
41675458,True,,,Calle Maestro Ramis,residential,False,91.567,,"LINESTRING (-0.7682611 38.382203, -0.7672776 38.3824924)",,
41674591,False,,,calle Santa Rosalía,residential,True,77.31299999999999,,"LINESTRING (-0.7682611 38.382203, -0.7683707 38.382814, -0.7683856 38.3828914)",,
41675458,True,,,Calle Maestro Ramis,residential,False,47.369,,"LINESTRING (-0.7650455 38.3831411, -0.7645339 38.3832848)",,
41675456,True,,,calle Almoina,residential,False,98.777,,"LINESTRING (-0.7650455 38.3831411, -0.7646828 38.3823588, -0.7646555 38.3823071)",,
41675454,True,,,Calle Alcalde Manuel Alberola,residential,False,82.568,,"LINESTRING (-0.7645339 38.3832848, -0.7648456 38.383986)",,
41675458,True,,,Calle Maestro Ramis,residential,False,52.615,,"LINESTRING (-0.7645339 38.3832848, -0.763965 38.383443)",,
41674592,True,,,calle Jaime II,residential,False,88.131,,"LINESTRING (-0.7668347 38.384085, -0.7671935 38.384826)",,
41675459,True,,,calle Argentina,residential,False,155.761,,"LINESTRING (-0.7668347 38.384085, -0.7677514 38.3838174, -0.7685094 38.3835962)",,
41674590,True,,,calle Santa Rosalía,residential,False,79.11,,"LINESTRING (-0.7685094 38.3835962, -0.7683856 38.3828914)",,
41674592,True,,,calle Jaime II,residential,False,79.479,,"LINESTRING (-0.7662652 38.3827846, -0.7665357 38.3834672)",,
41675458,True,,,Calle Maestro Ramis,residential,False,78.289,,"LINESTRING (-0.7662652 38.3827846, -0.7654223 38.3830278)",,
41675457,True,,,calle Virgen de los Desamparados,residential,False,95.519,,"LINESTRING (-0.767553 38.3831478, -0.7665357 38.3834672)",,
41675873,True,,,calle Nuestra Señora de la Fe,residential,False,76.729,,"LINESTRING (-0.767553 38.3831478, -0.7672776 38.3824924)",,
