osmid,lanes,ref,highway,oneway,reversed,length,geometry,junction,name
29279897,2,N-Va,trunk,False,False,27.944,"LINESTRING (-5.5364673 39.89666, -5.5367341 39.8968058)",,
29279897,2,N-Va,trunk,False,True,27.944,"LINESTRING (-5.5367341 39.8968058, -5.5364673 39.89666)",,
25413381,1,N-Va,trunk,True,False,33.098,"LINESTRING (-5.5367341 39.8968058, -5.5369167 39.8969068, -5.5369774 39.8969576, -5.5370247 39.8970003)",,
25413346,2,N-Va,trunk,True,False,22.005000000000003,"LINESTRING (-5.5370758 39.8970937, -5.5371059 39.8971173, -5.537141 39.8971362, -5.5371801 39.89715, -5.5372218 39.897158, -5.5372647 39.89716, -5.5373074 39.897156)",roundabout,
25413331,2,N-Va,trunk,True,False,12.045,"LINESTRING (-5.5433923 39.8965037, -5.5434334 39.8965478, -5.5434892 39.8965809)",roundabout,
25413331,2,N-Va,trunk,True,False,18.522,"LINESTRING (-5.5437524 39.8965682, -5.5438035 39.8965288, -5.5438371 39.8964797, -5.5438504 39.8964251)",roundabout,
25413331,2,N-Va,trunk,True,False,15.540000000000001,"LINESTRING (-5.5438504 39.8964251, -5.5438448 39.8963787, -5.5438244 39.8963348, -5.5437905 39.8962962)",roundabout,
25413340,1,N-Va,trunk,True,False,51.288,"LINESTRING (-5.5438504 39.8964251, -5.5439524 39.8963712, -5.5440667 39.8963419, -5.5444159 39.8962856)",,Carretera Madrid - Portugal
25413331,2,N-Va,trunk,True,False,22.776,"LINESTRING (-5.5437905 39.8962962, -5.54374 39.8962627, -5.5436796 39.896241, -5.5436137 39.8962327, -5.5435474 39.8962386)",roundabout,
25413331,2,N-Va,trunk,True,False,14.472000000000001,"LINESTRING (-5.5433717 39.8963769, -5.5433655 39.89642, -5.5433725 39.8964631, -5.5433923 39.8965037)",roundabout,
25413353,1,N-Va,trunk,True,False,40.772999999999996,"LINESTRING (-5.5433717 39.8963769, -5.543121 39.8963905, -5.542896 39.8964113)",,
25413345,1,N-Va,trunk,True,False,102.063,"LINESTRING (-5.5422113 39.8965841, -5.5428363 39.8964965, -5.5430939 39.8964743, -5.5432231 39.896478, -5.5433128 39.8964903, -5.5433923 39.8965037)",,
"[185277517, 305308149]",,,residential,False,"[False, True]",264.943,"LINESTRING (-5.5422113 39.8965841, -5.5422409 39.8967041, -5.5425327 39.8976655, -5.5425885 39.8977182, -5.5426728 39.8977079, -5.5439775 39.8971622)",,"['Calle Peraleda de la Mata', 'Calle Majadas']"
25413340,1,N-Va,trunk,True,False,45.394999999999996,"LINESTRING (-5.5444159 39.8962856, -5.544594 39.8962545, -5.5449318 39.8961858)",,Carretera Madrid - Portugal
185578166,,,residential,False,False,71.912,"LINESTRING (-5.5444159 39.8962856, -5.5446924 39.8964848, -5.5450304 39.8967283)",,Camino de las Setillas
25413353,1,N-Va,trunk,True,False,83.30900000000001,"LINESTRING (-5.5384201 39.8970367, -5.5382408 39.8970497, -5.5380387 39.8970478, -5.5377533 39.8970362, -5.5375999 39.8969824, -5.537544 39.8969597, -5.5374814 39.8969258)",,
185459961,,,residential,False,True,117.977,"LINESTRING (-5.5384201 39.8970367, -5.5383995 39.896953, -5.5382082 39.8968418, -5.5376115 39.8961959)",,
25413346,2,N-Va,trunk,True,False,17.173000000000002,"LINESTRING (-5.5370857 39.8968579, -5.5370615 39.8968816, -5.5370429 39.896908, -5.5370302 39.8969364, -5.5370239 39.8969661, -5.5370247 39.8970003)",roundabout,
25413380,1,N-Va,trunk,True,False,30.692999999999998,"LINESTRING (-5.5370857 39.8968579, -5.5369432 39.8968501, -5.5367341 39.8968058)",,
25413331,2,N-Va,trunk,True,False,16.828,"LINESTRING (-5.5435474 39.8962386, -5.5434865 39.8962577, -5.5434346 39.8962887, -5.5433955 39.8963292)",roundabout,
305308150,1,,residential,True,False,57.458,"LINESTRING (-5.5435474 39.8962386, -5.5433781 39.8961949, -5.5432616 39.8961457, -5.5431528 39.8960532, -5.5430296 39.8959328)",,
25413331,2,N-Va,trunk,True,False,5.679,"LINESTRING (-5.5433955 39.8963292, -5.5433717 39.8963769)",roundabout,
25413432,2,EX-119,primary,False,False,36.369,"LINESTRING (-5.543755 39.8968832, -5.5439775 39.8971622)",,Carretera de Navalmoral de la Mata a Jarandilla de la Vera
25413455,1,EX-119,primary,True,False,35.291999999999994,"LINESTRING (-5.543755 39.8968832, -5.5437326 39.8967571, -5.5437309 39.8966798, -5.5437417 39.8966249, -5.5437524 39.8965682)",,
25413341,1,N-Va,trunk,True,False,29.699,"LINESTRING (-5.5454965 39.8960882, -5.54515 39.896114)",,Carretera Madrid - Portugal
29268308,1,N-V,trunk,False,False,8.72,"LINESTRING (-5.5454965 39.8960882, -5.545597 39.8960739)",,Carretera Madrid - Portugal
182352670,,,residential,False,False,28.243000000000002,"LINESTRING (-5.5374216 39.8904303, -5.5374082 39.8904688, -5.5373382 39.8906761)",,Calle Rosa
617456757,,,tertiary,True,False,24.183,"LINESTRING (-5.5374216 39.8904303, -5.5376127 39.8904668, -5.5376964 39.8904836)",,Calle Antonio Concha
185277516,,,residential,False,True,34.086,"LINESTRING (-5.5407956 39.8911711, -5.5407836 39.89112, -5.5408067 39.890866)",,Calle León Moyano
184798994,,,residential,False,True,35.272,"LINESTRING (-5.5436109 39.8914053, -5.543602 39.8914604, -5.5435524 39.8917193)",,Travesía Urbano González
360047843,,,tertiary,True,False,78.88499999999999,"LINESTRING (-5.5436109 39.8914053, -5.5439372 39.8914913, -5.5442891 39.8915941, -5.5444254 39.8916399, -5.5444747 39.8916573)",,Calle Urbano González
1042184011,,,residential,False,True,15.591999999999999,"LINESTRING (-5.5436109 39.8914053, -5.5436154 39.8913326, -5.5435967 39.8912667)",,Calle Tamara Simón Barrul
305308130,,,tertiary,False,False,46.165,"LINESTRING (-5.5452189 39.8919472, -5.5457578 39.8919847)",,Avenida de Angustias
136507861,,,tertiary,True,False,18.654,"LINESTRING (-5.5452189 39.8919472, -5.5450754 39.8919158, -5.5450066 39.8919087)",,Avenida de Angustias
182183748,,,residential,False,False,12.35,"LINESTRING (-5.5353595 39.8913153, -5.5353353 39.8912058)",,
