osmid,highway,junction,oneway,reversed,length,geometry,name,access,ref
199738150,residential,roundabout,True,False,21.996000000000002,"LINESTRING (-2.2068564 43.0477518, -2.2068601 43.0477202, -2.2068495 43.0476825, -2.2068303 43.0476557, -2.2067993 43.0476311, -2.2067705 43.0476171, -2.2067204 43.0476048)",,,
42935944,residential,,False,False,64.324,"LINESTRING (-2.2067204 43.0476048, -2.2068668 43.0470363)",Zapatari kalea,,
199738150,residential,roundabout,True,False,18.387,"LINESTRING (-2.2067204 43.0476048, -2.2066668 43.0476046, -2.2066175 43.0476161, -2.2065642 43.0476469, -2.2065609 43.0476499, -2.2065378 43.0476804)",,,
199738155,residential,,True,False,66.419,"LINESTRING (-2.204038 43.0473938, -2.2048439 43.0474935)",Oriamendi kalea,,
199739686,residential,,True,False,4.897,"LINESTRING (-2.204038 43.0473938, -2.2040443 43.04735)",Zelaeta kalea,,
199738150,residential,roundabout,True,False,19.681,"LINESTRING (-2.2065257 43.0477186, -2.2065263 43.0477407, -2.2065369 43.0477709, -2.2065714 43.0478102, -2.2066188 43.0478356, -2.2066631 43.0478462)",,,
199738162,residential,,False,True,56.447,"LINESTRING (-2.202339 43.0481917, -2.2023764 43.0476848)",,,
42945999,residential,,True,False,92.132,"LINESTRING (-2.202339 43.0481917, -2.202696 43.0482217, -2.2034676 43.0482702)",Foru kalea,,
883754564,residential,,True,False,4.883,"LINESTRING (-2.2024125 43.0471785, -2.202411 43.0472224)",,,
883754565,residential,circular,True,False,20.243,"LINESTRING (-2.2024426 43.0464498, -2.2023426 43.0464504, -2.2022325 43.0464428, -2.2021962 43.0464522)",,,
42935008,residential,,False,True,146.572,"LINESTRING (-2.1997815 43.0461749, -2.1994711 43.0461649, -2.1990189 43.0461056, -2.1985475 43.0460594, -2.1979901 43.0460414)",Joan Iturralde kalea,,
42936187,residential,,True,False,165.88299999999998,"LINESTRING (-2.1997815 43.0461749, -2.1998266 43.0462622, -2.1998851 43.0463155, -2.2001719 43.0463275, -2.2010947 43.0463634, -2.2012603 43.0463719, -2.2014187 43.0463854, -2.2015542 43.0463752, -2.201641 43.0463381, -2.2016682 43.0463105)",,,
42936453,residential,,False,True,154.67100000000002,"LINESTRING (-2.1997815 43.0461749, -2.2011002 43.0462232, -2.2013388 43.0462408, -2.2015538 43.0462813, -2.2016682 43.0463105)",,,
199738148,residential,,False,True,22.731,"LINESTRING (-2.2066631 43.0478462, -2.2066065 43.0480464)",Zapatari kalea,,
199738150,residential,roundabout,True,False,20.788,"LINESTRING (-2.2066631 43.0478462, -2.2067209 43.0478463, -2.2067674 43.0478352, -2.2068035 43.0478175, -2.2068362 43.0477888, -2.2068564 43.0477518)",,,
42935758,residential,,True,False,177.45499999999998,"LINESTRING (-2.1988472 43.0470469, -2.1989156 43.0470516, -2.1997032 43.0470793, -2.2010279 43.0471307)",Oriamendi kalea,,
"[42935961, 259120860]",residential,,True,False,70.383,"LINESTRING (-2.1988472 43.0470469, -2.1988397 43.0470008, -2.1988347 43.0465922, -2.1988308 43.046544, -2.1986534 43.0465448)",,,
199738155,residential,,True,False,133.577,"LINESTRING (-2.202411 43.0472224, -2.204038 43.0473938)",Oriamendi kalea,,
199738162,residential,,False,False,51.493,"LINESTRING (-2.202411 43.0472224, -2.2023764 43.0476848)",,,
199738163,residential,,True,False,137.071,"LINESTRING (-2.202441 43.0466736, -2.2034995 43.0466837, -2.2041275 43.0466954)",Nafarroa etorbidea,,
696520950,residential,circular,True,False,27.256,"LINESTRING (-2.202441 43.0466736, -2.2024694 43.0466408, -2.2024855 43.0465884, -2.2024801 43.0464698, -2.2024426 43.0464498)",,no,
42935878,residential,,False,False,76.34,"LINESTRING (-2.2056852 43.0483206, -2.2063624 43.0484158, -2.2064096 43.0482365)",Martin Aranburu kalea,,
42935878,residential,,False,True,15.347,"LINESTRING (-2.2065023 43.0478881, -2.2064734 43.0479942, -2.2064657 43.0480235)",Martin Aranburu kalea,,
42935931,residential,,True,False,53.473,"LINESTRING (-2.1971405 43.0483869, -2.1971791 43.0483526, -2.1972003 43.0483046, -2.1972127 43.0482214, -2.1972338 43.0481779, -2.1972775 43.0481405, -2.1973578 43.0481224, -2.1975569 43.0481164)",Martina Maiz kalea,,
42935944,residential,,False,True,64.324,"LINESTRING (-2.2068668 43.0470363, -2.2067204 43.0476048)",Zapatari kalea,,
883754566,residential,,False,False,71.36,"LINESTRING (-2.2068668 43.0470363, -2.2068736 43.0470089, -2.2070224 43.0464047)",Zapatari kalea,,
199738163,residential,,True,False,107.483,"LINESTRING (-2.2055668 43.046858, -2.2068668 43.0470363)",Nafarroa etorbidea,,
