osmid,ref,name,highway,oneway,reversed,length,geometry,bridge,junction,lanes,tunnel
542842330,GI-2636,Santa Klara kalea,secondary,False,True,32.087,"LINESTRING (-2.4203976 43.2170749, -2.4202311 43.2169119, -2.4201603 43.2168439)",,,,
386909028,GI-3321,,tertiary,True,False,14.412,"LINESTRING (-2.4114136 43.2168826, -2.4114346 43.2170113)",,,,
"[10901880, 10901881, 461976240, 461976239]",GI-3321,"['Maalako zubia', 'Mahalako zubia']",tertiary,False,False,112.75900000000001,"LINESTRING (-2.4114136 43.2168826, -2.411355 43.2167482, -2.4112999 43.2165961, -2.4112824 43.2165479, -2.4112203 43.2163922, -2.4111973 43.2163193, -2.4111618 43.2162166, -2.4110981 43.2160423, -2.4110878 43.2160136, -2.4110531 43.2159035)",yes,,,
13892438,GI-3321,,tertiary,True,False,19.168,"LINESTRING (-2.4110531 43.2159035, -2.4110956 43.2158883, -2.4111302 43.2158648, -2.4111539 43.2158349, -2.4111647 43.2158014, -2.4111617 43.215767)",,roundabout,,
"[461976240, 10901881, 10901880, 461976239]",GI-3321,"['Maalako zubia', 'Mahalako zubia']",tertiary,False,True,112.759,"LINESTRING (-2.4110531 43.2159035, -2.4110878 43.2160136, -2.4110981 43.2160423, -2.4111618 43.2162166, -2.4111973 43.2163193, -2.4112203 43.2163922, -2.4112824 43.2165479, -2.4112999 43.2165961, -2.411355 43.2167482, -2.4114136 43.2168826)",yes,,,
14193800,GI-3321,Ermuaranbide kalea,tertiary,False,True,68.82900000000001,"LINESTRING (-2.4107255 43.2150841, -2.4108657 43.2154671, -2.4109057 43.2155682, -2.4109483 43.2156814)",,,,
367496084,,San Inazio kalea,residential,True,False,30.095999999999997,"LINESTRING (-2.4170754 43.2138257, -2.4171402 43.2138679, -2.4173525 43.2140059)",,,,
367496087,,Santa Ana kalea,residential,True,False,21.728,"LINESTRING (-2.4178949 43.2127564, -2.4177737 43.2125821)",,,,
27545826,,,residential,False,False,28.032,"LINESTRING (-2.4139365 43.2155811, -2.4138679 43.215422, -2.4138328 43.2153406)",,,,
556312893,,Txankakoako zubia,residential,False,True,30.369,"LINESTRING (-2.4176081 43.2149208, -2.4173364 43.2147327)",yes,,,
422395448,,,residential,True,False,15.915,"LINESTRING (-2.4176081 43.2149208, -2.4176184 43.2149417, -2.4176216 43.2150017, -2.4176152 43.2150624)",,,,
"[13891939, 367496091]",,Trenbide kalea,residential,False,False,56.51,"LINESTRING (-2.4168589 43.213059, -2.4166376 43.2131794, -2.4164356 43.2132838, -2.4162987 43.2133615)",,,,
13891939,,Trenbide kalea,residential,False,True,68.91,"LINESTRING (-2.4168589 43.213059, -2.4174107 43.2127431, -2.4175276 43.2126762)",,,,
367496092,,Trenbide kalea,residential,False,False,9.991,"LINESTRING (-2.4162987 43.2133615, -2.41621 43.2134239)",,,,
"[367496084, 13890604]",,San Inazio kalea,residential,True,False,51.957,"LINESTRING (-2.4162987 43.2133615, -2.4163746 43.2134052, -2.4167125 43.2135998, -2.4168028 43.2136502)",,,,
"[367496091, 13891939]",,Trenbide kalea,residential,False,True,56.510000000000005,"LINESTRING (-2.4162987 43.2133615, -2.4164356 43.2132838, -2.4166376 43.2131794, -2.4168589 43.213059)",,,,
367496084,,San Inazio kalea,residential,True,False,29.476,"LINESTRING (-2.4168028 43.2136502, -2.4170754 43.2138257)",,,,
13891938,,Ubitarte plaza,residential,True,False,76.939,"LINESTRING (-2.4168028 43.2136502, -2.4168213 43.2136293, -2.4168561 43.21359, -2.4169186 43.2135206, -2.4169857 43.2134557, -2.4170413 43.2133909, -2.417076 43.21334, -2.417032 43.2132914, -2.4169834 43.2132219, -2.4169325 43.2131594, -2.4168953 43.2131087, -2.4168589 43.213059)",,,,
13867321,,Antonio Arrillaga kalea,residential,True,False,86.11699999999999,"LINESTRING (-2.4175779 43.2131433, -2.4171071 43.2137827, -2.4170754 43.2138257)",,,,
13890606,,,residential,False,False,41.003,"LINESTRING (-2.4175779 43.2131433, -2.417546 43.2131363, -2.4174927 43.2130969, -2.4174233 43.2130599, -2.4174742 43.2130113, -2.4175598 43.2129696, -2.4176177 43.2129325, -2.4176548 43.2129117)",,,,
