osmid,oneway,ref,highway,reversed,length,geometry,lanes,name,maxspeed,bridge,access,junction
1176316760,True,CV-7671,secondary,False,20.069,"LINESTRING (-0.1321877 38.5431028, -0.1321481 38.5431405, -0.132097 38.5432154, -0.1320714 38.5432577)",,,,,,
96259029,True,N-332a,secondary,False,36.449,"LINESTRING (-0.1325509 38.5431606, -0.1326005 38.5431005, -0.1327764 38.5428843)",2,Avinguda del Rei Jaume I,,,,
1176316759,True,CV-7671,secondary,False,11.759,"LINESTRING (-0.1325509 38.5431606, -0.132504 38.5431202, -0.1324606 38.5430819)",,,,,,
240854798,True,N-332a,secondary,False,38.183,"LINESTRING (-0.1250634 38.542039, -0.1254551 38.5421941)",2,Avinguda d'Alfonso Puchades,30,,,
83193206,True,,secondary,False,18.496000000000002,"LINESTRING (-0.1250634 38.542039, -0.1250792 38.5420883, -0.1251166 38.5421421, -0.1251552 38.5421872)",,Avinguda d'Alfonso Puchades,,,,
769883974,True,,living_street,False,124.07199999999999,"LINESTRING (-0.1233637 38.5392402, -0.1233638 38.5391862, -0.1233649 38.5381244)",,Avenida del Doctor Orts Llorca,,,,
21233693,True,,residential,False,112.131,"LINESTRING (-0.1280782 38.539937, -0.127695 38.5392633, -0.1275347 38.539023)",,Carrer Primavera,30,,,
679193335,False,,residential,False,46.967,"LINESTRING (-0.1242095 38.5406944, -0.1237994 38.5409692)",,Vía Emilio Ortuño,,,,
679193335,False,,residential,True,179.459,"LINESTRING (-0.1242095 38.5406944, -0.1256773 38.5395601)",,Vía Emilio Ortuño,,,,
190920280,True,,residential,False,27.828,"LINESTRING (-0.1271307 38.5384176, -0.1270363 38.5384885, -0.1269 38.538591)",,Vía Emilio Ortuño,,,,
190920281,False,,residential,True,75.936,"LINESTRING (-0.1271307 38.5384176, -0.127192 38.5385094, -0.1275347 38.539023)",,Carrer Primavera,,,,
679193335,False,,residential,True,46.967,"LINESTRING (-0.1237994 38.5409692, -0.1242095 38.5406944)",,Vía Emilio Ortuño,,,,
208407812,True,,residential,False,42.902,"LINESTRING (-0.1237994 38.5409692, -0.1235476 38.5411214, -0.1233853 38.5411727)",,Vía Emilio Ortuño,,,,
21233703,True,,residential,False,177.419,"LINESTRING (-0.1233853 38.5411727, -0.1233596 38.5410707, -0.1233614 38.5395791)",,Avenida del Doctor Orts Llorca,,,,
372090703,True,,residential,False,118.07100000000001,"LINESTRING (-0.1340044 38.5401128, -0.1339287 38.5400994, -0.1334053 38.5400065, -0.1328429 38.5399053, -0.1327602 38.5398996, -0.1326774 38.5398939)",,Avenida de Los Limones,,,,
551010265,True,,residential,False,27.988,"LINESTRING (-0.1340044 38.5401128, -0.1339377 38.5401771, -0.1338017 38.5403083)",,Carrer Maravall,,,,
115084382,True,,residential,False,41.782,"LINESTRING (-0.1339747 38.537801, -0.1344416 38.5378894)",,Carrer Marqués de Comillas,,,,
96259029,True,N-332a,secondary,False,110.216,"LINESTRING (-0.1327764 38.5428843, -0.1332985 38.542287, -0.1334997 38.5420705)",2,Avinguda del Rei Jaume I,,,,
208407808,True,N-332a,secondary,False,33.743,"LINESTRING (-0.1237213 38.5412947, -0.1236596 38.5412429, -0.1235816 38.5412, -0.1234999 38.5411756, -0.1233853 38.5411727)",,Avinguda d'Alfonso Puchades,,,,
208407813,True,,residential,False,37.388999999999996,"LINESTRING (-0.1237213 38.5412947, -0.1237208 38.541236, -0.1237257 38.5411827, -0.1237345 38.5411138, -0.123751 38.5410579, -0.1237597 38.5410245, -0.1237994 38.5409692)",,Vía Emilio Ortuño,,,,
208407808,True,N-332a,secondary,False,28.418,"LINESTRING (-0.1239099 38.5415034, -0.1237213 38.5412947)",,Avinguda d'Alfonso Puchades,,,,
"[83124656, 514965801]",False,,living_street,False,24.205000000000002,"LINESTRING (-0.1323791 38.5365088, -0.1323141 38.5364953, -0.132109 38.5364564)",,Passeig de la Carretera,,,,
83124656,False,,living_street,True,17.526,"LINESTRING (-0.1323791 38.5365088, -0.1324595 38.5365256, -0.1325738 38.5365494)",,Passeig de la Carretera,,,,
59077596,True,,residential,False,323.962,"LINESTRING (-0.1302199 38.5396073, -0.1299956 38.5387339, -0.1297169 38.538078, -0.1296661 38.5379736, -0.1291526 38.5370578, -0.1291081 38.53699, -0.1290828 38.5369845, -0.1290648 38.5369806, -0.1289953 38.5370269, -0.1289593 38.5370508)",,Avenida de Ruzafa - Avinguda de Russafa,,,,
20268899,True,,residential,False,88.825,"LINESTRING (-0.1324536 38.537232, -0.1334745 38.5372527)",,Carrer del Mercat,,,,
824869451,True,,residential,False,76.618,"LINESTRING (-0.1324536 38.537232, -0.1325738 38.5365494)",,Avenida de los Almendros,,,,
"[824869450, 83124615]",True,,residential,False,251.47199999999998,"LINESTRING (-0.1324536 38.537232, -0.1320603 38.5371968, -0.1316585 38.5371444, -0.1315947 38.5373772, -0.1315832 38.5374601, -0.1316416 38.537786, -0.1316669 38.5379014, -0.1318236 38.5387583)",,"['carrer Antonio Ramos Carratalà', 'Carrer del Mercat']",,,,
240854802,True,N-332a,secondary,False,79.56399999999998,"LINESTRING (-0.1296597 38.543809, -0.1299816 38.5439391, -0.1300143 38.5439531, -0.1303706 38.5440743, -0.1304348 38.5440875, -0.1304949 38.5440915)",2,Avinguda d'Alfonso Puchades,30,,,
378552832,True,,secondary,False,18.628999999999998,"LINESTRING (-0.1296597 38.543809, -0.1297797 38.5437997, -0.1298725 38.54379)",,Avenida Alfonso Puchades,,,,
