osmid,name,highway,oneway,reversed,length,geometry,lanes,junction,ref
74506697,Avenida de El Guijo,tertiary,False,True,24.354,"LINESTRING (-4.8455865 38.3815458, -4.8454858 38.3813415)",,,
74506697,Avenida de El Guijo,tertiary,False,False,21.384,"LINESTRING (-4.8455865 38.3815458, -4.8456373 38.381684, -4.8456762 38.3817217)",,,
74506697,Avenida de El Guijo,tertiary,False,True,52.039,"LINESTRING (-4.8456362 38.3821705, -4.8457324 38.3819048, -4.8457335 38.3818333, -4.8456762 38.3817217)",,,
153957827,,tertiary,True,False,17.617,"LINESTRING (-4.8456362 38.3821705, -4.8456027 38.382168, -4.8455699 38.382174, -4.8455412 38.3821879, -4.8455197 38.3822082, -4.8455075 38.3822328, -4.845506 38.3822592)",1,roundabout,
352131994,Calle Mayor,residential,True,False,148.796,"LINESTRING (-4.8496801 38.3809415, -4.849238 38.379649)",1,,
352135441,,tertiary,True,False,2.336,"LINESTRING (-4.8496801 38.3809415, -4.8496607 38.380956)",,roundabout,A-423a
352113385,Calle Santa Lucía,residential,False,True,131.002,"LINESTRING (-4.8529232 38.3751074, -4.8527301 38.3751125, -4.8521042 38.3752474, -4.851903 38.3754051, -4.851655 38.3756266)",,,
380980800,Ronda de los Muñoces,tertiary,False,False,64.615,"LINESTRING (-4.8529232 38.3751074, -4.8528043 38.3752149, -4.8527451 38.3752571, -4.8524637 38.3754328, -4.8523808 38.3755008)",2,,CO-421a
380980800,Ronda de los Muñoces,tertiary,False,True,79.656,"LINESTRING (-4.8529232 38.3751074, -4.8529767 38.3750029, -4.8529861 38.3749738, -4.8531274 38.3745364, -4.8531657 38.3744176)",2,,CO-421a
153957857,Calle Mediodía,residential,False,False,129.917,"LINESTRING (-4.8523403 38.3756504, -4.852255 38.3757359, -4.8519376 38.3767661)",,,
380980800,Ronda de los Muñoces,tertiary,False,False,151.78,"LINESTRING (-4.8523403 38.3756504, -4.8523461 38.3757005, -4.8526272 38.3764737, -4.8528018 38.3769657)",2,,CO-421a
380980800,Ronda de los Muñoces,tertiary,False,True,17.151,"LINESTRING (-4.8523403 38.3756504, -4.852343 38.375594, -4.8523808 38.3755008)",2,,CO-421a
153957799,Calle Benedicto XV,residential,False,False,171.69,"LINESTRING (-4.8516709 38.3806214, -4.8507013 38.3792774)",,,
379586711,Avenida de Villanueva de Córdoba,tertiary,False,False,7.633,"LINESTRING (-4.8516709 38.3806214, -4.851738 38.3805773)",2,,A-423a
379586711,Avenida de Villanueva de Córdoba,tertiary,False,True,3.732,"LINESTRING (-4.8516709 38.3806214, -4.8516356 38.3806404)",2,,A-423a
352113387,Calle San Ignacio de Loyola,residential,False,True,122.179,"LINESTRING (-4.8523808 38.3755008, -4.8522599 38.3755002, -4.8520475 38.3757095, -4.8518724 38.3759008, -4.8515981 38.3762768, -4.851531 38.3763198)",,,
380980800,Ronda de los Muñoces,tertiary,False,False,17.151,"LINESTRING (-4.8523808 38.3755008, -4.852343 38.375594, -4.8523403 38.3756504)",2,,CO-421a
380980800,Ronda de los Muñoces,tertiary,False,True,64.61500000000001,"LINESTRING (-4.8523808 38.3755008, -4.8524637 38.3754328, -4.8527451 38.3752571, -4.8528043 38.3752149, -4.8529232 38.3751074)",2,,CO-421a
380980800,Ronda de los Muñoces,tertiary,False,False,3.828,"LINESTRING (-4.8530466 38.3776742, -4.8530535 38.3777082)",2,,CO-421a
