osmid,highway,oneway,reversed,length,ref,name,geometry,lanes,maxspeed
53744198,residential,False,False,34.509,,,"LINESTRING (-8.7067781 42.4306559, -8.7071041 42.4304599)",,
737560231,secondary,False,False,146.297,PO-308,Avenida da Cruz,"LINESTRING (-8.7067781 42.4306559, -8.7067972 42.4306697, -8.7068627 42.4307173, -8.7074252 42.4311479, -8.7075307 42.4312819, -8.7075972 42.431412, -8.7076225 42.4315156, -8.707622 42.4316094, -8.7076112 42.4317031, -8.7075981 42.4317448)",,
"[611885730, 737560231]",secondary,False,True,279.615,PO-308,Avenida da Cruz,"LINESTRING (-8.7067781 42.4306559, -8.7065013 42.4304425, -8.7064433 42.4303747, -8.7064023 42.4303004, -8.7063796 42.430222, -8.7063758 42.4301418, -8.7063912 42.4300624, -8.7064252 42.4299863, -8.7067122 42.4296236, -8.7075006 42.4286999, -8.7076671 42.4285099)",,
30639414,secondary,False,False,36.447,PO-308,Avenida da Cruz,"LINESTRING (-8.7028949 42.4352421, -8.702461 42.435312)",,
30639414,secondary,False,True,17.575,PO-308,Avenida da Cruz,"LINESTRING (-8.7028949 42.4352421, -8.7031038 42.4352073)",,
173374080,secondary_link,True,False,9.401,,Avenida da Cruz,"LINESTRING (-8.7028949 42.4352421, -8.7029295 42.4353227)",,
8070522,residential,False,False,24.457,,Paseo das Redeiras,"LINESTRING (-8.7076021 42.4278211, -8.7076702 42.4277784, -8.7077329 42.4277493, -8.7078616 42.4277203)",,
8070521,residential,True,False,27.474,,Baixada á Chousa,"LINESTRING (-8.7075981 42.4317448, -8.7075153 42.4317692, -8.7074522 42.4317919, -8.7073798 42.4317984, -8.7072891 42.4317632)",1,20
737560231,secondary,False,False,18.213,PO-308,Avenida da Cruz,"LINESTRING (-8.7075981 42.4317448, -8.7075578 42.4318402, -8.7075213 42.4318981)",,
737560231,secondary,False,True,146.297,PO-308,Avenida da Cruz,"LINESTRING (-8.7075981 42.4317448, -8.7076112 42.4317031, -8.707622 42.4316094, -8.7076225 42.4315156, -8.7075972 42.431412, -8.7075307 42.4312819, -8.7074252 42.4311479, -8.7068627 42.4307173, -8.7067972 42.4306697, -8.7067781 42.4306559)",,
