osmid,name,highway,oneway,reversed,length,lanes,ref,maxspeed,junction,geometry,bridge
44702884,Carrer Lluna,residential,False,True,128.89,,,,,"LINESTRING (3.0517047 39.7367545, 3.0531554 39.7370693)",
145801015,avinguda Santa Catalina Thomàs,tertiary,True,False,45.618,,,,,"LINESTRING (3.0517047 39.7367545, 3.0515556 39.7371484)",
163603859,,tertiary,False,True,10.605,,,,,"LINESTRING (3.0517047 39.7367545, 3.0515846 39.7367307)",
51381963,carrer Rei Sanç,tertiary,True,False,66.462,,,,,"LINESTRING (3.051386 39.7375965, 3.0521341 39.7377587)",
145801015,avinguda Santa Catalina Thomàs,tertiary,True,False,85.757,,,,,"LINESTRING (3.051386 39.7375965, 3.0511057 39.738337)",
14484502,,secondary,True,False,7.832,1,Ma-3431,50,roundabout,"LINESTRING (3.0521879 39.7398857, 3.0521425 39.739881, 3.0520995 39.7398689)",
14484502,,secondary,True,False,15.012,1,Ma-3431,50,roundabout,"LINESTRING (3.0519839 39.7397062, 3.0519983 39.7396626, 3.0520278 39.7396238, 3.0520701 39.7395926)",
14484502,,secondary,True,False,13.058,1,Ma-3431,50,roundabout,"LINESTRING (3.0523488 39.7396152, 3.0523782 39.7396471, 3.0523968 39.7396836, 3.0524034 39.7397224)",
145801011,carrer Bernat Capó,tertiary,True,False,89.455,,,,,"LINESTRING (3.0527923 39.7378958, 3.0534363 39.7385298)",
145801041,Carrer Ruiz Zorrilla,residential,True,False,52.646,,,,,"LINESTRING (3.0527923 39.7378958, 3.0526248 39.7383514)",
32703670,Carrer Ruiz Zorrilla,residential,False,False,50.526,,,,,"LINESTRING (3.0527923 39.7378958, 3.052822 39.7378253, 3.05296 39.7374974, 3.0529743 39.7374635)",
163603848,Carrer de Santa Anna,secondary,False,True,86.48,,Ma-3500,,,"LINESTRING (3.0510515 39.7333054, 3.0519959 39.7335836)",
163964384,carrer Doctor Gómez Ulla,tertiary,True,False,49.268,,,,,"LINESTRING (3.0510515 39.7333054, 3.050902 39.7337333)",
145801032,carrer Doctor Gómez Ulla,tertiary,False,True,74.76599999999999,,,,,"LINESTRING (3.0510515 39.7333054, 3.0511037 39.7331377, 3.0511228 39.7329553, 3.0512283 39.7326489)",
145801042,carrer Maria i Josep,residential,False,False,93.35,,,,,"LINESTRING (3.0536717 39.7327058, 3.0537861 39.7327582, 3.0546187 39.7331234)",
655229456,carrer Major,tertiary,True,False,4.69,,,,,"LINESTRING (3.0587812 39.7330573, 3.0587597 39.7330961)",
