osmid,oneway,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,lanes
148847236,False,,Calle de Zulaida,residential,,False,42.52300000000001,"LINESTRING (-0.720549 38.0873017, -0.7206241 38.0872509, -0.7208728 38.0871193, -0.7208912 38.0871096, -0.7209489 38.087086)",,,
148847236,False,,Calle de Zulaida,residential,,True,42.498999999999995,"LINESTRING (-0.720549 38.0873017, -0.720487 38.087345, -0.7203689 38.0874275, -0.7202672 38.087481, -0.7201654 38.0875346)",,,
687413396,False,,Calle de Camilo José Cela,residential,,True,70.399,"LINESTRING (-0.720549 38.0873017, -0.7207643 38.0877526, -0.7207726 38.0877699, -0.7207997 38.0878267, -0.7208353 38.0878933)",,,
148860651,False,,Calle de la Escarihuela,residential,,False,124.09,"LINESTRING (-0.7258322 38.0834193, -0.7258716 38.0835446, -0.7258762 38.0837897, -0.7258656 38.0841717, -0.7259457 38.0845258)",,,
148862812,False,,Calle Ópalo,residential,,False,53.968,"LINESTRING (-0.7258322 38.0834193, -0.7260306 38.0831355, -0.7260177 38.0829744)",,,
148862812,False,,Calle Ópalo,residential,,True,49.874,"LINESTRING (-0.7258322 38.0834193, -0.7257337 38.0832611, -0.7257258 38.0832483, -0.7255402 38.0830355)",,,
42955329,False,,Calle San Pedro,residential,,False,94.91799999999999,"LINESTRING (-0.7207412 38.0837717, -0.7207783 38.0838515, -0.7210805 38.0845013, -0.721114 38.0845733)",,,
"[42955585, 678608065]",False,,"['Calle de Cañada', 'Calle Cabezo Soler']",residential,,False,139.75900000000001,"LINESTRING (-0.7207412 38.0837717, -0.720267 38.0839063, -0.7206264 38.0846715, -0.7206483 38.0847123)",,,
42955329,False,,Calle San Pedro,residential,,False,39.576,"LINESTRING (-0.7224484 38.0859876, -0.7225009 38.0860347, -0.7225005 38.0860887, -0.7224195 38.0863193)",,,
42955329,False,,Calle San Pedro,residential,,True,203.37900000000002,"LINESTRING (-0.7224484 38.0859876, -0.7221867 38.0857864, -0.7218724 38.0855487, -0.7215391 38.0853775, -0.7214622 38.0853349, -0.7214363 38.085306, -0.7211356 38.0846223, -0.721114 38.0845733)",,,
148860639,False,,Calle de Castellana,residential,,True,231.47299999999998,"LINESTRING (-0.7224484 38.0859876, -0.7226541 38.0859466, -0.7227599 38.0859162, -0.7225962 38.085544, -0.7222588 38.0852705, -0.7222432 38.0850884, -0.7221866 38.0850183, -0.7221612 38.0849664, -0.7220982 38.0848374, -0.7220843 38.0847488, -0.7220889 38.0846276, -0.7221868 38.084404, -0.7221868 38.0842595)",,,
42955329,False,,Calle San Pedro,residential,,False,7.791,"LINESTRING (-0.7224195 38.0863193, -0.7224429 38.0863869)",,,
42955329,False,,Calle San Pedro,residential,,True,39.576,"LINESTRING (-0.7224195 38.0863193, -0.7225005 38.0860887, -0.7225009 38.0860347, -0.7224484 38.0859876)",,,
397724524,False,,Calle Naranjos,residential,,False,54.650999999999996,"LINESTRING (-0.7224195 38.0863193, -0.7222296 38.0862833, -0.7219906 38.0863183, -0.7219501 38.0864612)",,,
42955329,False,,Calle San Pedro,residential,,False,30.623,"LINESTRING (-0.7224429 38.0863869, -0.7225735 38.0866424)",,,
42955329,False,,Calle San Pedro,residential,,True,7.791,"LINESTRING (-0.7224429 38.0863869, -0.7224195 38.0863193)",,,
42955355,False,,Calle Inmaculada,residential,,False,43.914,"LINESTRING (-0.7224429 38.0863869, -0.7219501 38.0864612)",,,
397724530,False,,Calle Trinquete,residential,,False,56.918,"LINESTRING (-0.7224429 38.0863869, -0.7227175 38.0864039, -0.7227338 38.0866987)",,,
42955329,False,,Calle San Pedro,residential,,True,30.623,"LINESTRING (-0.7225735 38.0866424, -0.7224429 38.0863869)",,,
197635172,True,,Carrer de San Pedro,residential,,False,14.533999999999999,"LINESTRING (-0.7225735 38.0866424, -0.722533 38.0866995, -0.7224925 38.0867565)",,,
148831591,True,,Plaza de Santa Cecilia,residential,,False,8.04,"LINESTRING (-0.7224925 38.0867565, -0.722575 38.0867883)",,,
197635170,False,,Calle de Zulaida,residential,,False,47.614000000000004,"LINESTRING (-0.7224925 38.0867565, -0.7223687 38.086781, -0.721965 38.0868613)",,,
"[678414225, 42955354, 148830205]",False,,"['Calle del Romero', 'Calle de Nuestro Padre Jesús']",residential,,"[False, True]",297.55,"LINESTRING (-0.720368 38.0851997, -0.7203121 38.0851298, -0.7202066 38.0849977, -0.7201608 38.0848371, -0.7200705 38.0847613, -0.7200158 38.0847452, -0.7199076 38.0847133, -0.7196179 38.084261, -0.7195076 38.0840391, -0.7193543 38.0841259, -0.7195443 38.0842851, -0.7195295 38.0843347, -0.7197197 38.0845546, -0.7199657 38.0849013, -0.7199769 38.0849759, -0.7199359 38.0851027)",,,
618087964,True,,Calle de Nuestro Padre Jesús,residential,,False,31.144,"LINESTRING (-0.720368 38.0851997, -0.7201796 38.0852089, -0.7200163 38.0852367)",,,
678414227,True,,Calle de Nuestro Padre Jesús,residential,,False,28.376,"LINESTRING (-0.720368 38.0851997, -0.7204242 38.0852121, -0.7204658 38.085256, -0.7205425 38.0853982)",,,
42955354,False,,Calle del Romero,residential,,False,16.478,"LINESTRING (-0.7200163 38.0852367, -0.7199359 38.0851027)",,,
42955354,False,,Calle del Romero,residential,,True,33.311,"LINESTRING (-0.7200163 38.0852367, -0.7200813 38.0853636, -0.7201676 38.0855115)",,,
42955354,False,,Calle del Romero,residential,,True,16.478,"LINESTRING (-0.7199359 38.0851027, -0.7200163 38.0852367)",,,
