osmid,oneway,ref,name,highway,maxspeed,reversed,length,lanes,geometry,bridge,junction
549546596,False,BI-734,Ambrosio de Los Heros etorbidea,primary,50,False,8.901,,"LINESTRING (-3.0807359 43.3210679, -3.0808207 43.3210169)",,
549546601,True,BI-734,,primary,,False,55.287,1,"LINESTRING (-3.0807359 43.3210679, -3.0804042 43.3212259, -3.0802563 43.3213313, -3.0802028 43.3213745)",,
292707854,True,,Avenida del Minero,tertiary,,False,32.937,,"LINESTRING (-3.073283 43.3218272, -3.0731574 43.3217926, -3.0731049 43.3217618, -3.0730598 43.3217216, -3.0729874 43.3216395)",,
396898076,False,BI-3724,,tertiary,50,False,24.936999999999998,,"LINESTRING (-3.073283 43.3218272, -3.0730903 43.321836, -3.0729756 43.3218437)",,
"[549546597, 596746198]",False,BI-3724,Barrio La Tejera,tertiary,50,True,111.851,,"LINESTRING (-3.073283 43.3218272, -3.0735405 43.3218211, -3.0740167 43.3218051, -3.074198 43.3218075, -3.0743459 43.3218206, -3.0744556 43.3218359, -3.0746478 43.3218904)",,
142419710,False,,Calle Nueva Avenida,residential,,True,44.668,,"LINESTRING (-3.0742346 43.3178157, -3.0743197 43.3178232, -3.0746711 43.3178543, -3.0747827 43.3178642)",,
"[396898072, 107629745, 107629730]",False,BI-3756,Meatzari Etorbidea,tertiary,,False,44.683,2,"LINESTRING (-3.0742346 43.3178157, -3.0743025 43.3177211, -3.0743637 43.3175874, -3.0743837 43.3175437, -3.0744294 43.3174408)",yes,
396898072,False,BI-3756,Meatzari Etorbidea,tertiary,,True,376.94100000000003,2,"LINESTRING (-3.0742346 43.3178157, -3.074141 43.3178856, -3.0740298 43.3179501, -3.0738947 43.3179978, -3.0737256 43.3180317, -3.0734533 43.3180829, -3.0731209 43.3181453, -3.0729581 43.3181759, -3.0727641 43.3182396, -3.0726151 43.3183196, -3.0724938 43.3184261, -3.0724319 43.3185277, -3.0723868 43.3186668, -3.0723906 43.3187686, -3.072434 43.3188794, -3.0726745 43.3192244, -3.0728285 43.3194822, -3.0730517 43.3199872, -3.0730901 43.3201484, -3.0731027 43.3202623)",,
27530336,False,BI-3756,Meatzari etorbidea,tertiary,50,True,158.376,2,"LINESTRING (-3.0744294 43.3174408, -3.074649 43.3168628, -3.0747127 43.3166952, -3.0747763 43.3164568, -3.0748811 43.3160561)",,
27530360,False,,Etorbide berria,residential,,False,191.315,,"LINESTRING (-3.0744294 43.3174408, -3.0744944 43.3174494, -3.0746556 43.3174714, -3.075267 43.3175518, -3.0756704 43.317683, -3.0761339 43.3178141, -3.0765201 43.3179078, -3.0766846 43.3179293)",,
107629736,False,,Calle Nafarroa,residential,,False,46.925999999999995,,"LINESTRING (-3.0744294 43.3174408, -3.0743589 43.3174455, -3.0742872 43.3174502, -3.073978 43.317476, -3.073852 43.3174781)",,
"[396898072, 107629745, 107629730]",False,BI-3756,Meatzari Etorbidea,tertiary,,True,44.68300000000001,2,"LINESTRING (-3.0744294 43.3174408, -3.0743837 43.3175437, -3.0743637 43.3175874, -3.0743025 43.3177211, -3.0742346 43.3178157)",yes,
"[598466544, 27530027]",False,BI-757,Variante de Gallarta,primary,,True,177.144,"['2', '3']","LINESTRING (-3.0784967 43.3207065, -3.0786696 43.3208681, -3.0787762 43.3209874, -3.0788772 43.3211401, -3.0789345 43.3212512, -3.0789773 43.321367, -3.0790075 43.3215113, -3.079021 43.3216114, -3.0790161 43.3216984, -3.079008 43.3217654, -3.0789822 43.321964, -3.0789466 43.3222002)",,
"[598466538, 554037298, 598466543]",False,BI-757,Variante de Gallarta,primary,,False,241.77500000000003,2,"LINESTRING (-3.0784967 43.3207065, -3.0783578 43.3205988, -3.0773605 43.3198257, -3.0772141 43.3196698, -3.0771551 43.3195761, -3.0771122 43.3194825, -3.0770532 43.3192288, -3.0770639 43.3191117, -3.0771452 43.3189194)",,
27530177,False,,Loredo auzoa,residential,,False,300.47999999999996,,"LINESTRING (-3.0701365 43.3175003, -3.0717522 43.3171361, -3.0718355 43.3171165, -3.0718912 43.3170793, -3.0719346 43.3170072, -3.0719319 43.316933, -3.0718869 43.316855, -3.0716526 43.3165613, -3.0711106 43.3158932)",,
27530177,False,,Loredo auzoa,residential,,True,62.774,,"LINESTRING (-3.0707287 43.315402, -3.0708489 43.3155706, -3.0708697 43.3155962, -3.0710382 43.3158039, -3.0711106 43.3158932)",,
27530336,False,BI-3756,Meatzari etorbidea,tertiary,50,False,104.13000000000001,2,"LINESTRING (-3.073965 43.3151017, -3.0741129 43.3151397, -3.0742947 43.3151864, -3.0745652 43.315245, -3.0746575 43.3152778, -3.0747342 43.3153154, -3.074847 43.3153922, -3.0748854 43.3154414, -3.0749007 43.3154609, -3.0749399 43.3155282, -3.0749647 43.315596)",,
105554115,False,,Kotarro auzoa,unclassified,,False,125.257,,"LINESTRING (-3.073965 43.3151017, -3.0739918 43.315068, -3.074034 43.315015, -3.074119 43.3149701, -3.0741407 43.3149586, -3.0742958 43.3149409, -3.0749795 43.3149445, -3.0752607 43.3148962, -3.0754062 43.3148729)",,
27530336,False,BI-3756,Meatzari etorbidea,tertiary,50,False,31.738,2,"LINESTRING (-3.0749544 43.3157757, -3.0748811 43.3160561)",,
27530336,False,BI-3756,Meatzari etorbidea,tertiary,50,True,19.999,2,"LINESTRING (-3.0749544 43.3157757, -3.0749647 43.315596)",,
114872503,False,,,residential,,False,96.373,,"LINESTRING (-3.0749544 43.3157757, -3.0750101 43.3157722, -3.0750557 43.3158445, -3.0752481 43.3158066, -3.0759508 43.3156098, -3.0760189 43.3155893)",,
27530356,False,,El Cerro,residential,,False,232.03899999999996,,"LINESTRING (-3.0766846 43.3179293, -3.0766782 43.3179761, -3.0766645 43.3180765, -3.0766316 43.318318, -3.0766266 43.3183546, -3.0766002 43.3184622, -3.0765256 43.3185824, -3.0764097 43.3186989, -3.0762248 43.3188119, -3.0761114 43.3188604, -3.0759709 43.3188962, -3.0757342 43.3189142, -3.0755049 43.3188873, -3.0753521 43.3188424, -3.0752017 43.3187815, -3.0749463 43.3186348, -3.0748615 43.3186003)",,
27530360,False,,Etorbide berria,residential,,False,110.774,,"LINESTRING (-3.0766846 43.3179293, -3.0778361 43.3180925, -3.0780286 43.3181198)",,
27530360,False,,Etorbide berria,residential,,True,191.31500000000003,,"LINESTRING (-3.0766846 43.3179293, -3.0765201 43.3179078, -3.0761339 43.3178141, -3.0756704 43.317683, -3.075267 43.3175518, -3.0746556 43.3174714, -3.0744944 43.3174494, -3.0744294 43.3174408)",,
396898081,False,BI-3724,,tertiary,50,False,9.552,,"LINESTRING (-3.0729756 43.3218437, -3.0728621 43.3218674)",,
27530000,False,BI-3756,Meatzari Etorbidea,tertiary,,False,22.726,,"LINESTRING (-3.0729756 43.3218437, -3.0729772 43.321807, -3.0729874 43.3216395)",,
