osmid,oneway,lanes,highway,reversed,length,geometry,ref,name,junction,maxspeed,tunnel,access
"[354346557, 82565991]",True,"['1', '2']",motorway_link,False,414.65799999999996,"LINESTRING (-2.846739 43.2355539, -2.8461469 43.2353645, -2.8454377 43.2352044, -2.8441785 43.2348673, -2.8432998 43.2346028, -2.8427938 43.2344505, -2.8425108 43.2343666, -2.8424295 43.2343353, -2.8423537 43.2342813, -2.8423116 43.2342196, -2.8422979 43.2341678, -2.8423057 43.2341073, -2.8423205 43.2340621, -2.842357 43.2340169)",,,,,,
677671254,True,2,trunk,False,20.279,"LINESTRING (-2.8485084 43.2294347, -2.8484459 43.2294329, -2.8483851 43.2294437, -2.8483595 43.2294544, -2.8483308 43.2294663, -2.8482871 43.229499)",N-634,Rotonda de Plazakoetxe,roundabout,,,
1001384069,True,2,residential,False,22.434,"LINESTRING (-2.8482449 43.2295794, -2.8479847 43.2296484)",,,,30,,
"[900172401, 899446303]",True,2,trunk,False,15.415,"LINESTRING (-2.8482449 43.2295794, -2.8482476 43.2296256, -2.848268 43.2296694, -2.8483043 43.2297072)",N-634,Rotonda de Plazakoetxe,roundabout,,,
900177535,True,2,trunk,False,8.833,"LINESTRING (-2.8483043 43.2297072, -2.8483461 43.2297327, -2.8483951 43.2297501)",N-634,Rotonda de Plazakoetxe,roundabout,,,
677671251,True,2,trunk,False,27.995,"LINESTRING (-2.8483951 43.2297501, -2.8484632 43.229759, -2.8485317 43.2297523, -2.8485942 43.2297308, -2.8486447 43.2296965, -2.8486785 43.2296526)",N-634,Rotonda de Plazakoetxe,roundabout,,,
900922244,True,2,trunk,False,32.255,"LINESTRING (-2.8483951 43.2297501, -2.8484674 43.2298406, -2.8486191 43.2299894)",N-634,Bilbao-Galdakao Errepidea,,50,,
677671253,True,2,trunk,False,6.056,"LINESTRING (-2.8486785 43.2296526, -2.8486925 43.2295991)",N-634,Rotonda de Plazakoetxe,roundabout,,,
58698007,True,1,residential,False,36.084,"LINESTRING (-2.8501982 43.2312261, -2.8504142 43.2315099)",,Travesía Zuatzaurre,,,,
975658192,True,2,trunk,False,109.863,"LINESTRING (-2.8501982 43.2312261, -2.8507924 43.2316924, -2.8509791 43.2318153, -2.8511841 43.2318931)",N-634,Bilbao-Galdakao Errepidea,,50,,
899446304,True,2,trunk,False,9.658000000000001,"LINESTRING (-2.8482871 43.229499, -2.8482586 43.2295371, -2.8482449 43.2295794)",N-634,Rotonda de Plazakoetxe,roundabout,,,
900184554,False,,residential,False,8.748,"LINESTRING (-2.8402457 43.2308705, -2.8403519 43.2308563)",,Juan Bautista Uriarte Kalea,,30,,
42278086,False,,residential,True,44.839,"LINESTRING (-2.8402457 43.2308705, -2.8401582 43.2308809, -2.8399841 43.2308891, -2.8398993 43.2308842, -2.8397705 43.2308623, -2.8397048 43.2308391)",,Juan Bautista Uriarte Kalea,,30,,
144475928,True,,residential,False,66.238,"LINESTRING (-2.8402457 43.2308705, -2.8402731 43.2309734, -2.8402834 43.2310326, -2.8402794 43.2310881, -2.8402629 43.231128, -2.8401369 43.2312178, -2.8400626 43.2312719, -2.8400493 43.2312971, -2.8400497 43.2313303, -2.840064 43.2313983)",,Bizkai kalea,,30,,
196591572,False,,residential,True,88.373,"LINESTRING (-2.8499222 43.2340483, -2.8501045 43.2340481, -2.8503819 43.2340479, -2.8506663 43.2340417, -2.850802 43.2340388, -2.8509895 43.2339685)",,Bizkai kalea,,30,,
642121653,True,,residential,False,13.791999999999998,"LINESTRING (-2.8499222 43.2340483, -2.8499177 43.2340237, -2.8499032 43.2340013, -2.84988 43.2339831, -2.8498502 43.233971, -2.8498169 43.2339661)",,Bizkai kalea,roundabout,,,
642121653,True,,residential,False,13.972,"LINESTRING (-2.8498169 43.2339661, -2.8497826 43.2339689, -2.8497512 43.2339794, -2.8497258 43.2339963, -2.8497088 43.2340182, -2.8497019 43.2340428)",,Bizkai kalea,roundabout,,,
641928824,True,,residential,False,14.348,"LINESTRING (-2.8497019 43.2340428, -2.8497061 43.2340684, -2.8497212 43.2340918, -2.8497457 43.2341104, -2.849777 43.2341224, -2.849812 43.2341266)",,Bizkai kalea,roundabout,,,
"[900184555, 42278101]",False,,residential,False,73.08900000000001,"LINESTRING (-2.8497019 43.2340428, -2.8495818 43.2340429, -2.8491246 43.2340433, -2.848974 43.2340434, -2.8489036 43.2340435, -2.8487997 43.2340435)",,Bizkai kalea,,30,,
664825218,False,,residential,False,8.758,"LINESTRING (-2.8427628 43.2340191, -2.8426597 43.2339954)",,Bizkai kalea,,30,,
95304773,True,,residential,False,138.764,"LINESTRING (-2.8427628 43.2340191, -2.84279 43.2340785, -2.8427929 43.2341583, -2.8427971 43.2342734, -2.844038 43.2346777)",,Ganguren Kalea,,,,
630051543,False,,residential,True,88.156,"LINESTRING (-2.8427628 43.2340191, -2.8428585 43.2340204, -2.8438508 43.2340336)",,Bizkai kalea,,30,,
