osmid,oneway,lanes,ref,name,highway,reversed,length,geometry,maxspeed,width,junction,bridge
362102906,True,2,TF-263,Avenida de La Trinidad,secondary,False,56.47,"LINESTRING (-16.3171376 28.4838666, -16.3169529 28.4843478)",,,,
24208833,True,1,,Calle Doctor Antonio González,residential,False,55.897,"LINESTRING (-16.3159055 28.4820923, -16.3157196 28.4825677)",,,,
28490064,False,,,Calle Pedro Zerolo,residential,True,173.50799999999998,"LINESTRING (-16.3159055 28.4820923, -16.3163268 28.4822294, -16.3165468 28.4822993, -16.3170273 28.4824555, -16.3170763 28.4824715, -16.3170905 28.4824761, -16.3171493 28.4824952, -16.3175716 28.482631)",,,,
24208833,True,1,,Calle Doctor Antonio González,residential,False,60.015,"LINESTRING (-16.3151781 28.4839131, -16.3149672 28.48442)",,,,
24208915,True,,,Calle Doctor Zamenhoff,residential,False,191.647,"LINESTRING (-16.3151781 28.4839131, -16.3165176 28.4838605, -16.3171376 28.4838666)",,,,
24208833,True,1,,Calle Doctor Antonio González,residential,False,70.998,"LINESTRING (-16.3149672 28.48442, -16.3147393 28.4849673, -16.3147252 28.4850216)",,,,
85788470,True,,,Calle Catedral,residential,False,37.804,"LINESTRING (-16.3149672 28.48442, -16.3149004 28.48443, -16.3146443 28.4844386, -16.3145816 28.4844364)",,,,
745150469,False,1,,Calle Doctor Antonio Gonzalez,residential,True,20.191,"LINESTRING (-16.3147252 28.4850216, -16.3146621 28.4851945)",,,,
24209032,True,1,,Calle Elías Serra Ràfols,residential,False,66.595,"LINESTRING (-16.3147252 28.4850216, -16.3147041 28.4849559, -16.3145971 28.4844872, -16.3145816 28.4844364)",30,,,
220346972,True,1,,,secondary,False,17.48,"LINESTRING (-16.314355 28.4854518, -16.3143462 28.4854903, -16.3143573 28.4855284, -16.3143861 28.4855585, -16.3144268 28.4855747)",,5,roundabout,
24610910,True,,,Calle María del Cristo Ossuna,residential,False,162.61,"LINESTRING (-16.3157196 28.4825677, -16.3141664 28.4820435)",,,,
24208833,True,1,,Calle Doctor Antonio González,residential,False,158.707,"LINESTRING (-16.3157196 28.4825677, -16.3156593 28.4827138, -16.3156023 28.4828529, -16.3154699 28.4831582, -16.3151781 28.4839131)",,,,
24208915,True,,,Calle Doctor Zamenhoff,residential,False,68.27,"LINESTRING (-16.3144798 28.4839287, -16.3151781 28.4839131)",,,,
24209032,True,1,,Calle Elías Serra Ràfols,residential,False,212.84199999999998,"LINESTRING (-16.3144798 28.4839287, -16.31432 28.4830962, -16.3143177 28.4830809, -16.3143122 28.4830427, -16.3143072 28.4830175, -16.3141362 28.4821407, -16.3141664 28.4820435)",30,,,
220626581,True,2,TF-263,Avenida de La Trinidad,secondary,False,138.583,"LINESTRING (-16.3170864 28.4843266, -16.3175487 28.4831484)",,,,
217483530,True,2,,Plaza de San Cristóbal,secondary,False,81.798,"LINESTRING (-16.3141097 28.484467, -16.3140038 28.4840982, -16.3139294 28.4838363, -16.3138821 28.4837618)",40,,,
24610910,True,,,Calle María del Cristo Ossuna,residential,False,85.49700000000001,"LINESTRING (-16.3141664 28.4820435, -16.3133863 28.4817865, -16.3133473 28.4817736)",,,,
24209032,True,1,,Calle Elías Serra Ràfols,residential,False,57.324,"LINESTRING (-16.3145816 28.4844364, -16.3145688 28.4843748, -16.3144798 28.4839287)",30,,,
85788470,True,,,Calle Catedral,residential,False,46.268,"LINESTRING (-16.3145816 28.4844364, -16.3145275 28.4844359, -16.3141097 28.484467)",,,,
25567839,True,,,Calle Manuel Hernández Martín,residential,False,9.933,"LINESTRING (-16.319847 28.4863024, -16.3199313 28.4863523)",,,,
477531152,True,,,Calle Núñez de la Peña,residential,False,37.578,"LINESTRING (-16.319847 28.4863024, -16.3200382 28.4860092)",20,,,
217483530,True,2,,Plaza de San Cristóbal,secondary,False,77.018,"LINESTRING (-16.314302 28.4851387, -16.3142198 28.4848508, -16.3141268 28.4845267, -16.3141097 28.484467)",40,,,
220346961,True,,,Calle Herradores,tertiary,False,233.13899999999998,"LINESTRING (-16.3156955 28.4873178, -16.3152201 28.4870006, -16.3150773 28.4867356, -16.3146767 28.4859918, -16.3144678 28.4855745)",,,,
111629674,True,2,TF-180,Avenida Leonardo Torriani,secondary,False,228.455,"LINESTRING (-16.3138821 28.4837618, -16.3138119 28.4836851, -16.3137699 28.4835919, -16.3136118 28.4829114, -16.3134436 28.4821881, -16.3133473 28.4817736)",40,,,
200295595,True,2,,Plaza de San Cristóbal,secondary_link,False,21.991999999999997,"LINESTRING (-16.3138821 28.4837618, -16.313844 28.4837524, -16.3137892 28.4837513, -16.3137485 28.4837619, -16.3137244 28.4837769, -16.3136887 28.4838178)",,,,
200295596,True,2,,Plaza de San Cristóbal,secondary,False,87.94299999999998,"LINESTRING (-16.3136887 28.4838178, -16.3136903 28.4838602, -16.3136987 28.4839074, -16.3137645 28.4841341, -16.3138521 28.4844397, -16.3138942 28.4845867)",40,,,
