osmid,oneway,highway,reversed,length,lanes,ref,name,geometry,maxspeed,junction
966411690,True,residential,False,6.302,,,,"LINESTRING (-4.0991418 36.7785079, -4.0990773 36.7785312)",,
966411692,True,tertiary,False,8.75,1,Calle Pilar San,Camino de Algarrobo,"LINESTRING (-4.0991418 36.7785079, -4.0991334 36.7784295)",,
455498300,False,tertiary,True,35.544,,MA-117,Carretera Arena,"LINESTRING (-4.095693 36.7798793, -4.0954858 36.7801525)",,
85650663,False,residential,True,58.886,,,Calle Jesús el Pobre,"LINESTRING (-4.095693 36.7798793, -4.0957549 36.7798995, -4.0963343 36.7800056)",,
"[455498297, 455498298, 455498299]",False,tertiary,False,79.919,,MA-117,Carretera Arena,"LINESTRING (-4.095693 36.7798793, -4.0957206 36.7798395, -4.0957286 36.7798305, -4.0957663 36.7797792, -4.0958961 36.779648, -4.0960313 36.779612, -4.0961845 36.779613, -4.0963281 36.7796322, -4.096361 36.7796359, -4.0964295 36.7796419)","['20', '40']",
455498306,False,tertiary,True,56.395,,MA-117,Carretera Arena,"LINESTRING (-4.094324 36.7852779, -4.094185 36.7857727)",40,
85650821,False,residential,True,90.30699999999999,,,,"LINESTRING (-4.094324 36.7852779, -4.0945229 36.7851134, -4.0946446 36.7849853, -4.0949158 36.7848711, -4.0951348 36.7848488)",,
"[455498304, 455498305, 455498306, 455498302, 455498303]",False,tertiary,False,502.38499999999993,,MA-117,"['Carretera Arena', 'Carretera del Arenas']","LINESTRING (-4.094324 36.7852779, -4.0945646 36.7847301, -4.0945917 36.7846723, -4.0947798 36.7842654, -4.0947818 36.7842395, -4.0947986 36.7840252, -4.0948121 36.7838537, -4.094824 36.78366, -4.0948302 36.7835595, -4.0948934 36.7833557, -4.0949446 36.7831903, -4.0950152 36.7829626, -4.0950232 36.7829369, -4.0950967 36.7826554, -4.095001 36.782441, -4.094808 36.7822774, -4.0947396 36.7821768, -4.0946635 36.7818258, -4.0946537 36.7817803, -4.0946127 36.7816392, -4.0946273 36.7814777, -4.0946686 36.7814064, -4.0947832 36.7812204, -4.0947979 36.7811936, -4.0948073 36.7811807, -4.0949246 36.7810055)","['20', '40']",
85651362,False,unclassified,False,21.614,,,,"LINESTRING (-4.0999522 36.7856087, -4.0998133 36.7857681)",,
85651382,False,residential,True,176.126,,,Calle Geradillo,"LINESTRING (-4.0999522 36.7856087, -4.09985 36.7854579, -4.0996318 36.7845658, -4.0995645 36.7843777, -4.0995326 36.7843213, -4.0994852 36.784269, -4.0994051 36.7842305, -4.0992793 36.7841967)",,
