osmid,name,highway,oneway,reversed,length,geometry,ref
191453461,Camino Nuevo,residential,False,False,96.29,"LINESTRING (-2.8666524 40.7601243, -2.866588 40.760295, -2.8665344 40.7604088, -2.8662905 40.7606462, -2.8662082 40.7607466, -2.8662013 40.7608222, -2.8662364 40.76089)",
191453461,Camino Nuevo,residential,False,True,215.62700000000004,"LINESTRING (-2.8666524 40.7601243, -2.866706 40.7600227, -2.8667865 40.7599171, -2.8670493 40.7596408, -2.8671888 40.7594783, -2.8672639 40.7593685, -2.867398 40.7592141, -2.8674678 40.7591126, -2.8675804 40.7588972, -2.867677 40.7587265, -2.8678124 40.7586313, -2.8679398 40.7585721, -2.8680216 40.7585215)",
494279530,,residential,False,False,133.714,"LINESTRING (-2.8666524 40.7601243, -2.866534 40.7601969, -2.8664134 40.7603039, -2.866357 40.7603462, -2.8663207 40.7603536, -2.8662814 40.7603479, -2.8662544 40.7603314, -2.866231 40.7603017, -2.8661711 40.7601886, -2.8661628 40.7601357, -2.8661845 40.7600391, -2.8662246 40.7599584, -2.8662149 40.759937, -2.8661866 40.7599225, -2.8661505 40.759919, -2.8658696 40.7600308, -2.8657904 40.7599625)",
930183382,Calle Arzobispo Don Rodrigo,residential,False,True,11.363,"LINESTRING (-2.8696889 40.7600445, -2.8698238 40.760043)",
254298202,Calle Armas,residential,False,False,83.977,"LINESTRING (-2.8696889 40.7600445, -2.8697029 40.7603703, -2.8697287 40.7607991)",
930183382,Calle Arzobispo Don Rodrigo,residential,False,False,39.59,"LINESTRING (-2.8696889 40.7600445, -2.869573 40.7600225, -2.8692329 40.7599581)",
191453461,Camino Nuevo,residential,False,False,19.083,"LINESTRING (-2.8680806 40.7583558, -2.8680216 40.7585215)",
338282059,Avenida de la Constitución,secondary,False,False,82.10300000000001,"LINESTRING (-2.8680806 40.7583558, -2.8683744 40.7583808, -2.8684847 40.7583948, -2.8685777 40.7584208, -2.8686321 40.758441, -2.8686816 40.7584637, -2.8687476 40.758504, -2.8688643 40.7586116, -2.8689192 40.7586568)",CM-2011
191453466,Calle Grupo Virgen de la Peña,residential,False,True,32.639,"LINESTRING (-2.8717097 40.7625854, -2.8714352 40.7627926)",
482036540,Avenida de Madrid,residential,False,True,19.091,"LINESTRING (-2.8717097 40.7625854, -2.8718559 40.7627166)",
482036540,Avenida de Madrid,residential,False,False,109.62299999999999,"LINESTRING (-2.8717097 40.7625854, -2.8713696 40.7622995, -2.8711907 40.7621112, -2.8711317 40.7620503, -2.8708465 40.7618516)",
482036540,Avenida de Madrid,residential,False,False,21.562,"LINESTRING (-2.8708465 40.7618516, -2.8706581 40.7617203)",
191453466,Calle Grupo Virgen de la Peña,residential,False,False,124.51100000000001,"LINESTRING (-2.8708465 40.7618516, -2.870814 40.7621737, -2.871054 40.7623762, -2.8710617 40.7624762, -2.8714352 40.7627926)",
482036540,Avenida de Madrid,residential,False,True,109.623,"LINESTRING (-2.8708465 40.7618516, -2.8711317 40.7620503, -2.8711907 40.7621112, -2.8713696 40.7622995, -2.8717097 40.7625854)",
254298189,Calle Huertas Altas,residential,False,True,74.24399999999999,"LINESTRING (-2.8671409 40.760612, -2.8671641 40.7605425, -2.867238 40.7605102, -2.8673374 40.7604622, -2.8674979 40.7603865, -2.8675103 40.760406, -2.8675444 40.7604596, -2.867648 40.7605706, -2.8677088 40.7606382)",
338282055,Paseo de la Fábrica,residential,False,False,213.20800000000003,"LINESTRING (-2.8671409 40.760612, -2.8676424 40.7613678, -2.8676844 40.7616089, -2.8677192 40.7617111, -2.8677427 40.7617598, -2.8677873 40.7618025, -2.8684318 40.762056, -2.8685 40.7620978)",
"[233189321, 569642260, 191453461]",Camino Nuevo,residential,False,True,85.40499999999999,"LINESTRING (-2.8671409 40.760612, -2.8663925 40.7609007, -2.866322 40.7609211, -2.8662721 40.7609143, -2.8662364 40.76089)",
233189519,,residential,False,True,27.821,"LINESTRING (-2.8713895 40.7586515, -2.8710768 40.7585709)",
338282063,Calle Cozagón,residential,False,True,68.613,"LINESTRING (-2.8713895 40.7586515, -2.8713887 40.7587879, -2.8713975 40.7588736, -2.8714307 40.7589318, -2.8715196 40.7591038, -2.8715786 40.7592434)",
338282064,Calle Cozagón,residential,False,False,36.219,"LINESTRING (-2.8713895 40.7586515, -2.8714009 40.7586223, -2.8714903 40.7583349)",
233189521,,residential,False,True,54.992000000000004,"LINESTRING (-2.8714903 40.7583349, -2.8714997 40.7583135, -2.8715456 40.7582082, -2.8718219 40.7581667, -2.872011 40.7582029)",
338282064,Calle Cozagón,residential,False,True,36.219,"LINESTRING (-2.8714903 40.7583349, -2.8714009 40.7586223, -2.8713895 40.7586515)",
525136709,Calle la Estrella,residential,False,False,46.15,"LINESTRING (-2.8714903 40.7583349, -2.8710818 40.7580932, -2.8710585 40.7580794)",
525136708,,residential,False,True,41.326,"LINESTRING (-2.8698508 40.7580297, -2.870031 40.7580885, -2.8702603 40.758174, -2.8702893 40.7581936)",
233189520,Plaza de Manu Leguineche,residential,False,True,53.626,"LINESTRING (-2.8710585 40.7580794, -2.8713086 40.7576359)",
525136709,Calle la Estrella,residential,False,False,57.169,"LINESTRING (-2.8710585 40.7580794, -2.8707713 40.7582295, -2.8704604 40.7583129)",
525136709,Calle la Estrella,residential,False,True,46.15,"LINESTRING (-2.8710585 40.7580794, -2.8710818 40.7580932, -2.8714903 40.7583349)",
233189519,,residential,False,False,32.807,"LINESTRING (-2.8707118 40.7584679, -2.8710768 40.7585709)",
254298213,,residential,False,True,63.584,"LINESTRING (-2.8707118 40.7584679, -2.8703862 40.7589838)",
233189519,,residential,False,True,27.434,"LINESTRING (-2.8707118 40.7584679, -2.8706272 40.75843, -2.8704604 40.7583129)",
525136708,,residential,False,False,19.587,"LINESTRING (-2.8704604 40.7583129, -2.8702893 40.7581936)",
233189519,,residential,False,False,27.434,"LINESTRING (-2.8704604 40.7583129, -2.8706272 40.75843, -2.8707118 40.7584679)",
525136709,Calle la Estrella,residential,False,True,57.169,"LINESTRING (-2.8704604 40.7583129, -2.8707713 40.7582295, -2.8710585 40.7580794)",
950756688,Paseo de María Cristina,secondary,False,False,7.318,"LINESTRING (-2.8693094 40.7624087, -2.8692402 40.7623689)",CM-2011
950756688,Paseo de María Cristina,secondary,False,True,16.455,"LINESTRING (-2.8693094 40.7624087, -2.8694651 40.7624981)",CM-2011
555232752,Paseo Jesús Ruiz Pastor,residential,False,False,123.76299999999999,"LINESTRING (-2.8693094 40.7624087, -2.8688247 40.7632725, -2.8687373 40.7634339)",
338282059,Avenida de la Constitución,secondary,False,False,5.894,"LINESTRING (-2.868787 40.7616801, -2.8687539 40.7617268)",CM-2011
