osmid,name,highway,oneway,reversed,length,geometry,ref,lanes,access,bridge,maxspeed
195039905,Calle Pelayo,residential,False,True,68.224,"LINESTRING (-5.5660968 43.2500921, -5.5659048 43.2494947)",,,,,
97586062,Carretera a Carrio,tertiary,False,False,132.895,"LINESTRING (-5.5660968 43.2500921, -5.5659905 43.2500978, -5.5657895 43.2501085, -5.5654918 43.2501077, -5.5651368 43.2500705, -5.5648055 43.2500236, -5.5644734 43.2499745)",,,,,
97586062,Carretera a Carrio,tertiary,False,True,52.58,"LINESTRING (-5.5660968 43.2500921, -5.5663862 43.2500542, -5.5667291 43.2499868)",,,,,
98565547,Calle Langreo,residential,False,False,74.082,"LINESTRING (-5.565498 43.2484006, -5.5646223 43.248593)",,,,,
98565547,Calle Langreo,residential,False,True,63.641,"LINESTRING (-5.565498 43.2484006, -5.5662508 43.2482366)",,,,,
195039905,Calle Pelayo,residential,False,False,65.649,"LINESTRING (-5.565498 43.2484006, -5.5657097 43.2489705)",,,,,
195039905,Calle Pelayo,residential,False,True,91.941,"LINESTRING (-5.565498 43.2484006, -5.5652148 43.2475999)",,,,,
98565544,Calle de Mariano Menéndez Valdés,residential,False,True,74.147,"LINESTRING (-5.5652148 43.2475999, -5.5643352 43.2477847)",,,,,
195039905,Calle Pelayo,residential,False,False,91.941,"LINESTRING (-5.5652148 43.2475999, -5.565498 43.2484006)",,,,,
195039905,Calle Pelayo,residential,False,True,69.622,"LINESTRING (-5.5652148 43.2475999, -5.5652225 43.2469738)",,,,,
418862483,Calle del Doctor Ochoa,residential,False,False,67.381,"LINESTRING (-5.5652148 43.2475999, -5.5660467 43.2476037)",,,,,
195039905,Calle Pelayo,residential,False,False,69.622,"LINESTRING (-5.5652225 43.2469738, -5.5652148 43.2475999)",,,,,
"[195039905, 418862477]",Calle Pelayo,residential,False,True,198.024,"LINESTRING (-5.5652225 43.2469738, -5.5652306 43.2465957, -5.5652347 43.2464955, -5.5652499 43.2461234, -5.5652521 43.2460695, -5.5652375 43.2459543, -5.5649641 43.2453213, -5.5649262 43.2452283)",,,,,
"[206641448, 206641423]","['Calle Fruela', 'Avenida de Arturo León']",residential,False,False,134.095,"LINESTRING (-5.5652225 43.2469738, -5.5660238 43.2469817, -5.5660334 43.247241, -5.5660467 43.2476037)",,,,,
"[206641448, 195039919]","['Avenida de Arturo León', 'Calle Victor Fernández Mayo']",residential,False,"[False, True]",108.179,"LINESTRING (-5.5652225 43.2469738, -5.5643241 43.2469681, -5.5643259 43.2470414, -5.5643318 43.2472865)",,,,,
10576105,Calle de Luis Alonso,residential,True,False,79.12800000000001,"LINESTRING (-5.5625939 43.2447821, -5.5623677 43.2448381, -5.5617596 43.2449886, -5.5616689 43.245011)",,,,,
10576105,Calle de Luis Alonso,residential,True,False,117.704,"LINESTRING (-5.5645169 43.2442917, -5.5643826 43.2443513, -5.5640254 43.2444339, -5.5635471 43.2445445, -5.5632592 43.244614, -5.5631491 43.2446406)",,,,,
"[418862480, 418862479]",Calle Río Cares,residential,False,False,109.295,"LINESTRING (-5.5645169 43.2442917, -5.564576 43.2444274, -5.5648886 43.2451458, -5.5649262 43.2452283)",,,,,
418862480,Calle Río Cares,residential,False,True,100.197,"LINESTRING (-5.5645169 43.2442917, -5.5644917 43.2442351, -5.5641355 43.2434345)",,,,,
