osmid,lanes,name,highway,oneway,reversed,length,geometry,junction,bridge,ref
"[136655186, 1066729471]",2,Avenida de Cehegín,primary,False,False,66.858,"LINESTRING (-1.675222 38.0462457, -1.6750701 38.0463165, -1.6748874 38.0464471, -1.674668 38.0466519)",,,
136655186,2,Avenida de Cehegín,primary,False,True,65.419,"LINESTRING (-1.675222 38.0462457, -1.6754282 38.0462148, -1.6756072 38.0462382, -1.675783 38.0463009, -1.6759189 38.0463714)",,,
"[180373498, 180373527]",,"['Calle Tolerancia', 'Calle Fernando Múgica']",residential,False,"[False, True]",113.322,"LINESTRING (-1.675222 38.0462457, -1.6749924 38.0458195, -1.6755167 38.0454469)",,,
136655186,2,Avenida de Cehegín,primary,False,False,65.419,"LINESTRING (-1.6759189 38.0463714, -1.675783 38.0463009, -1.6756072 38.0462382, -1.6754282 38.0462148, -1.675222 38.0462457)",,,
136655186,2,Avenida de Cehegín,primary,False,True,17.324,"LINESTRING (-1.6759189 38.0463714, -1.6759886 38.0464628, -1.6760078 38.0465096)",,,
180373513,,Calle Igualdad,residential,False,False,32.928,"LINESTRING (-1.6759189 38.0463714, -1.6759593 38.0462686, -1.6758969 38.0460866)",,,
180373744,,,residential,False,True,25.172,"LINESTRING (-1.6739195 38.0472409, -1.673931 38.0474671)",,,
1066729471,2,Avenida de Cehegín,primary,False,False,42.288,"LINESTRING (-1.6739195 38.0472409, -1.6735401 38.0474762)",,,
1066729471,2,Avenida de Cehegín,primary,False,True,2.724,"LINESTRING (-1.6739195 38.0472409, -1.6739399 38.0472224)",,,
180379324,,Calle San Blas,residential,False,True,85.205,"LINESTRING (-1.6735401 38.0474762, -1.6735601 38.0467101)",,,
1066729471,2,Avenida de Cehegín,primary,False,True,42.288,"LINESTRING (-1.6735401 38.0474762, -1.6739195 38.0472409)",,,
1154580090,1,Avenida de Cehegín,living_street,False,False,24.456,"LINESTRING (-1.6735401 38.0474762, -1.6733068 38.0475971)",,,
180379335,,Calle Magdalena,residential,False,False,100.651,"LINESTRING (-1.6733068 38.0475971, -1.6733218 38.046692)",,,
1154580090,1,Avenida de Cehegín,living_street,False,True,24.456,"LINESTRING (-1.6733068 38.0475971, -1.6735401 38.0474762)",,,
1154580090,1,Avenida de Cehegín,living_street,False,False,27.822000000000003,"LINESTRING (-1.6733068 38.0475971, -1.6731812 38.0476481, -1.6730121 38.0476877)",,,
136655179,1,Avenida de Cehegín,living_street,True,False,76.687,"LINESTRING (-1.6730121 38.0476877, -1.6728888 38.047698, -1.6725246 38.0477036, -1.6721371 38.0477046)",,,
1154580090,1,Avenida de Cehegín,living_street,False,True,27.822000000000003,"LINESTRING (-1.6730121 38.0476877, -1.6731812 38.0476481, -1.6733068 38.0475971)",,,
136655179,1,Avenida de Cehegín,living_street,True,False,15.513,"LINESTRING (-1.6721371 38.0477046, -1.6719607 38.0477175)",,,
180379136,,Calle Tres Marías,residential,False,False,130.505,"LINESTRING (-1.6721371 38.0477046, -1.6728932 38.0466932)",,,
136655179,1,Avenida de Cehegín,living_street,True,False,16.802,"LINESTRING (-1.6717477 38.0477462, -1.6715586 38.0477718)",,,
180375501,,Calle Carretas,residential,False,False,33.526,"LINESTRING (-1.6717477 38.0477462, -1.6717282 38.0475128, -1.6717277 38.0474452)",,,
136655179,1,Avenida de Cehegín,living_street,True,False,50.703,"LINESTRING (-1.6713223 38.0478088, -1.6708181 38.048033)",,,
180375779,,Calle Serranos,residential,False,True,24.016,"LINESTRING (-1.6713223 38.0478088, -1.6712757 38.0477074, -1.671184 38.0476269)",,,
180378045,,Calle Pañeros,residential,False,False,114.775,"LINESTRING (-1.6713223 38.0478088, -1.6713017 38.0475698, -1.6715689 38.0468056)",,,
180380444,,Calle del Castillo,residential,False,True,120.866,"LINESTRING (-1.6713223 38.0478088, -1.67135 38.0482478, -1.6714307 38.0488921)",,,
136655179,1,Avenida de Cehegín,living_street,True,False,22.918,"LINESTRING (-1.6708181 38.048033, -1.6706419 38.0481854)",,,
180378455,,Calle Juan de la Gloria Artero,residential,False,False,19.789,"LINESTRING (-1.6708181 38.048033, -1.6707075 38.0478778)",,,
180378455,,Calle Juan de la Gloria Artero,residential,False,True,74.893,"LINESTRING (-1.6708181 38.048033, -1.6709745 38.0483239, -1.6710274 38.0486791)",,,
180361569,1,Camino Real,living_street,True,False,12.53,"LINESTRING (-1.6702931 38.0484965, -1.6702707 38.0483852)",,,
180361665,,Calle de la Tercia,living_street,False,False,32.418,"LINESTRING (-1.6702931 38.0484965, -1.6702866 38.048788)",,,
136655178,,,primary,True,False,28.160000000000004,"LINESTRING (-1.6672222 38.0503333, -1.6671785 38.0503044, -1.6671254 38.0502882, -1.6670684 38.0502864, -1.6670138 38.0502993, -1.6669674 38.0503253, -1.6669457 38.0503485)",roundabout,,
156508131,,Avenida Francisco Puerta González-Conde,residential,False,True,52.031000000000006,"LINESTRING (-1.6672222 38.0503333, -1.6674014 38.0502005, -1.6674696 38.0501122, -1.667518 38.0500221, -1.6675296 38.0499497)",,,
180380893,,Avenida de Murcia,primary,False,True,13.532,"LINESTRING (-1.6672638 38.0504194, -1.6674144 38.0503921)",,,
136655178,,,primary,True,False,10.397,"LINESTRING (-1.6672638 38.0504194, -1.6672525 38.0503735, -1.6672222 38.0503333)",roundabout,,
136655178,,,primary,True,False,4.301,"LINESTRING (-1.6672579 38.0504578, -1.6672638 38.0504194)",roundabout,,
197059806,,Calle de Hernán Ceballos,residential,False,True,18.413,"LINESTRING (-1.6672579 38.0504578, -1.6674588 38.0505067)",,,
136655178,,,primary,True,False,15.176,"LINESTRING (-1.6669346 38.0504834, -1.6669686 38.0505202, -1.6670161 38.0505461, -1.6670717 38.0505584)",roundabout,,
180380592,,Avenida de Murcia,primary,False,False,162.57,"LINESTRING (-1.6669346 38.0504834, -1.6661618 38.0506261, -1.6651248 38.0508096)",,,
136655178,,,primary,True,False,21.45,"LINESTRING (-1.6670717 38.0505584, -1.6671206 38.050557, -1.6671672 38.0505449, -1.6672076 38.0505231, -1.6672387 38.0504933, -1.6672579 38.0504578)",roundabout,,
156504397,,Avenida de la Libertad,residential,False,False,122.4,"LINESTRING (-1.6670717 38.0505584, -1.6670329 38.0506365, -1.6660467 38.051293)",,,
180379852,,Camino del Molinico,residential,False,True,26.07,"LINESTRING (-1.6673807 38.0529223, -1.6675889 38.0527547)",,,
1112994192,,,residential,False,True,93.93199999999999,"LINESTRING (-1.6673807 38.0529223, -1.6673759 38.0528576, -1.6673499 38.052712, -1.6672748 38.0526141, -1.6672372 38.0526005, -1.6669453 38.0525276, -1.6666574 38.0524352)",,,
136684625,,,unclassified,False,True,6.453,"LINESTRING (-1.6736622 38.0530069, -1.6736646 38.0530649)",,,
"[136684627, 136684629]",1,,unclassified,False,False,400.34000000000003,"LINESTRING (-1.6736622 38.0530069, -1.6736349 38.0524979, -1.6736324 38.0524518, -1.6736337 38.0524339, -1.673636 38.0524019, -1.6736565 38.0522171, -1.6736717 38.0520904, -1.6736841 38.0519878, -1.6737 38.0518869, -1.6737122 38.0518155, -1.6737147 38.0517784, -1.6737112 38.0517451, -1.6736952 38.0517205, -1.6736594 38.0516929, -1.6736235 38.0516656, -1.6735984 38.0516466, -1.6735649 38.0515953, -1.6735425 38.0515322, -1.6735221 38.0514369, -1.6735165 38.0513519, -1.6735239 38.051261, -1.6735425 38.05117, -1.6735835 38.0510044, -1.6736375 38.0508607, -1.6736524 38.0507991, -1.673658 38.0507375, -1.6736561 38.0506774, -1.6736444 38.0506537, -1.6736394 38.0506436, -1.6736096 38.0506202, -1.6735295 38.0505674, -1.6733936 38.0504809, -1.67328 38.0503988, -1.673172 38.0503078, -1.673064 38.0502008, -1.6728759 38.049975, -1.6727325 38.0498005, -1.6726926 38.0497498)",,yes,
156504358,,,residential,True,False,9.988999999999999,"LINESTRING (-1.6649913 38.0500785, -1.6649719 38.0500949, -1.6649592 38.0501151, -1.6649543 38.0501372, -1.6649576 38.0501595)",roundabout,,
156504358,,,residential,True,False,7.384,"LINESTRING (-1.6649576 38.0501595, -1.6649686 38.0501799, -1.6649864 38.050197, -1.6650096 38.0502095)",roundabout,,
156504358,,,residential,True,False,20.718999999999998,"LINESTRING (-1.6650096 38.0502095, -1.6650421 38.050217, -1.6650758 38.0502155, -1.6651069 38.0502051, -1.6651319 38.0501872, -1.6651477 38.0501636, -1.6651525 38.0501373, -1.6651459 38.0501112)",roundabout,,
156504368,,Calle Luis Leante,residential,False,True,68.077,"LINESTRING (-1.6650096 38.0502095, -1.6649977 38.0502931, -1.6649973 38.0503586, -1.6650084 38.0504377, -1.6651248 38.0508096)",,,
1066729469,,Avenida de Murcia,primary,False,False,15.251,"LINESTRING (-1.6651248 38.0508096, -1.6649549 38.0508398)",,,
156504368,,Calle Luis Leante,residential,False,False,68.077,"LINESTRING (-1.6651248 38.0508096, -1.6650084 38.0504377, -1.6649973 38.0503586, -1.6649977 38.0502931, -1.6650096 38.0502095)",,,
180380592,,Avenida de Murcia,primary,False,True,162.57,"LINESTRING (-1.6651248 38.0508096, -1.6661618 38.0506261, -1.6669346 38.0504834)",,,
156508109,,Calle Rodríguez de la Fuente,residential,False,True,34.865,"LINESTRING (-1.6649806 38.0455662, -1.6649739 38.0458797)",,,
156508137,,Calle Tirso de Molina,residential,False,False,74.194,"LINESTRING (-1.6649806 38.0455662, -1.6658276 38.0455829)",,,
156508137,,Calle Tirso de Molina,residential,False,False,74.255,"LINESTRING (-1.6658276 38.0455829, -1.6666753 38.0455997)",,,
156508137,,Calle Tirso de Molina,residential,False,True,74.194,"LINESTRING (-1.6658276 38.0455829, -1.6649806 38.0455662)",,,
821632224,,Calle del Clavel,residential,False,True,34.771,"LINESTRING (-1.6658276 38.0455829, -1.6658176 38.0458955)",,,
156508118,,Calle Virgilio,residential,False,True,34.002,"LINESTRING (-1.6666753 38.0455997, -1.6666659 38.0459054)",,,
156508137,,Calle Tirso de Molina,residential,False,False,91.074,"LINESTRING (-1.6666753 38.0455997, -1.667715 38.0456203)",,,
156508137,,Calle Tirso de Molina,residential,False,True,74.255,"LINESTRING (-1.6666753 38.0455997, -1.6658276 38.0455829)",,,
156508137,,Calle Tirso de Molina,residential,False,False,64.409,"LINESTRING (-1.667715 38.0456203, -1.6684503 38.0456349)",,,
156508137,,Calle Tirso de Molina,residential,False,True,91.074,"LINESTRING (-1.667715 38.0456203, -1.6666753 38.0455997)",,,
156508138,,Avenida Francisco Puerta González-Conde,residential,False,False,34.539,"LINESTRING (-1.667715 38.0456203, -1.6677043 38.0459308)",,,
156508069,,Calle Los Rosales,residential,False,False,34.456,"LINESTRING (-1.6684503 38.0456349, -1.6684372 38.0459446)",,,
156508137,,Calle Tirso de Molina,residential,False,False,85.263,"LINESTRING (-1.6684503 38.0456349, -1.6694236 38.0456561)",,,
156508137,,Calle Tirso de Molina,residential,False,True,64.409,"LINESTRING (-1.6684503 38.0456349, -1.667715 38.0456203)",,,
156508068,,Calle Pino de la Murta,residential,False,True,6.038,"LINESTRING (-1.6694236 38.0456561, -1.6694233 38.0457104)",,,
156508137,,Calle Tirso de Molina,residential,False,True,85.263,"LINESTRING (-1.6694236 38.0456561, -1.6684503 38.0456349)",,,
