osmid,oneway,lanes,ref,highway,reversed,length,name,maxspeed,geometry,junction,width,tunnel
62307493,True,1,EX-107,primary,False,20.427,,,"LINESTRING (-7.0945276 38.6881797, -7.0946721 38.6880347)",,,
155989148,False,2,EX-107,primary,True,133.086,Carretera de Badajoz,90,"LINESTRING (-7.0945276 38.6881797, -7.0943308 38.6885215, -7.0939089 38.6892748)",,,
62307494,True,1,EX-105,primary,False,21.328,,,"LINESTRING (-7.0942282 38.6879917, -7.0944726 38.6879718)",,,
62307501,True,2,EX-107,primary,False,2.911,,,"LINESTRING (-7.0947678 38.6879047, -7.0947547 38.6878806)",roundabout,,
62307497,True,1,EX-105,primary,False,23.586,,,"LINESTRING (-7.094721 38.6880076, -7.0949914 38.6880287)",,,
62307501,True,2,EX-107,primary,False,12.414000000000001,,,"LINESTRING (-7.094721 38.6880076, -7.0947527 38.6879718, -7.0947678 38.6879047)",roundabout,,
62307501,True,2,EX-107,primary,False,5.136,,,"LINESTRING (-7.0944726 38.6879718, -7.0945045 38.6880107)",roundabout,,
62307501,True,2,EX-107,primary,False,15.632,,,"LINESTRING (-7.094608 38.6878052, -7.0945532 38.6878193, -7.0945006 38.6878417, -7.0944726 38.6878853)",roundabout,,
62307496,True,1,EX-105,primary,False,23.807,,,"LINESTRING (-7.0949914 38.6880287, -7.0947678 38.6879047)",,,
32653907,False,2,EX-105,primary,False,29.309000000000005,Avenida de Elvas,90,"LINESTRING (-7.0949914 38.6880287, -7.0950037 38.6880341, -7.0952 38.6881207, -7.0952834 38.688161)",,,
32653907,False,2,EX-105,primary,False,72.162,Avenida de Elvas,90,"LINESTRING (-7.0975875 38.6891513, -7.0978384 38.689361, -7.0980873 38.6896665)",,,
32653907,False,2,EX-105,primary,True,60.628,Avenida de Elvas,90,"LINESTRING (-7.0975875 38.6891513, -7.0975344 38.6891285, -7.0969756 38.6888883)",,,
183313909,False,1,,residential,False,127.05699999999999,Paseo de Tolosa,,"LINESTRING (-7.0975875 38.6891513, -7.0977425 38.6890636, -7.0980465 38.688898, -7.0982259 38.6888118, -7.0983636 38.6887817, -7.0984948 38.6887741, -7.0989059 38.6887218)",,,
62307501,True,2,EX-107,primary,False,10.307,,,"LINESTRING (-7.094717 38.6878387, -7.09467 38.6878161, -7.094608 38.6878052)",roundabout,,
62307503,True,1,EX-107,primary,False,35.744,Avenida de Villanueva,,"LINESTRING (-7.094717 38.6878387, -7.0947479 38.6877346, -7.0948392 38.6876167, -7.0948885 38.6875502)",,,
62307501,True,2,EX-107,primary,False,5.205,,,"LINESTRING (-7.0946721 38.6880347, -7.094721 38.6880076)",roundabout,,
62307501,True,2,EX-107,primary,False,5.693,,,"LINESTRING (-7.0947547 38.6878806, -7.094717 38.6878387)",roundabout,,
146399920,True,1,,residential,False,26.673,Calle Gasolinera,,"LINESTRING (-7.0947547 38.6878806, -7.0949172 38.687677)",,,
62307495,True,1,EX-107,primary,False,19.13,,,"LINESTRING (-7.0945045 38.6880107, -7.0945303 38.6880765, -7.0945276 38.6881797)",,,
62307501,True,2,EX-107,primary,False,15.652000000000001,,,"LINESTRING (-7.0945045 38.6880107, -7.0945492 38.6880363, -7.0946136 38.6880441, -7.0946721 38.6880347)",roundabout,,
62307500,True,1,EX-105,primary,False,24.289,,,"LINESTRING (-7.0944726 38.6878853, -7.0942282 38.6879917)",,,
62307501,True,2,EX-107,primary,False,9.96,,,"LINESTRING (-7.0944726 38.6878853, -7.0944577 38.6879268, -7.0944726 38.6879718)",roundabout,,
83244759,True,,,residential,False,6.787000000000001,San Pedro,,"LINESTRING (-7.1024067 38.6847257, -7.1024474 38.6847188, -7.1024819 38.6847094)",,,
560710220,False,1,,residential,True,54.785,Calle Reyes Católicos,,"LINESTRING (-7.1024067 38.6847257, -7.1023461 38.6847634, -7.1023473 38.6851956)",,,
146258994,False,1,,residential,True,68.751,Paseo de Hernán Cortés,,"LINESTRING (-7.098011 38.6845234, -7.098053 38.6845957, -7.0980731 38.6846531, -7.0981158 38.6851006, -7.0981198 38.6851311)",,,
"[574005650, 146400254]",False,1,,residential,False,27.083,"['Avenida de Ramón y Cajal', 'Avenida de Badajoz']",,"LINESTRING (-7.098011 38.6845234, -7.0978983 38.6845852, -7.0978114 38.6845801, -7.0977245 38.684575)",,,
146400254,False,1,,residential,True,53.147,Avenida de Ramón y Cajal,,"LINESTRING (-7.098011 38.6845234, -7.098059 38.6844776, -7.0983986 38.6841534)",,,
146400254,False,1,,residential,False,13.318,Avenida de Ramón y Cajal,,"LINESTRING (-7.0988125 38.6837616, -7.0987044 38.6838466)",,,
146400904,False,,,residential,False,16.492,Avenida de Ramón y Cajal,,"LINESTRING (-7.0988125 38.6837616, -7.098943 38.6836538)",,,
152628214,False,,,residential,False,49.468,Calle José Melero,,"LINESTRING (-7.0988125 38.6837616, -7.0992449 38.6840514)",,,
146400904,False,,,residential,False,11.154,Avenida de Ramón y Cajal,,"LINESTRING (-7.1004228 38.6834348, -7.1005513 38.6834338)",,,
146400904,False,,,residential,True,18.936,Avenida de Ramón y Cajal,,"LINESTRING (-7.1004228 38.6834348, -7.1002733 38.6834349, -7.1002051 38.683441)",,,
146400905,True,,,residential,False,22.39,Avenida de Portugal,,"LINESTRING (-7.1019919 38.6841335, -7.1021044 38.6843147)",,,
152628163,False,,,residential,False,28.793,Plaza de España,,"LINESTRING (-7.1019919 38.6841335, -7.1020805 38.6840811, -7.1022581 38.683979)",,,
152628207,False,,,tertiary,False,43.357,Calle Huertas,,"LINESTRING (-7.1047518 38.6812786, -7.1046903 38.6812614, -7.1046183 38.6812607, -7.1042574 38.6812842)",,,
379726472,False,,EX-315,tertiary,True,40.308,Avenida de la Caja Rural,,"LINESTRING (-7.1047518 38.6812786, -7.1046985 38.6813669, -7.1046744 38.6814122, -7.10461 38.681537, -7.1045938 38.6816173)",,7,
146238634,True,,,residential,False,8.583,Calle Chile,,"LINESTRING (-7.0939089 38.6892748, -7.0938281 38.6892303)",,,
155989148,False,2,EX-107,primary,False,133.086,Carretera de Badajoz,90,"LINESTRING (-7.0939089 38.6892748, -7.0943308 38.6885215, -7.0945276 38.6881797)",,,
146254994,False,,,residential,False,60.245,,,"LINESTRING (-7.0942947 38.6870637, -7.0949373 38.6872685)",,,
828796358,False,,,residential,False,77.694,,,"LINESTRING (-7.0942947 38.6870637, -7.095093 38.6867476)",,,
146254994,False,,,residential,True,5.966,,,"LINESTRING (-7.095005 38.6872778, -7.0949373 38.6872685)",,,
574005620,True,1,EX-107,primary,False,68.218,Avenida de Villanueva,,"LINESTRING (-7.095005 38.6872778, -7.094921 38.6874275, -7.0946944 38.6877125, -7.094608 38.6878052)",,,
828796358,False,,,residential,True,9.92,,,"LINESTRING (-7.0951951 38.6867075, -7.095093 38.6867476)",,,
574005620,True,1,EX-107,primary,False,65.903,Avenida de Villanueva,,"LINESTRING (-7.0951951 38.6867075, -7.0951571 38.6869163, -7.0950879 38.6871301, -7.095005 38.6872778)",,,
384139242,False,,,residential,False,56.321,Calle Italia,,"LINESTRING (-7.0948824 38.6832405, -7.0949387 38.6827359)",,,
"[384139242, 828796355]",False,,,residential,True,336.304,"['Calle Francia', 'Calle Italia']",,"LINESTRING (-7.0948824 38.6832405, -7.0947562 38.6842584, -7.0947773 38.6842929, -7.094846 38.6843105, -7.0952074 38.6843329, -7.0952695 38.6843259, -7.0953316 38.684303, -7.0953645 38.6842623, -7.0953812 38.6842057, -7.095558 38.6827971)",,,
146255557,False,,,residential,True,11.72,Calle Andorra,,"LINESTRING (-7.0956921 38.6828094, -7.095558 38.6827971)",,,
62307498,True,1,EX-107,primary,False,186.263,Avenida de Villanueva,,"LINESTRING (-7.0956921 38.6828094, -7.0954971 38.6842605, -7.095465 38.6843306, -7.09541 38.6844228, -7.0953941 38.6844607)",,,
384139242,False,,,residential,False,85.759,Calle Italia,,"LINESTRING (-7.0950414 38.6820653, -7.0951586 38.6812995)",,,
384139242,False,,,residential,True,75.098,Calle Italia,,"LINESTRING (-7.0950414 38.6820653, -7.0949387 38.6827359)",,,
560034767,False,,,residential,True,44.95,Calle Ucrania,,"LINESTRING (-7.0950414 38.6820653, -7.0945266 38.6820215)",,,
384139242,False,,,residential,True,85.759,Calle Italia,,"LINESTRING (-7.0951586 38.6812995, -7.0950414 38.6820653)",,,
560034725,False,,,residential,True,53.221,Calle Vaticano,,"LINESTRING (-7.0951586 38.6812995, -7.0957679 38.6813529)",,,
560034725,False,,,residential,False,45.657,Calle Vaticano,,"LINESTRING (-7.0951586 38.6812995, -7.0947533 38.6812668, -7.0946354 38.6812573)",,,
384139242,False,,,residential,False,75.098,Calle Italia,,"LINESTRING (-7.0949387 38.6827359, -7.0950414 38.6820653)",,,
384139242,False,,,residential,True,56.321,Calle Italia,,"LINESTRING (-7.0949387 38.6827359, -7.0948824 38.6832405)",,,
