osmid,ref,name,highway,oneway,reversed,length,bridge,geometry,junction,lanes,width,maxspeed
"[37196336, 37244886, 37196335]",LE-5325,Calle Maestra Susana González,tertiary,False,False,153.023,yes,"LINESTRING (-6.4197174 42.6131717, -6.4198104 42.6131038, -6.4205111 42.6126534, -6.4205845 42.6125782, -6.4206449 42.6125163, -6.4207209 42.6124082, -6.4207647 42.6123328, -6.4208576 42.612121)",,,,
37196335,LE-5325,Calle Maestra Susana González,tertiary,False,True,95.42200000000001,,"LINESTRING (-6.4197174 42.6131717, -6.4193636 42.6133877, -6.4192526 42.613453, -6.4189945 42.6135835, -6.4188873 42.6136315, -6.41878 42.6136796)",,,,
37833343,,Calle del Puente,residential,True,False,104.73299999999999,,"LINESTRING (-6.4197174 42.6131717, -6.4196599 42.6131105, -6.4195826 42.613038, -6.4194741 42.6129469, -6.4193625 42.6128774, -6.4191136 42.6127511, -6.4187446 42.6125742)",,,,
44722174,,Paseo Carrizales,residential,False,True,281.60499999999996,,"LINESTRING (-6.4197174 42.6131717, -6.4197829 42.6132593, -6.4199191 42.6133756, -6.4199799 42.6134595, -6.4200457 42.6135697, -6.4201069 42.6136598, -6.4201975 42.6137286, -6.4202882 42.613782, -6.4212328 42.6141997, -6.4222271 42.6146466, -6.4223031 42.6146808, -6.4223538 42.6147103)",,,,
37196335,LE-5325,Calle Maestra Susana González,tertiary,False,False,77.893,,"LINESTRING (-6.4179684 42.6140456, -6.4182003 42.613941, -6.4182971 42.6138972, -6.4185997 42.6137603, -6.41878 42.6136796)",,,,
37244647,LE-106,Calle Amable Arias Yebra,secondary,True,False,44.396,,"LINESTRING (-6.4179684 42.6140456, -6.4178962 42.6139878, -6.4175713 42.613774)",,,,
37244654,LE-5325,Calle Maestra Susana González,tertiary,False,False,42.956,,"LINESTRING (-6.4179684 42.6140456, -6.4176717 42.6142305, -6.4175747 42.6143008)",,,,
"[66034815, 547909115, 66034810, 38866167]",LE-106,"['Calle El Foso', 'Calle Judería']",secondary,True,False,307.7989999999999,,"LINESTRING (-6.4156057 42.6130097, -6.4155683 42.6130873, -6.4155117 42.6132047, -6.4154661 42.6132945, -6.4154438 42.6133267, -6.4154366 42.613337, -6.4153952 42.6133648, -6.4153361 42.6133982, -6.4152288 42.613414, -6.4150236 42.6134238, -6.4146601 42.6134386, -6.4142766 42.6134564, -6.4138746 42.6134715, -6.4137228 42.6134742, -6.4137201 42.6134993, -6.4137057 42.6135221, -6.4136813 42.6135397, -6.4136501 42.61355, -6.413616 42.6135516, -6.4135833 42.6135443, -6.4135505 42.6135843, -6.4134757 42.613685, -6.4133747 42.6138211, -6.4132969 42.6139168, -6.4132144 42.6139943, -6.4131004 42.6140718, -6.4129918 42.6141266, -6.4128577 42.6141675, -6.4127904 42.6141826, -6.4126811 42.614206)",,,,
79734982,,Calle Judería,residential,False,True,84.131,,"LINESTRING (-6.4156057 42.6130097, -6.4156667 42.6129027, -6.4157014 42.6128417, -6.4157443 42.6127659, -6.4158387 42.6126017, -6.415859 42.6125688, -6.4158816 42.6125322, -6.4159331 42.6124817, -6.4159735 42.6124543, -6.4160362 42.6124301, -6.4160897 42.6124196, -6.4161457 42.6124219)",,,,
37196258,LE-106,Rotonda El Minero,secondary,True,False,21.725,,"LINESTRING (-6.4126811 42.614206, -6.4126548 42.6141858, -6.4126216 42.6141724, -6.4125845 42.6141668, -6.4125468 42.6141697, -6.4125119 42.6141807, -6.4124832 42.6141989, -6.4124631 42.6142226)",roundabout,,,
