osmid,name,highway,oneway,reversed,length,geometry,junction,lanes,tunnel,maxspeed
84804281,Calle Hierros,tertiary,False,True,60.474,"LINESTRING (-5.6419463 36.8610304, -5.6424915 36.8613552)",,,,
476720109,Plaza del Ayuntamiento,tertiary,True,False,13.677,"LINESTRING (-5.6419463 36.8610304, -5.6420311 36.8609278)",,,,
84804353,Calle Encrucijada,residential,False,True,42.919,"LINESTRING (-5.6417163 36.8594241, -5.6413624 36.8596864)",,,,
84804261,Calle San Francisco,residential,False,False,168.899,"LINESTRING (-5.6417163 36.8594241, -5.6413268 36.8590604, -5.6410045 36.8587768, -5.6404541 36.8582897)",,,,
84804261,Calle San Francisco,residential,False,True,132.629,"LINESTRING (-5.6417163 36.8594241, -5.6418273 36.8595219, -5.6419234 36.8596066, -5.6427185 36.8603071)",,,,
84804353,Calle Encrucijada,residential,False,False,85.107,"LINESTRING (-5.6417163 36.8594241, -5.6422541 36.8590409, -5.6424307 36.8589151)",,,,
84804270,Calle Toledo,residential,False,False,83.989,"LINESTRING (-5.6477744 36.8623324, -5.6468523 36.8624944)",,,,
476728826,Calle Grazalema,residential,False,False,34.252,"LINESTRING (-5.6477744 36.8623324, -5.6478028 36.8620252)",,,,
476728826,Calle Grazalema,residential,False,True,33.635,"LINESTRING (-5.6477744 36.8623324, -5.6477455 36.862634)",,,,
84804272,Calle Cádiz,residential,False,False,72.064,"LINESTRING (-5.6435521 36.8619063, -5.6442259 36.8615466)",,,,
84804354,Calle Cáceres,residential,False,False,20.663,"LINESTRING (-5.6435521 36.8619063, -5.6433639 36.8617974)",,,,
84804354,Calle Cáceres,residential,False,True,38.696,"LINESTRING (-5.6435521 36.8619063, -5.6438951 36.8621203)",,,,
84806192,,residential,False,False,36.473,"LINESTRING (-5.644056 36.8597633, -5.6438019 36.8595059)",,,,
84806192,,residential,False,True,17.065,"LINESTRING (-5.644056 36.8597633, -5.6441882 36.8598745)",,,,
84804360,Calle Malteses,residential,False,False,62.591,"LINESTRING (-5.644056 36.8597633, -5.6435901 36.8600847, -5.6435139 36.8601205)",,,,
84804339,Calle Virgen de las Virtudes,residential,False,True,53.364,"LINESTRING (-5.6393742 36.8554245, -5.6397658 36.855788)",,,,
