osmid,name,highway,junction,oneway,reversed,length,geometry,lanes,maxspeed,access,ref
195259359,Plaça de Sant Vicenç,residential,roundabout,True,False,19.144,"LINESTRING (2.218784 41.5413507, 2.2186941 41.5413238, 2.2186366 41.5412823, 2.2186105 41.5412475)",,,,
52021598,Carrer de Roger de Llúria,residential,,True,False,108.27799999999999,"LINESTRING (2.2186105 41.5412475, 2.2184866 41.5412541, 2.2183342 41.5412892, 2.2174667 41.5415826, 2.2174575 41.5415857, 2.2174071 41.5416027)",1,,,
195259359,Plaça de Sant Vicenç,residential,roundabout,True,False,18.955,"LINESTRING (2.2186105 41.5412475, 2.2185943 41.5411662, 2.2186169 41.541104, 2.2186326 41.5410833)",,,,
195259359,Plaça de Sant Vicenç,residential,roundabout,True,False,16.906,"LINESTRING (2.2186326 41.5410833, 2.2187176 41.5410279, 2.2188043 41.5410087)",,,,
28458297,Plaça de Sant Vicenç,residential,roundabout,True,False,10.43,"LINESTRING (2.2188043 41.5410087, 2.2189279 41.5410242)",,,,
149250416,Rambla de Pompeu Fabra,residential,,True,False,119.062,"LINESTRING (2.2188043 41.5410087, 2.2187696 41.5408979, 2.2187063 41.5406956, 2.2185913 41.5403575, 2.2184657 41.5401031, 2.2184267 41.5400497, 2.2183787 41.5399917)",1,,,
28458297,Plaça de Sant Vicenç,residential,roundabout,True,False,11.540000000000001,"LINESTRING (2.2189279 41.5410242, 2.2189654 41.5410461, 2.2190257 41.5410972)",,,,
28458297,Plaça de Sant Vicenç,residential,roundabout,True,False,26.997000000000003,"LINESTRING (2.2190257 41.5410972, 2.2190349 41.5411149, 2.2190523 41.5411882, 2.2190225 41.541264, 2.2189703 41.5413129, 2.218961 41.5413163)",,,,
28458299,,residential,roundabout,True,False,25.163999999999998,"LINESTRING (2.2180912 41.5372388, 2.2180371 41.5372452, 2.2180071 41.5372427, 2.2179578 41.5372278, 2.2179222 41.5372048, 2.2178918 41.5371628, 2.2178859 41.5371231)",2,,,
28458304,Avinguda de les Teixidores,residential,,False,False,71.715,"LINESTRING (2.2180912 41.5372388, 2.2181607 41.5373234, 2.2184802 41.5377466, 2.2185194 41.5377984)",2,,,
28458307,Carrer de Can Fàbregas,residential,,False,True,118.84,"LINESTRING (2.2178859 41.5371231, 2.2177001 41.5372549, 2.2169546 41.5377838, 2.2168496 41.5378583)",2,,,
195259358,,residential,roundabout,True,False,10.834,"LINESTRING (2.2178859 41.5371231, 2.2179097 41.5370685, 2.2179458 41.537039)",2,,,
28458299,,residential,roundabout,True,False,8.518,"LINESTRING (2.2180691 41.5370176, 2.2181227 41.5370339, 2.2181561 41.5370559)",2,,,
505986945,,trunk_link,,True,False,21.527,"LINESTRING (2.2180691 41.5370176, 2.2181274 41.5369653, 2.218147 41.5369462, 2.2182334 41.5368681)",2,,,
28458304,Avinguda de les Teixidores,residential,,False,False,4.166,"LINESTRING (2.2185194 41.5377984, 2.2185443 41.5378309)",2,,,
28458304,Avinguda de les Teixidores,residential,,False,True,71.715,"LINESTRING (2.2185194 41.5377984, 2.2184802 41.5377466, 2.2181607 41.5373234, 2.2180912 41.5372388)",2,,,
149250416,Rambla de Pompeu Fabra,residential,,True,False,121.81,"LINESTRING (2.2183787 41.5399917, 2.2183262 41.5399467, 2.2177338 41.5394388, 2.2175569 41.5392624, 2.2175503 41.5392558, 2.2174538 41.5391445)",1,,,
183258280,Carrer del Sol,living_street,,False,False,11.232000000000001,"LINESTRING (2.2183787 41.5399917, 2.2183999 41.539984, 2.2184276 41.539972, 2.2184657 41.5399553, 2.2184943 41.5399399)",,,,
28458307,Carrer de Can Fàbregas,residential,,False,False,118.84,"LINESTRING (2.2168496 41.5378583, 2.2169546 41.5377838, 2.2177001 41.5372549, 2.2178859 41.5371231)",2,,,
195259355,,residential,roundabout,True,False,44.516000000000005,"LINESTRING (2.2168496 41.5378583, 2.2169775 41.5380093, 2.2170203 41.538089, 2.2170224 41.5381524, 2.2169752 41.5382154)",2,,,
195259346,Via de Ronda,residential,,False,False,88.624,"LINESTRING (2.207255 41.5405155, 2.2073633 41.5405889, 2.2080444 41.5410504)",2,,,
28973905,Carrer de Gaietà Vinzia,living_street,,True,False,54.257999999999996,"LINESTRING (2.2093505 41.5419292, 2.2094521 41.5418451, 2.2097075 41.5416324, 2.2097863 41.5415663)",1,30,,
145568471,,residential,,False,True,41.252,"LINESTRING (2.2093505 41.5419292, 2.2092599 41.5420073, 2.2090261 41.5422097)",1,,,
195259346,Via de Ronda,residential,,False,False,94.955,"LINESTRING (2.2093505 41.5419292, 2.2094741 41.542017, 2.2101295 41.542454, 2.210191 41.542506)",2,,,
