osmid,highway,maxspeed,oneway,reversed,length,geometry,lanes,name,tunnel,ref,junction,access
19803874,residential,30,False,False,79.346,"LINESTRING (2.0110655 41.3008857, 2.0112254 41.3010011, 2.0117446 41.3013846)",,,,,,
19822640,residential,30,True,False,95.601,"LINESTRING (2.0110655 41.3008857, 2.0103481 41.301466, 2.0102863 41.3015154)",1,Carrer de Tarragona,,,,
19822676,residential,,True,False,74.919,"LINESTRING (2.0102863 41.3015154, 2.0109343 41.3019812)",,Carrer de Lleida,,,,
19822640,residential,30,True,False,110.487,"LINESTRING (2.0102863 41.3015154, 2.0102382 41.3015548, 2.0094239 41.3022137, 2.0093867 41.3022438)",1,Carrer de Tarragona,,,,
"[1227684344, 1024594640]",residential,30,True,False,184.66199999999998,"LINESTRING (2.0093867 41.3022438, 2.0086987 41.3017822, 2.0081856 41.3014516, 2.0078421 41.3012279, 2.0078077 41.3012054, 2.0077751 41.3011823, 2.0077279 41.3011464)","['1', '2']",Carrer de Barcelona,,,,
19803874,residential,30,False,True,79.346,"LINESTRING (2.0117446 41.3013846, 2.0112254 41.3010011, 2.0110655 41.3008857)",,,,,,
19803865,residential,,True,False,104.233,"LINESTRING (2.0100369 41.3026325, 2.0101255 41.3025671, 2.0109343 41.3019812)",,Carrer de Girona,,,,
1227684344,residential,30,True,False,69.413,"LINESTRING (2.0100369 41.3026325, 2.0095805 41.3023617, 2.0093867 41.3022438)",1,Carrer de Barcelona,,,,
"[19825737, 19803923, 1023977470]",tertiary,30,False,False,36.713,"LINESTRING (2.0077279 41.3011464, 2.0076629 41.30123, 2.0076523 41.3012437, 2.0076403 41.3012591, 2.0075602 41.3013515, 2.0074993 41.3014283)",2,Avinguda de Bertran i Güell,yes,,,
19803865,residential,,True,False,94.79,"LINESTRING (2.0109343 41.3019812, 2.0115171 41.3015614, 2.0117446 41.3013846)",,Carrer de Girona,,,,
