osmid,highway,junction,oneway,reversed,length,geometry,ref,name,lanes,maxspeed,bridge,tunnel
737939369,tertiary,roundabout,True,False,7.771,"LINESTRING (-0.3288343 39.5746061, -0.3288622 39.5745785, -0.328869 39.574544)",,,,,,
23308848,tertiary,,True,False,8.205,"LINESTRING (-0.328869 39.574544, -0.3289238 39.5744835)",CV-3005,Avinguda Major,,,,
737939368,tertiary,roundabout,True,False,9.131,"LINESTRING (-0.328869 39.574544, -0.3288583 39.5745179, -0.3288352 39.5744971, -0.3288035 39.5744848)",,,,,,
641178596,tertiary,roundabout,True,False,6.257,"LINESTRING (-0.3288035 39.5744848, -0.3287671 39.5744831, -0.3287328 39.5744928)",,,,,,
97211730,tertiary,,False,True,56.569,"LINESTRING (-0.3287328 39.5744928, -0.3285775 39.5744765, -0.3281637 39.5744331, -0.3280789 39.5744237)",,Carrer del Camí Llari,,,,
641178596,tertiary,roundabout,True,False,5.651,"LINESTRING (-0.3287328 39.5744928, -0.3287085 39.57451, -0.328694 39.5745328)",,,,,,
97211546,tertiary,roundabout,True,False,18.979,"LINESTRING (-0.328694 39.5745328, -0.3286916 39.5745612, -0.3287043 39.5745879, -0.3287299 39.5746084, -0.3287641 39.5746191, -0.328801 39.5746183, -0.3288343 39.5746061)",,,,,,
23308849,tertiary,,True,False,18.718,"LINESTRING (-0.3289663 39.5743726, -0.3288035 39.5744848)",CV-3005,Avinguda Major,,,,
23308852,tertiary,,False,False,134.90599999999998,"LINESTRING (-0.3289663 39.5743726, -0.328986 39.5743344, -0.3290367 39.5742183, -0.3291153 39.5740661, -0.3292105 39.5739117, -0.3292913 39.5737781, -0.3295667 39.5734071, -0.3296601 39.573287)",CV-3005,Avinguda Major,2,40,,
23308852,tertiary,,False,False,87.625,"LINESTRING (-0.3296601 39.573287, -0.3297775 39.5731477, -0.3299117 39.5729729, -0.3300349 39.5727981, -0.3300829 39.572726, -0.3301652 39.5726025)",CV-3005,Avinguda Major,2,40,,
23308852,tertiary,,False,True,134.906,"LINESTRING (-0.3296601 39.573287, -0.3295667 39.5734071, -0.3292913 39.5737781, -0.3292105 39.5739117, -0.3291153 39.5740661, -0.3290367 39.5742183, -0.328986 39.5743344, -0.3289663 39.5743726)",CV-3005,Avinguda Major,2,40,,
97211534,residential,,False,True,41.054,"LINESTRING (-0.3296601 39.573287, -0.3295938 39.5732572, -0.3292257 39.5731322)",,Carrer de la Pobla de Farnals,,50,,
23308852,tertiary,,False,False,226.74399999999997,"LINESTRING (-0.3301652 39.5726025, -0.3302207 39.5724799, -0.33034 39.5722164, -0.3305016 39.5718727, -0.3305918 39.5717131, -0.3307172 39.5715207, -0.3308596 39.571318, -0.3308849 39.5712862, -0.33108 39.5710195, -0.3312304 39.5708148, -0.3312773 39.5707596)",CV-3005,Avinguda Major,2,40,,
23308852,tertiary,,False,True,87.625,"LINESTRING (-0.3301652 39.5726025, -0.3300829 39.572726, -0.3300349 39.5727981, -0.3299117 39.5729729, -0.3297775 39.5731477, -0.3296601 39.573287)",CV-3005,Avinguda Major,2,40,,
97253085,tertiary,,False,True,75.899,"LINESTRING (-0.3301652 39.5726025, -0.3302209 39.5726173, -0.3310024 39.5728249)",,Carrer de Serreta,,50,,
23308852,tertiary,,False,False,33.529,"LINESTRING (-0.3312773 39.5707596, -0.3313129 39.5706895, -0.3313834 39.5705505, -0.3314132 39.570477)",CV-3005,Avinguda Major,2,40,,
23308852,tertiary,,False,True,226.744,"LINESTRING (-0.3312773 39.5707596, -0.3312304 39.5708148, -0.33108 39.5710195, -0.3308849 39.5712862, -0.3308596 39.571318, -0.3307172 39.5715207, -0.3305918 39.5717131, -0.3305016 39.5718727, -0.33034 39.5722164, -0.3302207 39.5724799, -0.3301652 39.5726025)",CV-3005,Avinguda Major,2,40,,
97208616,residential,,True,False,67.953,"LINESTRING (-0.3312773 39.5707596, -0.3311927 39.5707475, -0.3308406 39.5706339, -0.3305251 39.5705736)",,Carrer del Bisbe Amigó,,,,
23308852,tertiary,,False,False,13.039,"LINESTRING (-0.3314132 39.570477, -0.331446 39.5703625)",CV-3005,Avinguda Major,2,40,,
23308852,tertiary,,False,True,33.529,"LINESTRING (-0.3314132 39.570477, -0.3313834 39.5705505, -0.3313129 39.5706895, -0.3312773 39.5707596)",CV-3005,Avinguda Major,2,40,,
97208609,residential,,False,True,63.004999999999995,"LINESTRING (-0.3314132 39.570477, -0.3310414 39.5704142, -0.3306996 39.5703419)",,Carrer de Sant Joan,,,,
23308852,tertiary,,False,True,107.178,"LINESTRING (-0.3317268 39.5694244, -0.3316875 39.569544, -0.3315605 39.5698929, -0.3315219 39.5700314, -0.3314764 39.5701945, -0.331446 39.5703625)",CV-3005,Avinguda Major,2,40,,
97086456,tertiary,,False,False,124.42699999999999,"LINESTRING (-0.3317268 39.5694244, -0.3317705 39.5693258, -0.3319717 39.5689409, -0.3322771 39.5683892)",CV-3005,Avinguda de Raval,2,40,,
97236092,residential,,True,False,55.410000000000004,"LINESTRING (-0.3317268 39.5694244, -0.3318071 39.5694405, -0.3323486 39.5695606)",,Carrer de Progrés,,50,,
97086456,tertiary,,False,False,31.918,"LINESTRING (-0.3322771 39.5683892, -0.332418 39.5681235)",CV-3005,Avinguda de Raval,2,40,,
97086456,tertiary,,False,True,124.42699999999999,"LINESTRING (-0.3322771 39.5683892, -0.3319717 39.5689409, -0.3317705 39.5693258, -0.3317268 39.5694244)",CV-3005,Avinguda de Raval,2,40,,
97086456,tertiary,,False,False,39.02,"LINESTRING (-0.332418 39.5681235, -0.3326025 39.5678027)",CV-3005,Avinguda de Raval,2,40,,
97086456,tertiary,,False,True,31.918,"LINESTRING (-0.332418 39.5681235, -0.3322771 39.5683892)",CV-3005,Avinguda de Raval,2,40,,
779414584,residential,,False,True,78.455,"LINESTRING (-0.332418 39.5681235, -0.3332703 39.5683807)",,Carrer Mestre Serrano,,,,
97086456,tertiary,,False,False,25.003,"LINESTRING (-0.3326025 39.5678027, -0.3327158 39.5675955)",CV-3005,Avinguda de Raval,2,40,,
97086456,tertiary,,False,True,39.02,"LINESTRING (-0.3326025 39.5678027, -0.332418 39.5681235)",CV-3005,Avinguda de Raval,2,40,,
23308857,tertiary,,True,False,20.655,"LINESTRING (-0.3331439 39.566709, -0.333295 39.5665643)",CV-3005,Avinguda de Raval,1,,,
97086456,tertiary,,False,True,5.417,"LINESTRING (-0.3331439 39.566709, -0.3331165 39.5667529)",CV-3005,Avinguda de Raval,2,40,,
