osmid,oneway,highway,reversed,length,geometry,ref,maxspeed,junction,lanes,name,bridge,access
151656437,True,primary_link,False,28.826,"LINESTRING (1.639715 41.1987519, 1.6398663 41.198679, 1.6399342 41.1986332, 1.6399867 41.1985943)",,,,,,,
734189707,True,primary,False,24.711000000000002,"LINESTRING (1.639715 41.1987519, 1.6397882 41.1987589, 1.6398565 41.1987801, 1.6399151 41.1988139, 1.63996 41.198858)",C-31,50,roundabout,,,,
734189707,True,primary,False,12.347,"LINESTRING (1.63996 41.198858, 1.6399881 41.1989093, 1.6399975 41.1989644)",C-31,50,roundabout,,,,
151665739,True,primary_link,False,36.7,"LINESTRING (1.6396445 41.1991682, 1.6395234 41.1992339, 1.6394123 41.1993294, 1.6393328 41.1993977)",,,,1,,,
835060470,True,primary,False,10.611,"LINESTRING (1.6396445 41.1991682, 1.6395763 41.1991472, 1.6395341 41.1991229)",C-31,50,roundabout,,,,
"[733879641, 734113499]",False,residential,False,41.735,"LINESTRING (1.6309144 41.1935852, 1.6307877 41.1935752, 1.6304188 41.1935429)",,,,,Avinguda de Tarragona,,
733879642,False,residential,False,162.613,"LINESTRING (1.6309144 41.1935852, 1.6310398 41.1936858, 1.631095 41.193732, 1.6316984 41.1942482, 1.6321855 41.1946457, 1.6322159 41.1946711)",,,,,Carrer de l'Estació,,
734119625,False,residential,True,333.29999999999995,"LINESTRING (1.6309144 41.1935852, 1.631127 41.1936278, 1.631347 41.1936742, 1.6328226 41.1940345, 1.6345708 41.1944542, 1.6347123 41.1944882)",,,,,Avinguda de Tarragona,,
289326502,False,residential,True,32.785,"LINESTRING (1.6347123 41.1944882, 1.6346347 41.1947772)",,,,,Avinguda de la Font / Riera de Cunit,,
1188246840,False,residential,False,118.197,"LINESTRING (1.6347123 41.1944882, 1.6350256 41.1934517)",,,,,Avinguda de la Font / Riera de Cunit,,
734119625,False,residential,False,333.3,"LINESTRING (1.6347123 41.1944882, 1.6345708 41.1944542, 1.6328226 41.1940345, 1.631347 41.1936742, 1.631127 41.1936278, 1.6309144 41.1935852)",,,,,Avinguda de Tarragona,,
"[734119640, 734119625, 733909738]",False,residential,True,93.73500000000001,"LINESTRING (1.6347123 41.1944882, 1.6347822 41.1945046, 1.6348228 41.1945135, 1.6356071 41.1946665, 1.6356785 41.1946809, 1.6357948 41.194705)",,,,,Avinguda de Tarragona,,
"[234946947, 734142413]",False,residential,False,53.03,"LINESTRING (1.6344973 41.1952765, 1.6345973 41.1953004, 1.6346822 41.1953118, 1.6348842 41.1953432, 1.6350705 41.1953712, 1.635116 41.195378)",,,,,Carrer de Joaquim Mir,,
"[734119642, 835060458]",False,residential,True,190.12899999999996,"LINESTRING (1.6344973 41.1952765, 1.6343091 41.1956252, 1.6342307 41.1957802, 1.6341141 41.1959969, 1.6341095 41.1960071, 1.6340948 41.1960324, 1.63389 41.1963705, 1.6336289 41.1968562)",,,,,Avinguda de la Font / Riera de Cunit,,
