osmid,ref,name,highway,oneway,reversed,length,geometry,lanes,maxspeed,junction,bridge,access
44960224,M-618,Avenida del Conde de las Almenas,secondary,False,False,4.465,"LINESTRING (-3.9241163 40.5764062, -3.9240842 40.5764381)",,,,,
44960224,M-618,Avenida del Conde de las Almenas,secondary,False,True,63.346000000000004,"LINESTRING (-3.9241163 40.5764062, -3.9242844 40.5762419, -3.9244455 40.5760808, -3.9245558 40.5759453)",,,,,
44960224,M-618,Avenida del Conde de las Almenas,secondary,False,False,63.346000000000004,"LINESTRING (-3.9245558 40.5759453, -3.9244455 40.5760808, -3.9242844 40.5762419, -3.9241163 40.5764062)",,,,,
44960224,M-618,Avenida del Conde de las Almenas,secondary,False,True,44.472,"LINESTRING (-3.9245558 40.5759453, -3.9247445 40.5757058, -3.9248255 40.5756018)",,,,,
48583259,,Avenida del Conde de las Almenas,residential,False,False,46.708000000000006,"LINESTRING (-3.9245558 40.5759453, -3.9244793 40.5759099, -3.9240834 40.5757269)",,,,,
44960224,M-618,Avenida del Conde de las Almenas,secondary,False,True,98.412,"LINESTRING (-3.9227049 40.5776665, -3.922757 40.5776199, -3.9234598 40.5769923)",,,,,
511410323,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,7.9910000000000005,"LINESTRING (-3.9256056 40.5745942, -3.9256455 40.5745748, -3.9256752 40.5745469)",1,30,roundabout,,
511410320,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,7.773,"LINESTRING (-3.925453 40.5744052, -3.9254226 40.5744314, -3.9254043 40.5744635)",1,30,roundabout,,
23603653,,Carretera N-VI,secondary,True,False,19.011,"LINESTRING (-3.9255646 40.5743802, -3.9254069 40.5742582)",1,50,,,
511410321,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,10.073,"LINESTRING (-3.9255646 40.5743802, -3.9255249 40.5743807, -3.9254867 40.5743892, -3.925453 40.5744052)",1,30,roundabout,,
511410322,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,0.76,"LINESTRING (-3.9255735 40.5743812, -3.9255646 40.5743802)",1,30,roundabout,,
"[645615194, 23603575]",M-618,"['Avenida del Conde de las Almenas', 'Camino de Valladolid']",tertiary,True,False,71.15799999999999,"LINESTRING (-3.925688 40.5744582, -3.9257263 40.5744092, -3.9260118 40.5740168, -3.9260585 40.5739878, -3.9261127 40.5739748, -3.9261725 40.5739791)",,,,,
32853669,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,13.533000000000001,"LINESTRING (-3.925688 40.5744582, -3.925671 40.5744307, -3.9256449 40.5744076, -3.9256116 40.5743907, -3.9255735 40.5743812)",1,,roundabout,,
23603556,,Calle Real,residential,True,False,73.096,"LINESTRING (-3.9254912 40.5747101, -3.9256287 40.5747667, -3.9261412 40.5749493, -3.9262706 40.5749955)",,,,,
32853671,M-618,Avenida del Conde de las Almenas,secondary,True,False,16.108,"LINESTRING (-3.9254912 40.5747101, -3.9255656 40.5746347, -3.9256056 40.5745942)",1,30,,,
523035467,M-618,Avenida del Conde de las Almenas,secondary,False,False,50.808,"LINESTRING (-3.9254912 40.5747101, -3.9254086 40.5748177, -3.925307 40.57495, -3.9251895 40.5751054)",,,,,
23603538,M-618,Avenida del Conde de las Almenas,secondary,True,False,13.153,"LINESTRING (-3.9254824 40.574592, -3.9254912 40.5747101)",2,30,,,
511410317,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,10.657,"LINESTRING (-3.9254824 40.574592, -3.9255437 40.5746034, -3.9256056 40.5745942)",1,30,roundabout,,
23603544,,Paseo de Joaquín Ruiz Jiménez,residential,True,False,161.11700000000002,"LINESTRING (-3.9256752 40.5745469, -3.9258451 40.574561, -3.9269549 40.5747035, -3.9273928 40.5747447, -3.9275622 40.5747549)",,,,,
32853669,M-618,Plaza de la Peña del Dedo Gordo,secondary,True,False,10.173,"LINESTRING (-3.9256752 40.5745469, -3.9256902 40.5745186, -3.9256945 40.5744883, -3.925688 40.5744582)",1,,roundabout,,
433598814,,Calle Hermanos Velasco López,residential,True,False,42.283,"LINESTRING (-3.928509 40.5757767, -3.9282429 40.5760988)",,20,,,
23603558,,Calle Hermanos Velasco López,residential,True,False,88.596,"LINESTRING (-3.9277924 40.5766567, -3.927272 40.5772857, -3.9272355 40.5773319)",,,,,
28746061,,Calle Ángel Alberquilla Polín,residential,True,False,104.901,"LINESTRING (-3.9277924 40.5766567, -3.9275517 40.5765326, -3.92681 40.5761503, -3.9267662 40.5761253)",,,,,
32854963,,Camino de Valladolid,tertiary,True,False,30.91,"LINESTRING (-3.9266079 40.5742806, -3.9269091 40.5744385)",,,,,
178086544,,Camino de Valladolid,tertiary,True,False,34.032,"LINESTRING (-3.9269663 40.5743782, -3.9266855 40.5741587)",,,,,
23603635,,Paseo de Joaquín Ruiz Jiménez,residential,False,True,114.628,"LINESTRING (-3.9229503 40.5732562, -3.9229209 40.5731544, -3.9228161 40.5730013, -3.9227815 40.5729347, -3.9227528 40.5728255, -3.9227615 40.5722544)",,,,,
319712569,,Paseo de Joaquín Ruiz Jiménez,residential,False,True,159.844,"LINESTRING (-3.9229503 40.5732562, -3.923059 40.5733062, -3.9234379 40.5736802, -3.9235447 40.5737676, -3.9236551 40.5738482, -3.9237882 40.57393, -3.9241518 40.574145, -3.9243089 40.5742415)",,,,,
28746081,,Calle Los Vascos,residential,False,False,44.992000000000004,"LINESTRING (-3.9243089 40.5742415, -3.9242825 40.5743138, -3.9241665 40.5746314)",,,,,
319712569,,Paseo de Joaquín Ruiz Jiménez,residential,False,False,159.84400000000002,"LINESTRING (-3.9243089 40.5742415, -3.9241518 40.574145, -3.9237882 40.57393, -3.9236551 40.5738482, -3.9235447 40.5737676, -3.9234379 40.5736802, -3.923059 40.5733062, -3.9229503 40.5732562)",,,,,
319712569,,Paseo de Joaquín Ruiz Jiménez,residential,False,True,81.945,"LINESTRING (-3.9243089 40.5742415, -3.9247356 40.5743725, -3.9250951 40.5744559, -3.9252249 40.5744815)",,,,,
188842072,,Carretera N-VI,secondary,True,False,16.803,"LINESTRING (-3.9254069 40.5742582, -3.9254416 40.5743689, -3.925453 40.5744052)",1,50,,,
"[188842073, 32853694]",,Carretera N-VI,secondary,False,False,170.911,"LINESTRING (-3.9254069 40.5742582, -3.9253347 40.5741435, -3.9253056 40.5740337, -3.9253244 40.5736102, -3.9253399 40.5735081, -3.9253688 40.5734247, -3.9257049 40.5727889)",2,50,,yes,
