osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,junction,maxspeed,bridge,access
108438285,N-634,Avenida Miramar,trunk,False,True,27.45,,"LINESTRING (-4.397407 43.3818098, -4.3975824 43.3820212)",,,,
47215569,N-634,Avenida Miramar,trunk,True,False,46.855,1,"LINESTRING (-4.397407 43.3818098, -4.3974035 43.3817549, -4.3973145 43.3816451, -4.3972829 43.3816056, -4.397264 43.3815799, -4.3972552 43.3815674, -4.397242 43.3815453, -4.3972363 43.381534, -4.3972299 43.3815204, -4.3972253 43.3815066, -4.397222 43.381492, -4.3972183 43.3814756, -4.3972162 43.3814591, -4.3972105 43.3814219)",,,,
47215563,N-634,Puente de la Maza,trunk,True,False,21.777,1,"LINESTRING (-4.396728 43.3813641, -4.3967726 43.3813781, -4.3967938 43.3813786, -4.3968211 43.3813795, -4.3968485 43.3813806, -4.3968873 43.3813825, -4.3969167 43.3813829, -4.3969432 43.3813803, -4.3969919 43.3813725)",,,,
545742800,N-634,,trunk,True,False,8.73,2,"LINESTRING (-4.3969719 43.3811877, -4.3969562 43.3811985, -4.3969427 43.3812107, -4.3969317 43.3812242, -4.3969233 43.3812387, -4.3969178 43.3812539)",roundabout,,,
47215565,CA-235,San Vicente de la Barquera-La Acebosa,secondary_link,True,False,21.766,1,"LINESTRING (-4.3971568 43.3810518, -4.3971278 43.3810561, -4.3971179 43.381061, -4.3971088 43.3810677, -4.3970887 43.3810832, -4.3970539 43.3811103, -4.3970272 43.381133, -4.3969719 43.3811877)",,50,,
545742800,N-634,,trunk,True,False,2.084,2,"LINESTRING (-4.3971865 43.3811997, -4.3971678 43.3811868)",roundabout,,,
47215566,CA-235,San Vicente de la Barquera-La Acebosa,secondary_link,True,False,15.113999999999999,1,"LINESTRING (-4.3971678 43.3811868, -4.3971642 43.3811502, -4.3971602 43.3811318, -4.3971587 43.3811167, -4.3971585 43.3811034, -4.3971595 43.3810909, -4.3971625 43.3810716, -4.3971568 43.3810518)",,50,,
545742800,N-634,,trunk,True,False,17.107,2,"LINESTRING (-4.3971678 43.3811868, -4.3971484 43.3811772, -4.3971272 43.3811698, -4.3971047 43.3811648, -4.3970814 43.3811623, -4.3970579 43.3811624, -4.3970347 43.3811651, -4.3970122 43.3811703, -4.3969912 43.3811779, -4.3969719 43.3811877)",roundabout,,,
545742800,N-634,,trunk,True,False,4.904,2,"LINESTRING (-4.3971944 43.3813434, -4.3972029 43.3813343, -4.3972103 43.3813246, -4.3972162 43.3813145, -4.3972209 43.381304)",roundabout,,,
545742800,N-634,,trunk,True,False,3.201,2,"LINESTRING (-4.3969919 43.3813725, -4.3970096 43.3813789, -4.3970283 43.3813837)",roundabout,,,
47215568,N-634,Avenida Miramar,trunk,True,False,48.83,1,"LINESTRING (-4.3970283 43.3813837, -4.397034 43.3814095, -4.3970361 43.3814163, -4.3970387 43.3814223, -4.397043 43.381429, -4.3970478 43.3814352, -4.3971012 43.3814873, -4.3971305 43.3815182, -4.3971366 43.3815247, -4.3971648 43.3815565, -4.3972101 43.3816125, -4.3972482 43.3816619, -4.3973259 43.3817626)",,,,
545742800,N-634,,trunk,True,False,15.025,2,"LINESTRING (-4.3970283 43.3813837, -4.3970485 43.3813869, -4.3970691 43.381388, -4.3970897 43.3813872, -4.39711 43.3813843, -4.3971296 43.3813796, -4.3971481 43.381373, -4.3971653 43.3813646, -4.3971808 43.3813547, -4.3971944 43.3813434)",roundabout,,,
752989857,,Camino Fuente El Hayedo,unclassified,False,False,85.619,,"LINESTRING (-4.4022057 43.3814549, -4.402194 43.3814585, -4.4021811 43.3814615, -4.4021684 43.3814641, -4.4021518 43.3814671, -4.4021365 43.3814697, -4.4019904 43.3814953, -4.4019697 43.3814994, -4.4019545 43.3815036, -4.40194 43.3815088, -4.4019259 43.381515, -4.4019138 43.3815214, -4.4018989 43.3815303, -4.4018847 43.38154, -4.40187 43.3815507, -4.4018573 43.3815622, -4.4018122 43.3816085, -4.4017964 43.3816247, -4.4017862 43.3816346, -4.401777 43.3816433, -4.4017645 43.3816537, -4.401752 43.3816624, -4.4016615 43.3817165, -4.4016527 43.3817219, -4.4016473 43.3817256, -4.401643 43.3817297, -4.4016395 43.3817348, -4.4016363 43.3817404, -4.4016323 43.3817494, -4.4016293 43.3817576, -4.401627 43.3817662, -4.4016251 43.3817754, -4.4016236 43.3817832, -4.4016228 43.3817893, -4.4016222 43.3817943, -4.4016218 43.3817993, -4.4016218 43.3818083, -4.401621 43.3818653, -4.4016194 43.3818971, -4.4016176 43.3819167, -4.4016156 43.3819299, -4.4016131 43.3819421, -4.4016094 43.3819522, -4.4016065 43.3819574, -4.401603 43.3819626, -4.4015954 43.3819716, -4.4015878 43.3819805)",,,,
