osmid,oneway,lanes,ref,name,highway,maxspeed,reversed,length,geometry,bridge,junction,tunnel
59139179,False,2,N-110,Avenida de España,secondary,50,False,3.393,"LINESTRING (-6.0945396 40.0261633, -6.0945574 40.026136)",,,
35412431,False,2,,Avenida de España,secondary,50,True,21.445,"LINESTRING (-6.0945396 40.0261633, -6.0944674 40.0262394, -6.0943679 40.0263023)",,,
31827573,False,2,,Avenida de Calvo Sotelo,secondary,50,False,19.149,"LINESTRING (-6.0890415 40.0288773, -6.0891562 40.0288397, -6.0892409 40.0287988)",,,
38104058,False,2,,Avenida de Alfonso VIII,secondary,50,True,280.29200000000003,"LINESTRING (-6.0890415 40.0288773, -6.08888 40.0289242, -6.0887718 40.028953, -6.0880652 40.0291248, -6.0880401 40.0291309, -6.0877615 40.0292043, -6.0876402 40.029256, -6.0872363 40.0295992, -6.0866176 40.0301518, -6.0864551 40.0302969)",,,
183289758,True,1,N-110,Avenida del Valle,secondary,50,False,180.97899999999998,"LINESTRING (-6.0890415 40.0288773, -6.088939 40.0287758, -6.0884017 40.0285837, -6.0882664 40.0285523, -6.0881323 40.0285359, -6.0879723 40.0285392, -6.0878507 40.0285533, -6.0877393 40.028579, -6.0875743 40.0286437, -6.0871536 40.0288549)",,,
36144112,True,,,Avenida de Calvo Sotelo,secondary,40,False,35.287,"LINESTRING (-6.0921582 40.027045, -6.0925695 40.0270839)",,,
31827573,False,2,,Avenida de Calvo Sotelo,secondary,50,True,73.78399999999999,"LINESTRING (-6.0921582 40.027045, -6.0914491 40.0269805, -6.0912973 40.0269914)",,,
36144109,True,,,,secondary,30,False,15.421,"LINESTRING (-6.0928911 40.0268201, -6.0927291 40.0268821)",,,
"[36143569, 36143570]",False,2,,Puente de Trujillo,secondary,50,False,134.137,"LINESTRING (-6.0928911 40.0268201, -6.094297 40.0263302, -6.0943255 40.0263214)",yes,,
184426379,True,1,CC-36,,residential,,False,22.065,"LINESTRING (-6.0943309 40.0261059, -6.0943679 40.0263023)",,,
36143570,False,,,,secondary,50,True,4.189,"LINESTRING (-6.0943679 40.0263023, -6.0943255 40.0263214)",,,
35412431,False,2,,Avenida de España,secondary,50,False,21.445,"LINESTRING (-6.0943679 40.0263023, -6.0944674 40.0262394, -6.0945396 40.0261633)",,,
815688055,False,2,,Avenida de La Salle,secondary,50,False,86.021,"LINESTRING (-6.0843974 40.0335492, -6.0847217 40.0329583, -6.0847888 40.032836)",,,
127395053,True,1,,Avenida de la Vera,residential,,False,119.47399999999999,"LINESTRING (-6.0858199 40.0309583, -6.0856611 40.0310587, -6.0845483 40.031397)",,,
252668451,False,2,,Avenida de La Salle,secondary,50,False,84.294,"LINESTRING (-6.0858199 40.0309583, -6.0859529 40.0307721, -6.0863973 40.0303453)",,,
285573623,False,2,,Avenida de La Salle,secondary,50,True,90.652,"LINESTRING (-6.0858199 40.0309583, -6.0856685 40.0312086, -6.0854071 40.0317095)",,,
36144113,True,,,Avenida de Calvo Sotelo,secondary,40,False,31.903,"LINESTRING (-6.0925223 40.0269963, -6.0924082 40.027034, -6.0921582 40.027045)",,,
905952437,True,,,Glorieta Puerta de Trujillo,secondary,40,False,10.794,"LINESTRING (-6.0925223 40.0269963, -6.0925275 40.0270284, -6.0925436 40.0270583, -6.0925695 40.0270839)",,roundabout,
"[905952436, 905952437]",True,,,Glorieta Puerta de Trujillo,secondary,40,False,14.987000000000002,"LINESTRING (-6.0925695 40.0270839, -6.0926048 40.027104, -6.092646 40.0271159, -6.0926899 40.0271186, -6.092733 40.027112)",,roundabout,
59139175,True,,,,residential,,False,11.114,"LINESTRING (-6.092733 40.027112, -6.0928605 40.0271334)",,,
905952436,True,,,Glorieta Puerta de Trujillo,secondary,40,False,9.546,"LINESTRING (-6.092733 40.027112, -6.0927666 40.0270994, -6.0927954 40.0270812, -6.0928178 40.0270583)",,roundabout,
905952436,True,,,Glorieta Puerta de Trujillo,secondary,40,False,15.058,"LINESTRING (-6.0928178 40.0270583, -6.0928343 40.0270269, -6.0928389 40.0269932, -6.0928312 40.0269599, -6.0928117 40.0269295)",,roundabout,
36144111,True,,,,secondary,30,False,13.917,"LINESTRING (-6.0928117 40.0269295, -6.0928911 40.0268201)",,,
905952436,True,,,Glorieta Puerta de Trujillo,secondary,40,False,8.911999999999999,"LINESTRING (-6.0928117 40.0269295, -6.0927756 40.0269005, -6.0927291 40.0268821)",,roundabout,
36144110,True,,,Glorieta Puerta de Trujillo,secondary,40,False,25.127,"LINESTRING (-6.0927291 40.0268821, -6.0926805 40.0268763, -6.0926319 40.0268822, -6.0925881 40.0268992, -6.0925531 40.0269257, -6.0925305 40.0269592, -6.0925223 40.0269963)",,roundabout,
252668451,False,2,,Avenida de La Salle,secondary,50,True,7.293,"LINESTRING (-6.0864551 40.0302969, -6.0863973 40.0303453)",,,
38104058,False,2,,Avenida de Alfonso VIII,secondary,50,False,280.292,"LINESTRING (-6.0864551 40.0302969, -6.0866176 40.0301518, -6.0872363 40.0295992, -6.0876402 40.029256, -6.0877615 40.0292043, -6.0880401 40.0291309, -6.0880652 40.0291248, -6.0887718 40.028953, -6.08888 40.0289242, -6.0890415 40.0288773)",,,
183299896,False,,,,residential,,False,51.115,"LINESTRING (-6.0864551 40.0302969, -6.086476 40.0303397, -6.0866656 40.0307274)",,,
183799818,True,,,Calle Duque de Ahumada,residential,,False,59.588,"LINESTRING (-6.0864259 40.0335653, -6.0869756 40.033897)",,,
549722351,False,2,,Avenida Juan Carlos I,residential,30,True,56.345,"LINESTRING (-6.0864259 40.0335653, -6.0868001 40.0331909, -6.0868322 40.0331656)",,,
549722351,False,2,,Avenida Juan Carlos I,residential,30,True,58.658,"LINESTRING (-6.0868322 40.0331656, -6.0873342 40.0328043)",,,
549722351,False,2,,Avenida Juan Carlos I,residential,30,False,56.345,"LINESTRING (-6.0868322 40.0331656, -6.0868001 40.0331909, -6.0864259 40.0335653)",,,
183666819,False,,,Calle Cruz de Santa Ana,living_street,,True,7.03,"LINESTRING (-6.0886524 40.0320863, -6.088606 40.032034)",,,
83265984,False,,,Calle Pedro de Lorenzo,residential,,False,83.268,"LINESTRING (-6.0886524 40.0320863, -6.0888846 40.0323089, -6.089227 40.032655, -6.0892502 40.0326789)",,,
183289974,True,,,Calle de Alonso Monroy,residential,,False,39.847,"LINESTRING (-6.0912973 40.0269914, -6.0908296 40.0270039)",,,
31827573,False,2,,Avenida de Calvo Sotelo,secondary,50,False,73.78399999999999,"LINESTRING (-6.0912973 40.0269914, -6.0914491 40.0269805, -6.0921582 40.027045)",,,
