osmid,oneway,name,highway,reversed,length,lanes,geometry,access,junction
28203586,True,Carrer de la Creu / Calle de la Cruz,residential,False,24.321,,"LINESTRING (-0.5549407 38.1927776, -0.5548149 38.1929727)",,
476994796,True,Carrer Degà Llópez / Calle del Dean Llópez,living_street,False,42.458,1,"LINESTRING (-0.5549407 38.1927776, -0.5553725 38.1929526)",,
663491624,True,Carrer Degà Llópez / Calle del Dean Llópez,residential,False,82.17800000000001,1,"LINESTRING (-0.5540627 38.1925134, -0.5541537 38.1925398, -0.554704 38.1927012, -0.5547794 38.1927234, -0.5548862 38.1927583, -0.5549407 38.1927776)",,
663468233,True,Carrer Antina / Calle Antina,residential,False,35.905,,"LINESTRING (-0.5535644 38.1923784, -0.5535059 38.192516, -0.5534355 38.192685)",,
663491624,True,Carrer Degà Llópez / Calle del Dean Llópez,residential,False,46.064,1,"LINESTRING (-0.5535644 38.1923784, -0.5539977 38.1924949, -0.5540627 38.1925134)",,
663491624,True,Carrer Degà Llópez / Calle del Dean Llópez,residential,False,47.824,1,"LINESTRING (-0.5523482 38.1920663, -0.5528684 38.1921998)",,
663766991,True,Carrer Sant Vicent / Calle de San Vicente,residential,False,42.889,,"LINESTRING (-0.5523482 38.1920663, -0.5522584 38.1924455)",,
299676263,False,Carrer Caritat / Calle de la Caridad,residential,False,46.326,,"LINESTRING (-0.5518197 38.1919363, -0.551663 38.1923343)",,
299676263,False,Carrer Caritat / Calle de la Caridad,residential,True,34.743,,"LINESTRING (-0.5518197 38.1919363, -0.5519245 38.1916349)",,
663468234,False,Carrer Degà Llópez / Calle del Dean Llópez,residential,True,101.642,1,"LINESTRING (-0.5518197 38.1919363, -0.5507006 38.1916874)",,
663491624,True,Carrer Degà Llópez / Calle del Dean Llópez,residential,False,48.396,1,"LINESTRING (-0.5518197 38.1919363, -0.5523482 38.1920663)",,
"[35932865, 663766989]",True,"['Carrer Caritat / Calle de la Caridad', 'Avinguda Alcalde Francisco Conejero Bas / Avenida del Alcalde Francisco Conejero Bas']","['residential', 'tertiary']",False,114.4,,"LINESTRING (-0.5524403 38.190083, -0.5524861 38.1899161, -0.5524582 38.1898505, -0.5523329 38.1897809, -0.5516934 38.1897923, -0.5514836 38.1897773)",,
44651399,False,Carrer Castaños / Calle de los Castaños,living_street,True,46.172,,"LINESTRING (-0.553948 38.1905272, -0.5541524 38.1901443)",,
663766992,True,Carrer José Alejo Bonmatí / Calle de José Alejo Bonmatí,residential,False,97.80000000000001,,"LINESTRING (-0.553948 38.1905272, -0.5536879 38.1904384, -0.5534044 38.1903495, -0.55315 38.1902595, -0.5529114 38.1901976)",,
