osmid,name,highway,oneway,reversed,length,geometry,junction,ref,bridge,tunnel
43734972,Calle Santa Rita,residential,False,True,40.369,"LINESTRING (-1.2458997 38.029095, -1.2463346 38.0289748)",,,,
198813406,Calle Chile,residential,False,True,64.311,"LINESTRING (-1.2451205 38.0287013, -1.2453712 38.0292449)",,,,
530370685,Calle Oltra Moltó,residential,False,False,46.945,"LINESTRING (-1.2451205 38.0287013, -1.2456533 38.0286554)",,,,
530370685,Calle Oltra Moltó,residential,False,True,1.716,"LINESTRING (-1.2451205 38.0287013, -1.245101 38.0287028)",,,,
530370690,Calle Jacinto Benavente,residential,False,True,64.759,"LINESTRING (-1.2455937 38.0280749, -1.2456533 38.0286554)",,,,
43734977,Travesía Barrio de la Paz,residential,False,False,49.041,"LINESTRING (-1.2455937 38.0280749, -1.2450623 38.0281066, -1.2450354 38.0281082)",,,,
530370690,Calle Jacinto Benavente,residential,False,False,62.474,"LINESTRING (-1.2455937 38.0280749, -1.2455913 38.0280507, -1.2455392 38.0275147)",,,,
43734977,Travesía Barrio de la Paz,residential,False,False,49.196,"LINESTRING (-1.2450354 38.0281082, -1.2444765 38.0281521)",,,,
530370691,Calle Saavedra Fajardo,residential,False,True,66.366,"LINESTRING (-1.2450354 38.0281082, -1.245101 38.0287028)",,,,
43734977,Travesía Barrio de la Paz,residential,False,True,49.041,"LINESTRING (-1.2450354 38.0281082, -1.2450623 38.0281066, -1.2455937 38.0280749)",,,,
530370691,Calle Saavedra Fajardo,residential,False,False,99.34700000000001,"LINESTRING (-1.2450354 38.0281082, -1.2450338 38.0280925, -1.2449464 38.0272175)",,,,
43734978,Calle Argentina,residential,False,True,76.808,"LINESTRING (-1.2445632 38.0287483, -1.2448669 38.0293963)",,,,
530370685,Calle Oltra Moltó,residential,False,False,47.376,"LINESTRING (-1.2445632 38.0287483, -1.245101 38.0287028)",,,,
530370685,Calle Oltra Moltó,residential,False,True,1.764,"LINESTRING (-1.2445632 38.0287483, -1.2445432 38.0287502)",,,,
43734977,Travesía Barrio de la Paz,residential,False,False,48.268,"LINESTRING (-1.2444765 38.0281521, -1.2439272 38.0281869)",,,,
43734977,Travesía Barrio de la Paz,residential,False,True,49.196,"LINESTRING (-1.2444765 38.0281521, -1.2450354 38.0281082)",,,,
530370692,Calle Calderón de la Barca,residential,False,True,66.762,"LINESTRING (-1.2444765 38.0281521, -1.2445432 38.0287502)",,,,
530370692,Calle Calderón de la Barca,residential,False,False,100.494,"LINESTRING (-1.2444765 38.0281521, -1.2444748 38.0281341, -1.2443918 38.0272508)",,,,
43734989,Calle Antonio Machado,residential,False,False,53.808,"LINESTRING (-1.2429958 38.0289089, -1.2428001 38.0284502)",,,,
530636528,Calle Oltra Moltó,residential,False,False,39.427,"LINESTRING (-1.2429958 38.0289089, -1.243442 38.0288621)",,,,
43734960,Calle Salceda,residential,False,True,57.46,"LINESTRING (-1.2429958 38.0289089, -1.2427549 38.0289578, -1.2427451 38.0289608, -1.2423751 38.0290736)",,,,
43734989,Calle Antonio Machado,residential,False,True,107.24,"LINESTRING (-1.2429958 38.0289089, -1.243054 38.0290314, -1.2434251 38.0298121)",,,,
43734977,Travesía Barrio de la Paz,residential,False,True,48.268,"LINESTRING (-1.2439272 38.0281869, -1.2444765 38.0281521)",,,,
530376866,Calle Lope de Vega,residential,False,False,99.574,"LINESTRING (-1.2439272 38.0281869, -1.2439254 38.0281694, -1.243922 38.0281365, -1.2438358 38.0272943)",,,,
530376866,Calle Lope de Vega,residential,False,True,68.425,"LINESTRING (-1.2439272 38.0281869, -1.243945 38.0283404, -1.2439983 38.0287997)",,,,
