osmid,oneway,name,highway,reversed,length,ref,maxspeed,access,geometry,junction
158196809,True,Calle la Cruz,residential,False,59.599,,,,"LINESTRING (-5.5435564 37.2592456, -5.5442209 37.2591586)",
158196811,False,Calle Barriete,tertiary,False,14.205,SE-4200,50,yes,"LINESTRING (-5.5435564 37.2592456, -5.5434435 37.2593364)",
158196811,False,Calle Barriete,tertiary,True,141.489,SE-4200,50,yes,"LINESTRING (-5.5435564 37.2592456, -5.5438228 37.259072, -5.5443417 37.2587766, -5.5448669 37.2585197)",
326571160,False,Calle Santa María Magdalena,residential,True,46.037,,,,"LINESTRING (-5.5396254 37.262142, -5.5399491 37.2624661)",
158191767,False,Calle Puerta Osuna,tertiary,True,216.692,SE-4200,,yes,"LINESTRING (-5.5396254 37.262142, -5.5402004 37.2618209, -5.5409901 37.2614179, -5.5416223 37.2610174)",
159019425,False,Calle Manuel de Falla,residential,False,56.685,,,,"LINESTRING (-5.5396254 37.262142, -5.5396447 37.2619907, -5.5397003 37.2618395, -5.5397404 37.2616419)",
23115162,False,Calle Paradas,tertiary,False,28.074,SE-5202,,,"LINESTRING (-5.5435925 37.266132, -5.5433806 37.2663199)",
159044592,False,Calle Carmona,tertiary,False,6.907,SE-4108,,,"LINESTRING (-5.5435925 37.266132, -5.5436653 37.2661544)",
159044592,False,Calle Carmona,tertiary,True,95.275,SE-4108,,,"LINESTRING (-5.5435925 37.266132, -5.5427659 37.265583)",
23115162,False,Calle Paradas,tertiary,False,18.046,SE-5202,,,"LINESTRING (-5.5427712 37.2667042, -5.54262 37.2668131)",
23115162,False,Calle Paradas,tertiary,True,55.019,SE-5202,,,"LINESTRING (-5.5427712 37.2667042, -5.5432518 37.2663903)",
73835731,True,Plaza de la Campiña,residential,False,80.426,,,,"LINESTRING (-5.5427712 37.2667042, -5.5421328 37.2661894)",
158191772,False,,tertiary,False,138.188,,,,"LINESTRING (-5.5396227 37.258867, -5.5398437 37.2588068, -5.5400221 37.2587994, -5.54117 37.258756)",
159019438,True,,tertiary,False,23.762999999999998,,,,"LINESTRING (-5.5396227 37.258867, -5.5396065 37.25885, -5.5395872 37.2588351, -5.5395652 37.2588228, -5.5395412 37.2588133, -5.5395156 37.2588069, -5.539489 37.2588037, -5.5394622 37.2588037, -5.5394356 37.2588071, -5.5394101 37.2588136, -5.5393861 37.2588232)",roundabout
158243220,False,Calle Málaga,tertiary,False,36.293,,,,"LINESTRING (-5.5424671 37.2589212, -5.5428654 37.2589989)",
158243220,False,Calle Málaga,tertiary,True,74.296,,,,"LINESTRING (-5.5424671 37.2589212, -5.542003 37.258824, -5.5416467 37.2587854)",
73835644,False,Calle Madrid,residential,False,7.772,,,,"LINESTRING (-5.543031 37.259028, -5.5430752 37.2589676)",
158243220,False,Calle Málaga,tertiary,True,15.009,,,,"LINESTRING (-5.543031 37.259028, -5.5428654 37.2589989)",
158243220,False,Calle Málaga,tertiary,False,50.222,,,,"LINESTRING (-5.543031 37.259028, -5.5433209 37.2592648, -5.5434435 37.2593364)",
158187375,True,Calle Madre de Dios,residential,False,38.799,,,yes,"LINESTRING (-5.5435595 37.2623328, -5.5434742 37.2624848, -5.5433107 37.2626127)",
158191773,False,Calle Pozo Dulce,residential,False,5.259,,,,"LINESTRING (-5.5433107 37.2626127, -5.5432559 37.262631)",
158196834,True,Calle Doña Luisa,residential,False,64.523,,,,"LINESTRING (-5.5433107 37.2626127, -5.5435253 37.2627598, -5.5437808 37.2629999, -5.5437848 37.26304)",
159044589,False,Calle Carmona,tertiary,False,36.231,SE-4108,,yes,"LINESTRING (-5.5415555 37.2648282, -5.5418939 37.2650116)",
159044589,False,Calle Carmona,tertiary,True,29.711,SE-4108,,yes,"LINESTRING (-5.5415555 37.2648282, -5.5412971 37.2646576)",
158191773,False,Calle Pozo Dulce,residential,True,291.707,,,,"LINESTRING (-5.5415555 37.2648282, -5.5419053 37.2644417, -5.5419504 37.2643052, -5.5422306 37.263719, -5.5423161 37.2635633, -5.5424663 37.2633462, -5.5426695 37.2631647, -5.5429297 37.2628829, -5.5430326 37.2627565, -5.5432559 37.262631)",
158196811,False,Calle Barriete,tertiary,True,14.205,SE-4200,50,yes,"LINESTRING (-5.5434435 37.2593364, -5.5435564 37.2592456)",
158190080,False,Calle Óleo,tertiary,False,182.007,SE-4200,50,yes,"LINESTRING (-5.5434435 37.2593364, -5.5431444 37.2596145, -5.5424749 37.2603386, -5.5421555 37.2606098)",
158196827,False,Calle Madre de Dios,residential,True,187.98700000000002,,,,"LINESTRING (-5.5434435 37.2593364, -5.5435139 37.259484, -5.54369 37.26068, -5.5436775 37.2610084)",
158243220,False,Calle Málaga,tertiary,True,50.222,,,,"LINESTRING (-5.5434435 37.2593364, -5.5433209 37.2592648, -5.543031 37.259028)",
73835660,False,Calle Fuente de la Salud,residential,True,147.74900000000002,,,,"LINESTRING (-5.5483898 37.2645747, -5.5484811 37.2645067, -5.5492035 37.2636589, -5.5493344 37.2634825)",
73835695,False,Calle Argentina,residential,False,44.325,,,,"LINESTRING (-5.5483898 37.2645747, -5.5483534 37.2646589, -5.5480772 37.2648769)",
73835777,False,Calle Genil,residential,False,106.375,,,,"LINESTRING (-5.5483898 37.2645747, -5.5484514 37.2641711, -5.5485269 37.2636243)",
326571156,False,Calle Darro,residential,True,171.9,,,,"LINESTRING (-5.5483898 37.2645747, -5.5482954 37.2644434, -5.5481345 37.2642299, -5.5479467 37.2638884, -5.5478401 37.263642, -5.5477804 37.2635041, -5.5475766 37.2632181, -5.5475508 37.2631865)",
23115162,False,Calle Paradas,tertiary,True,18.046,SE-5202,,,"LINESTRING (-5.54262 37.2668131, -5.5427712 37.2667042)",
73835637,True,Calle Castelar,residential,False,89.745,,,,"LINESTRING (-5.546185 37.2583354, -5.5469405 37.2580035, -5.5470435 37.2580915)",
73835782,True,Calle María Beltrán,residential,False,48.589999999999996,,,,"LINESTRING (-5.5427524 37.2615138, -5.5426714 37.2615184, -5.5422837 37.2617268)",
73835653,False,Calle Doctor Marañón,residential,True,35.64,,,,"LINESTRING (-5.5462294 37.2595152, -5.5464976 37.2597543)",
73835562,False,Calle San Roque,residential,True,65.301,SE-4108,,,"LINESTRING (-5.5465627 37.2625059, -5.5469679 37.2629967)",
326499991,True,Calle Doctor Gamero,residential,False,139.25900000000001,,,,"LINESTRING (-5.5465627 37.2625059, -5.546617 37.2625124, -5.5469818 37.2623453, -5.5479659 37.2619581)",
446077756,False,,residential,False,44.82,SE-4108,,,"LINESTRING (-5.5465627 37.2625059, -5.5465164 37.2624627, -5.5463702 37.2623939, -5.5461175 37.2623297)",
73835811,False,Calle Tahona,residential,False,36.866,,,,"LINESTRING (-5.547777 37.2616626, -5.5479659 37.2619581)",
73835729,False,Calle Asensio Martín,residential,True,135.66,,,,"LINESTRING (-5.547777 37.2616626, -5.5485046 37.2610905, -5.5488773 37.2608133)",
