osmid,oneway,name,highway,maxspeed,reversed,length,geometry,lanes,ref,junction,access,tunnel
"[4748061, 4748094]",True,"['Carrer Baldiri Comas', 'Carrer Victor Balaguer']",residential,30,False,118.808,"LINESTRING (2.0396182 41.344622, 2.0396244 41.3446659, 2.0397239 41.3453697, 2.0397373 41.3454644, 2.039446 41.3454985)",,,,,
41601828,False,Carrer Canonge Jaume Cullell,residential,,False,61.790000000000006,"LINESTRING (2.0396182 41.344622, 2.0396807 41.3446087, 2.0402871 41.3444796, 2.0403303 41.3444704)",,,,,
41601828,False,Carrer Canonge Jaume Cullell,residential,,True,47.438,"LINESTRING (2.0396182 41.344622, 2.0395604 41.344634, 2.0391369 41.3447219, 2.0390705 41.3447357)",,,,,
310788757,True,Carrer Lluís Pascual Roca,residential,30,False,19.702,"LINESTRING (2.0394696 41.3435268, 2.0392653 41.3436155)",,,,,
4748061,True,Carrer Baldiri Comas,residential,30,False,122.42,"LINESTRING (2.0394696 41.3435268, 2.0394756 41.3435634, 2.0395159 41.3438075, 2.0396114 41.3445682, 2.0396182 41.344622)",,,,,
4748088,False,Carrer de Santiago Rusiñol,residential,30,False,96.77999999999999,"LINESTRING (2.0360618 41.3479071, 2.0360702 41.3478693, 2.0362379 41.3471113, 2.0362518 41.3470485)",,,,,
4748088,False,Carrer de Santiago Rusiñol,residential,30,True,96.77999999999999,"LINESTRING (2.0362518 41.3470485, 2.0362379 41.3471113, 2.0360702 41.3478693, 2.0360618 41.3479071)",,,,,
426563167,True,Carrer de Francesc Pi i Margall,residential,,False,32.082,"LINESTRING (2.0362518 41.3470485, 2.0364574 41.3470656, 2.0366338 41.3470802)",,,,,
"[41601777, 527673716, 527673717]",False,Carrer de Pablo Picasso,residential,30,False,158.12,"LINESTRING (2.0361914 41.3495366, 2.0362466 41.3494866, 2.0368184 41.3489673, 2.0369232 41.3488733, 2.0370609 41.3487574, 2.0373342 41.3484077)",2,,,,
41601777,False,Carrer de Pablo Picasso,residential,30,True,100.297,"LINESTRING (2.0361914 41.3495366, 2.0356159 41.3500257, 2.0354625 41.350156, 2.0353959 41.3502126)",2,,,,
470770733,False,Carrer Lluís Pascual Roca,residential,,True,13.304,"LINESTRING (2.0356095 41.3454744, 2.0354927 41.3455558)",,,,,
173593852,False,Carrer Lluís Pascual Roca,residential,,False,80.304,"LINESTRING (2.0356095 41.3454744, 2.0357573 41.3453864, 2.0361142 41.3451056, 2.0363131 41.3449842)",,,,,
4748094,True,Carrer Victor Balaguer,residential,,False,81.532,"LINESTRING (2.0365737 41.3455912, 2.0365233 41.3455851, 2.0357418 41.3454904, 2.0356095 41.3454744)",,,,,
134112506,True,Carrer d'Oviedo,residential,30,False,74.88499999999999,"LINESTRING (2.0365737 41.3455912, 2.0365629 41.3456434, 2.0364568 41.3461579, 2.0364482 41.3461992, 2.036438 41.3462569)",,,,,
4748094,True,Carrer Victor Balaguer,residential,,False,66.12,"LINESTRING (2.0373567 41.3456809, 2.0366519 41.3456002, 2.0365737 41.3455912)",,,,,
193018414,True,Carrer del Nord,residential,30,False,74.70700000000001,"LINESTRING (2.0373567 41.3456809, 2.0374856 41.3450731, 2.0374974 41.3450174)",,,,,
4748094,True,Carrer Victor Balaguer,residential,,False,67.01,"LINESTRING (2.0381552 41.3456192, 2.0373567 41.3456809)",,,,,
41601847,True,Carrer Cardenal Vidal i Barraquer,residential,20,False,30.84,"LINESTRING (2.0381552 41.3456192, 2.0380997 41.3458934)",,,,,
4748094,True,Carrer Victor Balaguer,residential,,False,78.25999999999999,"LINESTRING (2.0390824 41.3455152, 2.0389987 41.3455246, 2.0381552 41.3456192)",,,,,
173593834,True,Carrer La Plana,residential,30,False,62.238,"LINESTRING (2.0390824 41.3455152, 2.039083 41.3454669, 2.0390888 41.3449555)",,,,,
193018414,True,Carrer del Nord,residential,30,False,73.199,"LINESTRING (2.0374974 41.3450174, 2.0375082 41.3449649, 2.0376189 41.3444263, 2.0376311 41.3443668)",,,,,
274091404,True,Carrer d'Anselm Clavé,residential,,False,66.691,"LINESTRING (2.0374974 41.3450174, 2.037554 41.3450155, 2.038218 41.3449933, 2.0382955 41.3449907)",,,,,
41601847,True,Carrer Cardenal Vidal i Barraquer,residential,20,False,70.86,"LINESTRING (2.0382955 41.3449907, 2.0382836 41.3450439, 2.0381552 41.3456192)",,,,,
274091404,True,Carrer d'Anselm Clavé,residential,,False,66.34,"LINESTRING (2.0382955 41.3449907, 2.0383565 41.344988, 2.0390256 41.3449583, 2.0390888 41.3449555)",,,,,
173593834,True,Carrer La Plana,residential,30,False,24.489,"LINESTRING (2.0390888 41.3449555, 2.039085 41.3449095, 2.0390705 41.3447357)",,,,,
274091409,True,Carrer Bonavista,residential,30,False,77.786,"LINESTRING (2.0384924 41.3439639, 2.0384435 41.3439345, 2.0378196 41.3435598, 2.0377648 41.3435269)",,,,,
310788757,True,Carrer Lluís Pascual Roca,residential,30,False,56.235,"LINESTRING (2.0384924 41.3439639, 2.0384323 41.3439929, 2.0379256 41.3442372)",,,,,
