osmid,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,ref,junction,access,bridge
26339358,Calle Ramón Pol,residential,False,True,46.89,"LINESTRING (-17.9167873 28.6602189, -17.916837 28.659963, -17.9168508 28.6598896, -17.9168582 28.6598551, -17.916859 28.6598025)",,,,,,
997783219,Calle Ramón Pol,residential,True,False,26.535000000000004,"LINESTRING (-17.9167873 28.6602189, -17.9167441 28.6603005, -17.9166886 28.6603807, -17.9166455 28.6604204)",,,,,,
"[1060310656, 27952886]","['Avenida Venezuela', 'Calle de la Salud']",residential,True,False,171.382,"LINESTRING (-17.9121943 28.6569223, -17.9121958 28.6569846, -17.9122312 28.6577395, -17.9121724 28.6577456, -17.9119139 28.6577757, -17.9114119 28.6578192)","['20', '30']",,,,,
1060310659,Avenida Carlos Francisco Lorenzo Navarro,primary,True,False,76.364,"LINESTRING (-17.9121943 28.6569223, -17.9127591 28.6571611, -17.9129008 28.6572177)",50,2,LP-2,,,
"[700519968, 199256901]",Avenida Carlos Francisco Lorenzo Navarro,primary,True,False,46.99,"LINESTRING (-17.9167187 28.6587414, -17.9164367 28.6586222, -17.9162837 28.6585601)",,2,LP-2,,,
164059831,Avenida Carlos Francisco Lorenzo Navarro,primary,True,False,111.9,"LINESTRING (-17.9131097 28.6573041, -17.9132006 28.6573448, -17.9137607 28.657585, -17.913875 28.6576351, -17.9139349 28.6576624, -17.9141387 28.6577483)",50,2,LP-2,,,
26339358,Calle Ramón Pol,residential,False,False,46.89,"LINESTRING (-17.916859 28.6598025, -17.9168582 28.6598551, -17.9168508 28.6598896, -17.916837 28.659963, -17.9167873 28.6602189)",,,,,,
27224306,Calle Ramón Pol,residential,False,False,97.347,"LINESTRING (-17.916859 28.6598025, -17.91686 28.659718, -17.9168655 28.6596709, -17.9168819 28.6595288, -17.9169372 28.6589862, -17.9169387 28.6589302)",,4,,,,
"[490981829, 1194684327]",Avenida Enrique Mederos,tertiary,False,True,86.629,"LINESTRING (-17.916859 28.6598025, -17.9169804 28.6598164, -17.9170625 28.6598282, -17.917458 28.6598787, -17.9175091 28.6598858, -17.9176413 28.6599047, -17.9177369 28.6599185)",30,,,,,
27869373,Calle Conrado Hernández,secondary,False,True,10.915,"LINESTRING (-17.9135996 28.6614835, -17.9135524 28.6613945)",,,LP-214,,,
