osmid,highway,oneway,reversed,length,geometry,lanes,ref,name,maxspeed,width,bridge,junction
52663497,residential,False,True,28.321,"LINESTRING (-16.8464966 28.3695986, -16.8465008 28.3695499, -16.8467278 28.3695001)",,,,,,,
164653290,primary,False,True,50.876000000000005,"LINESTRING (-16.8464966 28.3695986, -16.8466696 28.3696141, -16.8470156 28.3696213)",2,TF-42,Carretera General Icod-Buenavista,50,,,
164653287,primary,False,True,84.595,"LINESTRING (-16.8498272 28.3699344, -16.848981 28.3697782)",2,TF-42,Avenida Juan Méndez el Viejo,50,,,
106674869,secondary,False,False,52.340999999999994,"LINESTRING (-16.8498272 28.3699344, -16.8498209 28.369901, -16.8498098 28.3698426, -16.8495897 28.3695184)",2,TF-436,Carretera El Palmar,ES:urban,6,,
235453017,primary,False,False,58.141,"LINESTRING (-16.8498272 28.3699344, -16.8499643 28.3700225, -16.8500689 28.3701068, -16.8502774 28.3702747)",,TF-42,Avenida Juan Méndez el Viejo,50,,,
106674869,secondary,False,False,82.504,"LINESTRING (-16.8491734 28.3686062, -16.8489854 28.3678829)",2,TF-436,Carretera El Palmar,ES:urban,6,,
25548818,residential,False,False,54.456,"LINESTRING (-16.8491734 28.3686062, -16.8491065 28.3686038, -16.8486173 28.368586)",,,Calle el Faro,,,,
106674869,secondary,False,True,74.854,"LINESTRING (-16.8491734 28.3686062, -16.8492521 28.368883, -16.8493288 28.369067, -16.8494214 28.3692407)",2,TF-436,Carretera El Palmar,ES:urban,6,,
25548911,secondary,False,False,33.184,"LINESTRING (-16.8502774 28.3702747, -16.8503362 28.370253, -16.8505058 28.3701905, -16.8505955 28.3701745)",2,,Calle Norte,50,,,
25721585,residential,True,False,105.23599999999999,"LINESTRING (-16.8502774 28.3702747, -16.8503095 28.3703257, -16.8505254 28.3706549, -16.8505661 28.3707328, -16.8506304 28.3708559, -16.8507665 28.3711165)",,,Calle la Alhóndiga,,,,
235453017,primary,False,True,58.141,"LINESTRING (-16.8502774 28.3702747, -16.8500689 28.3701068, -16.8499643 28.3700225, -16.8498272 28.3699344)",,TF-42,Avenida Juan Méndez el Viejo,50,,,
548634516,tertiary,False,True,28.822,"LINESTRING (-16.8502774 28.3702747, -16.8501108 28.3703334, -16.8500039 28.370371)",2,,Calle Cancela,50,,,
317926343,residential,False,False,13.597,"LINESTRING (-16.8513368 28.3723972, -16.8513996 28.3724096, -16.8514721 28.3723941)",,,Plaza de los Remedios,,,,
25548724,residential,False,False,38.607,"LINESTRING (-16.8507665 28.3711165, -16.8503928 28.371228)",,,Calle la Cruz,,,,
25548724,residential,False,True,18.186,"LINESTRING (-16.8507665 28.3711165, -16.8509377 28.3710528)",,,Calle la Cruz,,,,
"[25721585, 317926341]",residential,True,False,203.69699999999997,"LINESTRING (-16.8507665 28.3711165, -16.8507846 28.3711602, -16.851103 28.3719295, -16.8511209 28.3719727, -16.8511328 28.3719993, -16.8512202 28.3719654, -16.8513915 28.371899, -16.8515405 28.3718413, -16.8515862 28.3718238, -16.8516154 28.3718426, -16.8517095 28.3720034, -16.8518363 28.3722199)",,,"['Calle la Alhóndiga', 'Plaza de los Remedios']",,,,
548634520,tertiary,False,False,96.723,"LINESTRING (-16.8485301 28.3701748, -16.848685 28.370241, -16.8494193 28.3705549)",,,Calle Cancela,50,,,
"[548634520, 275440130]",tertiary,False,True,89.81,"LINESTRING (-16.8485301 28.3701748, -16.8483981 28.3701219, -16.8481279 28.3700075, -16.8480425 28.3699732, -16.847999 28.3699557, -16.8479068 28.3699187, -16.8477054 28.369821)",,,Calle Cancela,50,,,
164653287,primary,False,False,35.0,"LINESTRING (-16.848629 28.3697221, -16.848981 28.3697782)",2,TF-42,Avenida Juan Méndez el Viejo,50,,,
164653287,primary,False,True,26.103,"LINESTRING (-16.848629 28.3697221, -16.8483654 28.3696859)",2,TF-42,Avenida Juan Méndez el Viejo,50,,,
25548708,residential,True,False,51.265,"LINESTRING (-16.848629 28.3697221, -16.8486012 28.3698392, -16.848558 28.3700322, -16.8485301 28.3701748)",,,,,,,
25548709,residential,False,False,178.76,"LINESTRING (-16.8547524 28.3736691, -16.8547119 28.3737571, -16.8545221 28.374169, -16.8544791 28.3742206, -16.8537099 28.3747819, -16.8535968 28.3748575)",,,Avenida Nicolás Díaz Dorta,,,,
"[1103209178, 25548709]",residential,False,"[False, True]",15.27,"LINESTRING (-16.8547524 28.3736691, -16.8547575 28.3736338, -16.8547554 28.3735972, -16.8547341 28.3735559, -16.8547208 28.37354)",,,"['Calle San Antonio', 'Avenida Nicolás Díaz Dorta']",,,,
25548711,residential,False,True,89.807,"LINESTRING (-16.8525894 28.373195, -16.8521623 28.3724801)",,,Calle el Puerto,,,,
25548710,residential,True,False,124.96199999999999,"LINESTRING (-16.8525894 28.373195, -16.852674 28.37317, -16.8536083 28.3728941, -16.8536747 28.3728734, -16.8537786 28.3728017)",,,Calle el Perdón,,,,
