osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,bridge,access,junction
238832363,True,1,N-634,trunk,False,34.824,"LINESTRING (-2.1778148 43.2868325, -2.1777108 43.2866995, -2.1776122 43.2866375, -2.1775381 43.2866007)",,,,,
378363385,True,2,N-634,trunk,False,6.859,"LINESTRING (-2.1768273 43.2865974, -2.1769119 43.2866009)",,,,,
378363379,False,2,N-634,trunk,False,180.183,"LINESTRING (-2.1768273 43.2865974, -2.1760935 43.2866792, -2.1753903 43.2867479, -2.1746577 43.2867147, -2.1746177 43.2867119)",Nafarroa etorbidea,,,,
25205928,True,1,,residential,False,5.675,"LINESTRING (-2.1688035 43.2859606, -2.1687955 43.2860113)",Mandabide kalea,30,,,
242475816,True,2,N-634,trunk,False,123.327,"LINESTRING (-2.1688035 43.2859606, -2.1676354 43.2858575, -2.1675832 43.2858529, -2.1674103 43.2858376, -2.1672981 43.2858062)",Nafarroa etorbidea,,,,
1042189900,True,,,residential,False,58.239999999999995,"LINESTRING (-2.1703469 43.2853576, -2.1704669 43.285368, -2.1710629 43.285409)",Gipuzkoa kalea,30,,,
25205873,True,,,residential,False,81.607,"LINESTRING (-2.1702266 43.2860862, -2.1702351 43.2860346, -2.170339 43.2854291, -2.1703469 43.2853576)",Seitximeneta kalea,30,,,
"[1245875400, 242475816]",True,2,N-634,trunk,False,116.03399999999999,"LINESTRING (-2.1702266 43.2860862, -2.1696584 43.286036, -2.1694997 43.286022, -2.1688035 43.2859606)",Nafarroa etorbidea,,,,
1245875399,True,1,N-634,trunk,False,17.779,"LINESTRING (-2.1770358 43.2865471, -2.1768273 43.2865974)",,,,,
238832365,True,1,GI-2633,secondary,False,10.103,"LINESTRING (-2.1773406 43.2863691, -2.177288 43.2864515)",,,,,
"[361271833, 361271834, 1066977508]",False,2,GI-2633,secondary,True,124.583,"LINESTRING (-2.1773406 43.2863691, -2.1773518 43.2863465, -2.1773599 43.2863092, -2.1773709 43.2862797, -2.17745 43.2860672, -2.1775009 43.2859253, -2.1775859 43.2857236, -2.1777027 43.2854095, -2.1777509 43.2852897)",San Inazio kalea,,,,
238832366,True,1,GI-2633,secondary,False,18.215,"LINESTRING (-2.1775381 43.2866007, -2.1774825 43.286558, -2.1774445 43.2865245, -2.177379 43.2864856)",,,,,
1245875396,True,1,N-634,trunk,False,17.143,"LINESTRING (-2.1775381 43.2866007, -2.1773844 43.2865634, -2.1773357 43.2865559)",,,,,
828264071,True,1,,residential,False,22.923000000000002,"LINESTRING (-2.167249 43.2861671, -2.1672488 43.2861184, -2.1672585 43.2860647, -2.1672653 43.2860087, -2.1672718 43.2859915, -2.1672807 43.285963)",Lizardi kalea,30,,,
27251792,True,,,residential,False,5.665,"LINESTRING (-2.1663341 43.2857648, -2.1663214 43.2858149)",Don Leandro Kalea,,,,
45894366,True,1,,residential,False,67.471,"LINESTRING (-2.1670965 43.2867634, -2.1671323 43.2866587, -2.167249 43.2861671)",Lizardi kalea,20,,,
1098663565,False,,,residential,False,3.938,"LINESTRING (-2.1724608 43.2855078, -2.1724124 43.2855042)",Gipuzkoa kalea,30,,,
