osmid,oneway,lanes,ref,highway,reversed,length,geometry,name,maxspeed,junction,tunnel
1102564905,True,1,M-203,primary,False,22.288,"LINESTRING (-3.4929113 40.4014427, -3.4927104 40.4015722)",,,,
125462760,True,1,M-203,primary_link,False,61.701,"LINESTRING (-3.4929113 40.4014427, -3.4929631 40.4013324, -3.4930057 40.4011349, -3.4929855 40.4008978)",,,,
125462766,True,1,M-203,primary_link,False,51.575,"LINESTRING (-3.4932381 40.401154, -3.4930727 40.401348, -3.4929556 40.4014606, -3.492926 40.401503, -3.4929038 40.4015402)",,,,
125462773,True,1,M-203,primary,False,42.425,"LINESTRING (-3.4932381 40.401154, -3.49308 40.4013066, -3.4929113 40.4014427)",,,,
1102564907,False,2,M-208,primary,True,20.277,"LINESTRING (-3.4939619 40.396978, -3.4941584 40.3970822)",Carretera de Arganda,,,
28044019,True,,,unclassified,False,21.115000000000002,"LINESTRING (-3.4939619 40.396978, -3.4939862 40.3969254, -3.4939915 40.3968806, -3.4939812 40.3967918)",,,,
1102564909,False,2,M-208,primary,False,36.361000000000004,"LINESTRING (-3.4939619 40.396978, -3.4938734 40.3969104, -3.4937705 40.396814, -3.4936969 40.3967225)",Carretera de Arganda,,,
126407731,True,2,M-208,residential,False,43.688,"LINESTRING (-3.4935165 40.3964412, -3.4935706 40.3966421, -3.4935905 40.3968293)",Carretera de Arganda,,,
1102564912,False,2,M-208,primary,False,64.338,"LINESTRING (-3.4935165 40.3964412, -3.4934084 40.3962246, -3.493302 40.3959705, -3.4932856 40.3958913)",Carretera de Arganda,,,
1102564913,False,2,M-208,primary,True,24.585,"LINESTRING (-3.4935165 40.3964412, -3.4935685 40.3965262, -3.4936419 40.3966406)",Carretera de Arganda,,,
1102564917,False,2,M-208,primary,True,95.956,"LINESTRING (-3.4930967 40.3944548, -3.493195 40.3953145)",Carretera de Arganda,50,,
32480458,True,,,tertiary,False,22.82,"LINESTRING (-3.4848165 40.400335, -3.484837 40.4004901, -3.4848294 40.4005391)",Avenida de la Concordia,,,
304004267,True,,,residential,False,23.965000000000003,"LINESTRING (-3.4848165 40.400335, -3.4847868 40.4004035, -3.4847549 40.400431, -3.4846997 40.4004504, -3.4846234 40.4004669)",Avenida de la Concordia,,,
28043976,True,,,residential,False,4.072,"LINESTRING (-3.4897625 40.3987356, -3.4897897 40.3987658)",Calle de la Virgen de la Soledad,,,
28343499,False,,,residential,True,42.494,"LINESTRING (-3.4897625 40.3987356, -3.4898697 40.3987373, -3.4901779 40.3987421, -3.4902642 40.3987435)",Calle del Doctor Marañón,,,
28043976,True,,,residential,False,52.693999999999996,"LINESTRING (-3.4897897 40.3987658, -3.4898518 40.3988275, -3.4900717 40.3991363, -3.4900994 40.3991759)",Calle de la Virgen de la Soledad,,,
32480764,True,,,residential,False,23.073,"LINESTRING (-3.4854819 40.3973624, -3.4853509 40.3973896, -3.4852199 40.3974193)",Calle Mayor,,,
28505076,True,,,residential,False,150.456,"LINESTRING (-3.4925861 40.3960709, -3.4927682 40.3960195, -3.4928562 40.3960016, -3.4929226 40.3959906, -3.4929998 40.3959934, -3.4930854 40.3960114, -3.4931522 40.3960522, -3.4932112 40.3961206, -3.4932499 40.3961915, -3.4933831 40.3964839, -3.4935698 40.3968836)",Avenida de la Constitución,,,
1117492790,False,,,residential,False,66.869,"LINESTRING (-3.4925861 40.3960709, -3.4924585 40.3961208, -3.4919966 40.3962916, -3.4918775 40.3963362)",Avenida de la Constitución,,,
126407704,True,,,residential,False,94.11,"LINESTRING (-3.4908679 40.3966899, -3.4916606 40.3964134, -3.4917964 40.3963648, -3.4918775 40.3963362)",Avenida de la Constitución,,,
170429114,True,,,tertiary,False,8.556999999999999,"LINESTRING (-3.4840282 40.3976381, -3.4839928 40.3976686, -3.4839743 40.397702)",,,roundabout,
889021537,True,,,residential,False,6.958,"LINESTRING (-3.4887878 40.3947906, -3.4887795 40.3947579, -3.4887546 40.3947356)",,,roundabout,
33569167,True,,,residential,False,15.058,"LINESTRING (-3.4895111 40.3964331, -3.4894539 40.396447, -3.4893864 40.3965205)",Calle de la Iglesia,,,
28043998,False,,,residential,False,29.375,"LINESTRING (-3.4917667 40.3980958, -3.4914372 40.3980132)",Cuesta del Caz,,,
28043998,False,,,residential,True,35.94,"LINESTRING (-3.4917667 40.3980958, -3.4921669 40.3982034)",Cuesta del Caz,,,
33567445,False,,,residential,True,17.491,"LINESTRING (-3.4917667 40.3980958, -3.4917539 40.3979388)",Calle de Colón,,,
28043998,False,,,residential,True,29.375,"LINESTRING (-3.4914372 40.3980132, -3.4917667 40.3980958)",Cuesta del Caz,,,
74252352,False,,,residential,False,30.947,"LINESTRING (-3.4914372 40.3980132, -3.4910757 40.3979724)",Calle de las Procesiones,,,
28343571,True,,,residential,False,61.055,"LINESTRING (-3.4914372 40.3980132, -3.4913119 40.3977528, -3.4911578 40.3975077)",Travesía del Jubilado,,,
28043976,True,,,residential,False,34.011,"LINESTRING (-3.4894604 40.3973866, -3.48948 40.3976921)",Calle de la Virgen de la Soledad,,,
74252352,False,,,residential,False,80.313,"LINESTRING (-3.4894604 40.3973866, -3.4890098 40.3974416, -3.4885232 40.3974972)",Calle de las Procesiones,,,
74252352,False,,,residential,True,72.83800000000001,"LINESTRING (-3.4894604 40.3973866, -3.4895307 40.3974007, -3.4898834 40.3974541, -3.4900681 40.3974821, -3.4901079 40.3975008, -3.490272 40.3975778)",Calle de las Procesiones,,,
28044007,False,,,residential,False,26.418,"LINESTRING (-3.4916501 40.3954246, -3.4914611 40.3954486, -3.4913426 40.3954646)",Calle de Julio Merino,,,
203186530,False,,,residential,False,48.419000000000004,"LINESTRING (-3.4916501 40.3954246, -3.4915612 40.3950522, -3.4915477 40.3949962)",Calle de Justo Basanta,,,
