osmid,ref,name,highway,oneway,reversed,length,geometry,junction,lanes,bridge,tunnel
459202554,N-121,Calle de los Laureles,trunk,False,False,67.819,"LINESTRING (-1.7264166 41.9027255, -1.7260464 41.9028197, -1.725939 41.9028442, -1.725694 41.902882, -1.7256297 41.902892)",,,,
459202554,N-121,Calle de los Laureles,trunk,False,True,59.297,"LINESTRING (-1.7264166 41.9027255, -1.7267156 41.9025672, -1.7270131 41.9024306)",,,,
771048122,,Calle del Prado,living_street,False,True,34.799,"LINESTRING (-1.7264166 41.9027255, -1.7264251 41.902744, -1.7265272 41.9029668, -1.7265633 41.9030182)",,,,
24038675,N-121,Plaza San Francisco,trunk,True,False,17.216,"LINESTRING (-1.7243703 41.9045933, -1.7243812 41.9044946, -1.7243874 41.904439)",,,,
459026787,N-121,Avenida de Navarra,trunk,False,False,120.366,"LINESTRING (-1.7243703 41.9045933, -1.7243808 41.9046209, -1.7246552 41.9053423, -1.7247982 41.9056271)",,,,
459026787,N-121,Avenida de Navarra,trunk,False,True,169.22699999999998,"LINESTRING (-1.7249852 41.9071321, -1.7249881 41.9064933, -1.7249853 41.9063046, -1.724898 41.905845, -1.7247982 41.9056271)",,,,
837588207,N-121,Avenida de Navarra,trunk,True,False,24.532,"LINESTRING (-1.7249852 41.9071321, -1.7249396 41.9071877, -1.7248972 41.9072319, -1.7248627 41.9072661, -1.724809 41.9073087)",,,,
24038676,N-121,,trunk,True,False,2.086,"LINESTRING (-1.724809 41.9073087, -1.7247838 41.9073081)",roundabout,,,
24038676,N-121,,trunk,True,False,3.235,"LINESTRING (-1.7249034 41.9078132, -1.7249186 41.9077864)",roundabout,,,
24038676,N-121,,trunk,True,False,18.713,"LINESTRING (-1.7249682 41.9074194, -1.724946 41.9073833, -1.7249078 41.907351, -1.7248655 41.9073265, -1.724809 41.9073087)",roundabout,,,
837588206,N-121,Avenida de Navarra,trunk,True,False,32.078,"LINESTRING (-1.7249682 41.9074194, -1.724982 41.9073494, -1.7249926 41.907198, -1.7249852 41.9071321)",,,,
837588204,,Avenida Reino de Aragón,tertiary,True,False,16.01,"LINESTRING (-1.7247838 41.9073081, -1.7246217 41.9072295)",,,,
24038676,N-121,,trunk,True,False,10.607,"LINESTRING (-1.7247838 41.9073081, -1.7247235 41.9073242, -1.7246728 41.9073534)",roundabout,,,
24038676,N-121,,trunk,True,False,32.551,"LINESTRING (-1.7246728 41.9073534, -1.7246067 41.9074164, -1.7245582 41.9074685, -1.7245295 41.9075182, -1.7245138 41.9075622, -1.7245143 41.907612)",roundabout,,,
837588203,N-121,Carretera Tarazona a Francia por Dancharinea,trunk,True,False,10.688,"LINESTRING (-1.7247476 41.9078918, -1.7248089 41.9079764)",,,,
24038676,N-121,,trunk,True,False,16.073,"LINESTRING (-1.7247476 41.9078918, -1.7247923 41.9078857, -1.7248527 41.9078549, -1.7249034 41.9078132)",roundabout,,,
"[242246802, 675566188, 675566191]",,Calle Rudiana,"['residential', 'unclassified']",False,"[False, True]",1283.513,"LINESTRING (-1.7237785 41.9108165, -1.7228047 41.9107374, -1.7224828 41.9107214, -1.7226545 41.9110488, -1.7222468 41.9113043, -1.721764 41.911456, -1.7215172 41.9116556, -1.7211525 41.9123582, -1.7207877 41.9128532, -1.7201761 41.9127494, -1.7194788 41.912438, -1.7195646 41.9119111, -1.7204104 41.909505, -1.7205129 41.9091998, -1.7205662 41.9091395, -1.7207785 41.9090658, -1.7220659 41.9087647, -1.7225429 41.9086112, -1.7230044 41.9084378, -1.7233695 41.9083458, -1.7248089 41.9079764)",,,,
829986840,N-121,Carretera Tarazona a Francia por Dancharinea,trunk,False,False,112.668,"LINESTRING (-1.7237785 41.9108165, -1.7239592 41.9103655, -1.7241929 41.9098515)",,,,
24306628,,Avenida Reino de Aragón,tertiary,False,True,61.443,"LINESTRING (-1.7219471 41.9060086, -1.7220297 41.9060463, -1.7224889 41.9062559, -1.72258 41.9062975)",,,,
24306631,,Plaza Raquel Meller,tertiary,True,False,13.824,"LINESTRING (-1.7219471 41.9060086, -1.721964 41.9059801, -1.7219699 41.9059494, -1.7219645 41.9059186, -1.7219481 41.90589)",roundabout,,,
24306631,,Plaza Raquel Meller,tertiary,True,False,27.023999999999997,"LINESTRING (-1.7216904 41.9058836, -1.7216699 41.9059148, -1.721663 41.9059491, -1.7216702 41.9059834, -1.721691 41.9060145, -1.7217233 41.9060395, -1.7217643 41.9060561, -1.7218101 41.9060628)",roundabout,,,
