osmid,oneway,highway,reversed,length,geometry,lanes,name,maxspeed,ref,access,junction,bridge
407933529,True,residential,False,35.568,"LINESTRING (-2.6770121 43.3131026, -2.6769239 43.3131474, -2.6768831 43.3132256, -2.6768637 43.3132732, -2.6768454 43.313325, -2.6768116 43.313374)",,,,,,,
429844889,True,tertiary,False,35.016999999999996,"LINESTRING (-2.6770121 43.3131026, -2.6769623 43.3132873, -2.6769323 43.3134121)",2,Iparragirre kalea,30,,,,
647737422,True,tertiary,False,21.948,"LINESTRING (-2.6788993 43.3174995, -2.6789249 43.317303)",2,Carlos Gangoiti kalea,50,BI-2235,,,
25342406,True,residential,False,77.61200000000001,"LINESTRING (-2.6788836 43.311379, -2.6788123 43.311359, -2.678015 43.3111473, -2.6779825 43.3111398)",,Ubitarte kalea,,,,,
361810886,False,tertiary,True,51.097,"LINESTRING (-2.6733176 43.3185222, -2.6734012 43.3184935, -2.6734779 43.3184618, -2.673721 43.3183501, -2.6738518 43.3182788)",,San Bartolome kalea,,,,,
25342089,True,residential,False,55.3,"LINESTRING (-2.6790286 43.3120269, -2.6791 43.3125215)",,Karmelo Etxegarai kalea,,,,,
25342212,False,residential,False,77.15400000000001,"LINESTRING (-2.6790286 43.3120269, -2.6791318 43.3120118, -2.6793139 43.3119852, -2.6798489 43.3118483, -2.6798917 43.3118374, -2.679914 43.3118325, -2.6799397 43.3118269)",,Enrike Amurrio kalea,,,,,
25342089,True,residential,False,42.786,"LINESTRING (-2.6791 43.3125215, -2.6791508 43.3129045)",,Karmelo Etxegarai kalea,,,,,
218664211,True,residential,False,99.601,"LINESTRING (-2.6791 43.3125215, -2.6791594 43.3125246, -2.6793085 43.3125325, -2.6793729 43.3125227, -2.6797054 43.312385, -2.6802039 43.3121785)",,Euskal Herria kalea,,,,,
"[25342496, 25342089]",True,residential,False,151.463,"LINESTRING (-2.6791508 43.3129045, -2.6792866 43.3133097, -2.6793327 43.3134145, -2.6793487 43.3134918, -2.6793429 43.3135554, -2.6793293 43.3137813, -2.6793258 43.3138734, -2.6793235 43.3139338, -2.6793293 43.3141131, -2.679368 43.3142254, -2.6793682 43.3142447)",,"['Allendesalazar kalea', 'Karmelo Etxegarai kalea']",,,,,
25342214,False,residential,False,56.662000000000006,"LINESTRING (-2.6791508 43.3129045, -2.6792009 43.3128948, -2.6793027 43.312875, -2.6795582 43.312781, -2.6797408 43.3127291, -2.6798005 43.3127373)",,Santa Klara kalea,,,,,
41015676,True,residential,False,41.366,"LINESTRING (-2.6814158 43.3114908, -2.6814273 43.311572, -2.6814438 43.3116367, -2.6814867 43.3116778, -2.6815404 43.3117247, -2.6816049 43.3118263)",,Zearreta kalea,,,,,
358308701,True,tertiary,False,36.361,"LINESTRING (-2.6814158 43.3114908, -2.6812862 43.3115891, -2.6812154 43.3116465, -2.6811241 43.3116808, -2.6810744 43.3116951)",,Frai Martin Murua kalea,,BI-3213,,,
493642315,True,tertiary,False,47.643,"LINESTRING (-2.6779825 43.3111398, -2.6777547 43.3115349)",1,Iparragirre kalea,50,,,,
493642315,True,tertiary,False,73.925,"LINESTRING (-2.6777547 43.3115349, -2.6774196 43.3121534)",1,Iparragirre kalea,50,,,,
25342433,True,residential,False,85.856,"LINESTRING (-2.6777547 43.3115349, -2.6778014 43.3115462, -2.6787215 43.3117053, -2.6787532 43.3117099, -2.6787864 43.3117148)",,Miguel de Unamuno kalea,,,,,
18627749,True,tertiary,False,65.5,"LINESTRING (-2.6786028 43.3122885, -2.6787385 43.3118647, -2.6787864 43.3117148)",1,Juan Kaltzada kalea,50,,,,
25342495,True,residential,False,97.20100000000001,"LINESTRING (-2.6786028 43.3122885, -2.6785461 43.3122828, -2.677716 43.312177, -2.6775448 43.3121517, -2.6774633 43.3121461, -2.6774196 43.3121534)",,Alondegia kalea,,,,,
913837865,True,tertiary,False,110.795,"LINESTRING (-2.6774196 43.3121534, -2.6773941 43.3121972, -2.6772288 43.3125067, -2.6771499 43.3126843, -2.6770121 43.3131026)",2,Iparragirre kalea,30,,,,
41015678,True,tertiary,False,186.62500000000003,"LINESTRING (-2.6795297 43.3144829, -2.6796227 43.3144773, -2.6797502 43.3144722, -2.6800178 43.3144534, -2.6802445 43.314446, -2.6805457 43.3144674, -2.6806861 43.3144707, -2.6807745 43.31446, -2.6812115 43.3143683, -2.6813331 43.3143593, -2.6814633 43.3143578, -2.6818109 43.3143872)",,Allendesalazar etorbidea,,BI-4215,,,
