osmid,ref,name,highway,oneway,reversed,length,geometry,maxspeed,lanes,tunnel,width,junction
261418321,A-3075,Carretera de Villaviciosa,tertiary,False,False,5.256,"LINESTRING (-5.1063612 37.8047449, -5.1063321 37.8047862)",,,,,
1013299035,A-3075,Carretera de Villaviciosa,tertiary,True,False,26.736,"LINESTRING (-5.1063612 37.8047449, -5.1065907 37.804587)",,,,,
74573344,,Calle Gloria Fuertes,residential,False,True,42.643,"LINESTRING (-5.103565 37.8039123, -5.1035301 37.8035298)",,,,,
"[347310313, 74573307]",,"['Calle Gabriel García Márquez', 'Calle Juan Carlos I']",residential,False,"[False, True]",118.21099999999998,"LINESTRING (-5.103565 37.8039123, -5.1031179 37.8039292, -5.1030889 37.8035716, -5.1035301 37.8035298)",,,,,
"[347310313, 74573333]",,"['Calle Gabriel García Márquez', 'Calle Félix Rodríguez de la Fuente']",residential,False,True,83.16099999999999,"LINESTRING (-5.103565 37.8039123, -5.1040089 37.8038886, -5.103982 37.8036435, -5.1039722 37.8035544, -5.1039635 37.8034939)",,,,,
74573312,,Calle Callejón de las Flores,residential,False,False,26.391,"LINESTRING (-5.1022858 37.8033271, -5.1023139 37.8035634)",,,,,
347314223,,Calle Rafael Alberti,residential,False,False,3.845,"LINESTRING (-5.1022858 37.8033271, -5.1023277 37.8033171)",,,,,
74573307,,Calle Juan Carlos I,residential,False,False,14.185,"LINESTRING (-5.1036904 37.8035146, -5.1035301 37.8035298)",,,,,
74573307,,Calle Juan Carlos I,residential,False,True,24.104,"LINESTRING (-5.1036904 37.8035146, -5.1039635 37.8034939)",,,,,
347310315,,,residential,False,False,24.75,"LINESTRING (-5.1036904 37.8035146, -5.1036824 37.8033551, -5.1036792 37.8032922)",,,,,
74573307,,Calle Juan Carlos I,residential,False,False,24.104,"LINESTRING (-5.1039635 37.8034939, -5.1036904 37.8035146)",,,,,
"[347310313, 74573333]",,"['Calle Gabriel García Márquez', 'Calle Félix Rodríguez de la Fuente']",residential,False,False,83.161,"LINESTRING (-5.1039635 37.8034939, -5.1039722 37.8035544, -5.103982 37.8036435, -5.1040089 37.8038886, -5.103565 37.8039123)",,,,,
74573333,,Calle Félix Rodríguez de la Fuente,residential,False,True,31.898,"LINESTRING (-5.1039635 37.8034939, -5.1039693 37.803391, -5.1040123 37.8032103)",,,,,
74573312,,Calle Callejón de las Flores,residential,False,True,30.389,"LINESTRING (-5.1023462 37.8038355, -5.1023139 37.8035634)",,,,,
74573347,,Calle Tejar,residential,False,True,57.543,"LINESTRING (-5.1023277 37.8033171, -5.1020725 37.8028405)",,,,,
347314223,,Calle Rafael Alberti,residential,False,True,3.845,"LINESTRING (-5.1023277 37.8033171, -5.1022858 37.8033271)",,,,,
347314223,,Calle Rafael Alberti,residential,False,False,87.33,"LINESTRING (-5.1023277 37.8033171, -5.1028825 37.8031845, -5.1032266 37.8030927, -5.1032719 37.8030739)",,,,,
74573307,,Calle Juan Carlos I,residential,False,True,14.185,"LINESTRING (-5.1035301 37.8035298, -5.1036904 37.8035146)",,,,,
74573344,,Calle Gloria Fuertes,residential,False,False,42.643,"LINESTRING (-5.1035301 37.8035298, -5.103565 37.8039123)",,,,,
"[347310313, 74573307]",,"['Calle Juan Carlos I', 'Calle Gabriel García Márquez']",residential,False,"[False, True]",118.21099999999998,"LINESTRING (-5.1035301 37.8035298, -5.1030889 37.8035716, -5.1031179 37.8039292, -5.103565 37.8039123)",,,,,
74573418,,Avenida de Soldevilla Vázquez,residential,False,False,23.816,"LINESTRING (-5.1040123 37.8032103, -5.1037631 37.803126)",,,,,
74573418,,Avenida de Soldevilla Vázquez,residential,False,True,37.462,"LINESTRING (-5.1040123 37.8032103, -5.1044244 37.8032968)",,,,,
74573333,,Calle Félix Rodríguez de la Fuente,residential,False,False,31.898,"LINESTRING (-5.1040123 37.8032103, -5.1039693 37.803391, -5.1039635 37.8034939)",,,,,
