osmid,lanes,highway,maxspeed,junction,oneway,reversed,length,geometry,ref,name,tunnel
43858146,1,secondary,40,roundabout,True,False,31.366,"LINESTRING (1.6802446 41.9182138, 1.680275 41.9181805, 1.6803173 41.9181553, 1.6803678 41.9181407, 1.6804218 41.9181379, 1.6804745 41.9181471, 1.6805212 41.9181676, 1.6805575 41.9181975)",,,
43858146,1,secondary,40,roundabout,True,False,17.335,"LINESTRING (1.6805354 41.9183656, 1.6804936 41.9183891, 1.6804444 41.9184026, 1.6803922 41.918405, 1.6803412 41.9183961)",,,
456099104,1,secondary,60,,True,False,22.39,"LINESTRING (1.6805354 41.9183656, 1.6805133 41.9184176, 1.6805129 41.9184681, 1.6805412 41.9185621)",B-420,,
456099105,1,secondary,60,,True,False,24.791,"LINESTRING (1.6805412 41.9185621, 1.6804484 41.9184855, 1.6803412 41.9183961)",B-420,,
43858153,,secondary,,,False,True,250.493,"LINESTRING (1.683735 41.9182715, 1.6836101 41.9182439, 1.6835062 41.9182236, 1.6834329 41.9182133, 1.6833658 41.9182058, 1.6833194 41.9182038, 1.6832526 41.9182052, 1.683184 41.9182149, 1.6831207 41.91823, 1.6830597 41.9182509, 1.6829959 41.9182748, 1.6828014 41.9183493, 1.6827064 41.9183838, 1.6826267 41.9184076, 1.6825388 41.9184275, 1.6823733 41.9184431, 1.6821582 41.9184519, 1.6817765 41.9184477, 1.6816147 41.9184364, 1.6814564 41.9184186, 1.6811869 41.9183776, 1.6807994 41.9183197)",C-1410z,,
45327913,,tertiary,,,False,False,328.57,"LINESTRING (1.683735 41.9182715, 1.6838815 41.9182364, 1.6840368 41.9182497, 1.6844012 41.9182204, 1.6845679 41.9181813, 1.6846809 41.9181383, 1.6847476 41.918069, 1.684745 41.9179997, 1.6846937 41.9179484, 1.6843735 41.9178686, 1.6840585 41.9177991, 1.6839667 41.9177795, 1.6838961 41.917765, 1.6838543 41.9177505, 1.68382 41.9177304, 1.6837986 41.9177042, 1.6837782 41.9176703, 1.6837689 41.9176385, 1.6837675 41.9175969, 1.6838188 41.9172839, 1.6837803 41.9171711, 1.6837085 41.9170761, 1.6832647 41.9167221, 1.6831453 41.916597)",,Carrer del Raval de Sant Joan,
1148770518,,tertiary,,roundabout,True,False,7.193,"LINESTRING (1.681834 41.9130768, 1.6818583 41.91305, 1.6818928 41.9130303)",BV-3001,,
155055261,,living_street,,,False,False,9.441,"LINESTRING (1.6830419 41.9142384, 1.6829299 41.9142546)",,Carrer Nou,
390834059,,tertiary,,,False,False,184.33900000000003,"LINESTRING (1.6830419 41.9142384, 1.6830643 41.914196, 1.6830978 41.914149, 1.68316 41.9140892, 1.6835003 41.9137861, 1.6835239 41.9137563, 1.6835305 41.9137377, 1.6835316 41.9137171, 1.6835286 41.9136969, 1.6835268 41.9136849, 1.6835171 41.913668, 1.6834991 41.9136556, 1.6834645 41.9136421, 1.6834247 41.9136357, 1.6833421 41.9136327, 1.6832681 41.9136371, 1.6830106 41.9137165, 1.6829257 41.9137381, 1.6828676 41.9137461, 1.6828181 41.9137468, 1.6827239 41.9137438, 1.6825879 41.9137308, 1.6825091 41.9137078, 1.6824506 41.9136801, 1.6824121 41.9136535, 1.6823732 41.9136253, 1.6823323 41.9135888)",BV-3001,,
"[390834059, 176993263]",,tertiary,,,False,True,90.42,"LINESTRING (1.6830419 41.9142384, 1.6830268 41.9142911, 1.6830293 41.9143245, 1.6830418 41.9143506, 1.6830956 41.9144669, 1.6832456 41.9147448, 1.6833374 41.9149068, 1.6833913 41.9149982)","['BV-3001', 'B-422']",,
