osmid,oneway,name,highway,reversed,length,geometry,lanes,ref,width,junction,maxspeed,bridge,access
27528462,True,Calle Hermanas de la Caridad,residential,False,51.021,"LINESTRING (-16.5186289 28.3909009, -16.518664 28.3909449, -16.5189425 28.3912675)",,,,,,,
104013751,False,Avenida La Torrita,primary,False,108.507,"LINESTRING (-16.5186289 28.3909009, -16.5186849 28.390841, -16.5187905 28.3907021, -16.5192222 28.3900773)",2,TF-21,,,,,
570703810,True,Calle San Juan Bosco,primary,False,17.49,"LINESTRING (-16.5192486 28.3941809, -16.5192257 28.3943369)",2,TF-21,,,,,
25096331,True,Calle San Francisco,tertiary,False,91.63999999999999,"LINESTRING (-16.5258535 28.3886501, -16.5258846 28.3885625, -16.5258817 28.3883557, -16.5258686 28.3880871, -16.5258647 28.3880384, -16.5258531 28.387984, -16.5258211 28.3878341)",,TF-324,,,,,
25096107,True,Calle Salazar,tertiary,False,7.383,"LINESTRING (-16.5258109 28.3868067, -16.5258367 28.3867443)",,TF-324,,,,,
556803270,False,Calle San Francisco,tertiary,True,38.374,"LINESTRING (-16.5258109 28.3868067, -16.5258113 28.3868708, -16.5258102 28.3870869, -16.5258106 28.3871518)",,TF-324,,,,,
556803272,True,El Monturrio,residential,False,25.176000000000002,"LINESTRING (-16.5268959 28.3857175, -16.5268003 28.3856375, -16.5267467 28.3855767, -16.5267239 28.38555)",,,,,,,
25377769,True,Calle Herminia Mesa Bello,residential,False,161.21699999999998,"LINESTRING (-16.528022 28.385568, -16.5279971 28.385599, -16.5279591 28.385635, -16.5268826 28.3865413, -16.5268479 28.3865833)",,,,,,,
25377770,False,,residential,True,41.825,"LINESTRING (-16.5268479 28.3865833, -16.5268066 28.3865824, -16.5267226 28.3865806, -16.5266384 28.3865898, -16.5265819 28.386644, -16.5265068 28.3867414)",,,,,,,
84765156,True,El Monturrio,residential,False,120.258,"LINESTRING (-16.5268479 28.3865833, -16.5268542 28.3866148, -16.5270326 28.3866726, -16.5271816 28.386748, -16.5273252 28.386876, -16.5274339 28.3870181, -16.5275185 28.387178, -16.5275749 28.3873754)",,,,,,,
25096157,True,,residential,False,28.612,"LINESTRING (-16.5279372 28.3888913, -16.5279189 28.3889037, -16.5279044 28.3889195, -16.5278945 28.3889379, -16.5278896 28.3889577, -16.5278901 28.388978, -16.5278959 28.3889977, -16.5279061 28.3890148, -16.5279203 28.3890296, -16.5279379 28.3890412, -16.5279579 28.3890492, -16.5279795 28.3890531, -16.5280015 28.3890526, -16.5280228 28.389048)",1,,5,roundabout,,,
570048108,True,,residential,False,7.646,"LINESTRING (-16.5286132 28.388749, -16.5285714 28.3886909)",,,,,,,
235453038,True,Calle Leonor Monteverde,residential,False,64.226,"LINESTRING (-16.5269972 28.392629, -16.5266664 28.3922414, -16.526603 28.3921671)",,,,,,,
238587861,True,Calle Doctor Sixto Perera González,residential,False,84.635,"LINESTRING (-16.5269972 28.392629, -16.5269451 28.3926603, -16.5263322 28.3930271, -16.5262826 28.3930581)",,,,,,,
25092724,True,Avenida del Mayorazgo de Franchy,residential,False,45.05,"LINESTRING (-16.5282149 28.393381, -16.528125 28.39344, -16.5278463 28.3936239)",1,,,,,,
25031311,True,Calle Cristobal de Franchy,residential,False,61.02,"LINESTRING (-16.5286305 28.3938859, -16.5282625 28.3934428)",1,,,,,,
