osmid,ref,highway,oneway,reversed,length,geometry,lanes,name,maxspeed,junction
565835018,GU-193,tertiary,False,False,93.799,"LINESTRING (-3.4334309 40.7010498, -3.4326095 40.7015188, -3.4325428 40.701558)",,,,
565835018,GU-193,tertiary,False,True,30.564,"LINESTRING (-3.4334309 40.7010498, -3.4335095 40.7010096, -3.4335216 40.7010031, -3.4337283 40.7008926)",,,,
993922605,GU-193,tertiary,False,False,16.553,"LINESTRING (-3.4313387 40.7025159, -3.4312104 40.7026286)",,,,
565835018,GU-193,tertiary,False,True,47.537,"LINESTRING (-3.4313387 40.7025159, -3.4314105 40.7024479, -3.4316959 40.7021851)",,,,
993922609,,residential,True,False,64.069,"LINESTRING (-3.4313387 40.7025159, -3.4313006 40.7024649, -3.431293 40.7023338, -3.4313135 40.702237, -3.4313502 40.702147, -3.4314363 40.7019642)",1,Ronda del Pilar,,
565835017,N-320,trunk,False,False,55.199,"LINESTRING (-3.4273458 40.7058701, -3.4270046 40.7056657, -3.4268476 40.7055489)",2,,50,
565864633,GU-193,tertiary,False,True,274.90999999999997,"LINESTRING (-3.4273458 40.7058701, -3.4273825 40.7058098, -3.4276777 40.7053254, -3.4281011 40.7046441, -3.4283222 40.7042908, -3.4285606 40.7039424, -3.428849 40.7036877)",2,,,
565835018,GU-193,tertiary,False,False,30.564,"LINESTRING (-3.4337283 40.7008926, -3.4335216 40.7010031, -3.4335095 40.7010096, -3.4334309 40.7010498)",,,,
565835019,,residential,False,False,64.652,"LINESTRING (-3.4337283 40.7008926, -3.4338689 40.7008883, -3.433996 40.7008868, -3.4342219 40.7008844, -3.4344922 40.7009144)",,Calle San Roque,,
993663032,,residential,True,False,79.911,"LINESTRING (-3.4337283 40.7008926, -3.433469 40.7008724, -3.4329238 40.7008307, -3.4327855 40.7008181)",,Calle San Roque,,
28244054,,unclassified,True,False,40.969,"LINESTRING (-3.4302155 40.6996346, -3.4302079 40.700003)",,Calle Juan Carlos I,,
28259394,,residential,False,False,178.995,"LINESTRING (-3.4302155 40.6996346, -3.4301741 40.699526, -3.4299769 40.699417, -3.4297995 40.6992495, -3.429527 40.6988998, -3.4291191 40.6982822)",,Calle Juan Carlos I,,
85000579,GU-1057,tertiary,False,False,125.001,"LINESTRING (-3.4268476 40.7055489, -3.4267619 40.7056396, -3.42654 40.7059026, -3.426376 40.7061716, -3.4262342 40.7063296, -3.4261424 40.7063969, -3.4260322 40.7064776)",,Carretera de Mesones,,
565835017,N-320,trunk,False,False,238.05599999999998,"LINESTRING (-3.4268476 40.7055489, -3.4263434 40.7052211, -3.425673 40.7047853, -3.4251218 40.7044674, -3.4246275 40.7042314)",2,,50,
565835017,N-320,trunk,False,True,55.199,"LINESTRING (-3.4268476 40.7055489, -3.4270046 40.7056657, -3.4273458 40.7058701)",2,,50,
565835017,N-320,trunk,False,False,40.157,"LINESTRING (-3.4246275 40.7042314, -3.4242049 40.7040647)",2,,50,
1099854583,,residential,False,True,9.514,"LINESTRING (-3.4246275 40.7042314, -3.4246823 40.7041566)",2,Calle Cerca Cuartaña,,
565835017,N-320,trunk,False,True,238.05599999999998,"LINESTRING (-3.4246275 40.7042314, -3.4251218 40.7044674, -3.425673 40.7047853, -3.4263434 40.7052211, -3.4268476 40.7055489)",2,,50,
220261559,,residential,False,True,30.662,"LINESTRING (-3.4260186 40.7014374, -3.4259638 40.70171)",,Camino de Valdeniño,,
993900143,,residential,False,False,27.592,"LINESTRING (-3.4260186 40.7014374, -3.4260931 40.701444, -3.4261676 40.7014787, -3.4263018 40.7015513)",,Calle Romanillos,,
220261559,,residential,False,True,49.746,"LINESTRING (-3.4256833 40.7025992, -3.4252973 40.7029376)",,Camino de Valdeniño,,
28259518,,residential,False,True,36.662,"LINESTRING (-3.4256833 40.7025992, -3.4257278 40.7026185, -3.4259163 40.7027004, -3.4260005 40.7027478, -3.4260442 40.7027806)",2,Calle Cuesta el Gato,,
220261559,,residential,False,False,107.27199999999999,"LINESTRING (-3.4256833 40.7025992, -3.4256595 40.702476, -3.4256487 40.702402, -3.4256377 40.7023045, -3.4256397 40.7022051, -3.4256482 40.7021136, -3.4256888 40.7019883, -3.4259638 40.70171)",,Camino de Valdeniño,,
28259391,,residential,True,False,40.223,"LINESTRING (-3.4278861 40.7016887, -3.428338 40.7018048)",1,Calle Romanillos,,
28259391,,residential,True,False,103.277,"LINESTRING (-3.4296763 40.7020567, -3.4308351 40.7023582)",1,Calle Romanillos,,
993922621,,unclassified,True,False,41.447,"LINESTRING (-3.4296763 40.7020567, -3.4295574 40.7023699, -3.4295403 40.7024149)",,Calle Juan Carlos I,,
220249013,,residential,False,True,26.903,"LINESTRING (-3.4288296 40.698384, -3.4291191 40.6982822)",,Calle Camino de la Fuente,,
28259392,,residential,False,False,186.197,"LINESTRING (-3.4288296 40.698384, -3.4283889 40.6995205, -3.428304 40.6997307, -3.4282258 40.6999942)",,Calle Toledo,,
220249013,,residential,False,False,188.24200000000002,"LINESTRING (-3.4288296 40.698384, -3.4284984 40.6985353, -3.4277624 40.6991627, -3.4275169 40.6994402, -3.4274073 40.699581, -3.4273745 40.6996383)",,Calle Camino de la Fuente,,
28259392,,residential,False,True,31.468,"LINESTRING (-3.4278543 40.7008143, -3.4280103 40.7005572)",,Calle Toledo,,
993922619,,residential,True,False,10.679,"LINESTRING (-3.4278543 40.7008143, -3.4278436 40.7008042, -3.4278292 40.7007974, -3.4278126 40.7007944, -3.4277941 40.700795, -3.4277802 40.7008009, -3.4277677 40.7008096, -3.4277584 40.7008265)",,,,
220249013,,residential,False,False,26.903,"LINESTRING (-3.4291191 40.6982822, -3.4288296 40.698384)",,Calle Camino de la Fuente,,
28259394,,residential,False,True,178.995,"LINESTRING (-3.4291191 40.6982822, -3.429527 40.6988998, -3.4297995 40.6992495, -3.4299769 40.699417, -3.4301741 40.699526, -3.4302155 40.6996346)",,Calle Juan Carlos I,,
220249013,,residential,False,True,93.681,"LINESTRING (-3.4291191 40.6982822, -3.4293021 40.6982102, -3.4296074 40.6982492, -3.4298439 40.6983448, -3.4300521 40.6985364)",,Calle Camino de la Fuente,,
220252338,,residential,True,False,25.791,"LINESTRING (-3.4270034 40.7006505, -3.4270217 40.7004266, -3.4270223 40.700419)",,Travesía de la Fuente,,
220253771,,residential,True,False,31.839,"LINESTRING (-3.4270034 40.7006505, -3.426936 40.7007142, -3.4268354 40.7007098, -3.4266662 40.7007093)",1,,,
28259391,,residential,True,False,16.192,"LINESTRING (-3.4271881 40.7017806, -3.4272509 40.7017561, -3.4273723 40.7017534)",1,Calle Romanillos,,
45103792,,residential,True,False,42.948,"LINESTRING (-3.4271881 40.7017806, -3.4272268 40.7015016, -3.4272662 40.7014002)",,Calle de Ángel Dilla,,
993900138,,residential,True,False,80.506,"LINESTRING (-3.4271881 40.7017806, -3.4270891 40.7017802, -3.4269414 40.7017677, -3.4267597 40.7017423, -3.4263018 40.7015513)",1,Calle Romanillos,,
565835018,GU-193,tertiary,False,False,47.537,"LINESTRING (-3.4316959 40.7021851, -3.4314105 40.7024479, -3.4313387 40.7025159)",,,,
565835018,GU-193,tertiary,False,True,100.13,"LINESTRING (-3.4316959 40.7021851, -3.4317511 40.7021378, -3.432133 40.7018104, -3.4324239 40.7016312, -3.4325428 40.701558)",,,,
993922610,,residential,True,False,33.086,"LINESTRING (-3.4316959 40.7021851, -3.4316775 40.7021551, -3.43166 40.7021403, -3.4315668 40.7020617, -3.4314363 40.7019642)",1,Calle la Tercia,30,
993922608,,residential,True,False,169.359,"LINESTRING (-3.4299734 40.7014538, -3.429179 40.7013609, -3.4285829 40.7013359, -3.4280572 40.701104)",1,Calle la Tercia,30,
993922621,,unclassified,True,False,71.565,"LINESTRING (-3.4299734 40.7014538, -3.4296939 40.7020209, -3.4296763 40.7020567)",,Calle Juan Carlos I,,
28259537,,residential,True,False,66.833,"LINESTRING (-3.4280572 40.701104, -3.4280151 40.7013634, -3.4279827 40.7014437, -3.4278861 40.7016887)",1,Calle Jardines,30,
