osmid,oneway,lanes,ref,highway,maxspeed,reversed,length,name,bridge,geometry,junction,tunnel
1010915105,True,2,A-4,motorway,120,False,71.125,,,"LINESTRING (-3.4985886 39.701408, -3.4986938 39.7007735)",,
"[191101857, 24332037, 24332039]",False,2,CM-3000,secondary,50,True,261.808,Carretera de Tembleque a Horcajo de Santiago,yes,"LINESTRING (-3.4996183 39.6949004, -3.4991425 39.6949272, -3.4981262 39.6949999, -3.4978337 39.6950305, -3.4976732 39.695049, -3.4975317 39.6950698, -3.4970174 39.6951556, -3.4965926 39.6952255)",,
191101873,True,1,CM-3000,secondary,40,False,41.525,Carretera de Tembleque a Horcajo de Santiago,,"LINESTRING (-3.4996183 39.6949004, -3.4999648 39.6949137, -3.5001013 39.6949313)",,
922845812,True,1,A-4,motorway_link,60,False,200.254,,,"LINESTRING (-3.4974218 39.6959552, -3.4976149 39.6964027, -3.4978852 39.6970205, -3.4981805 39.6976588)",,
24332041,True,1,A-4,motorway_link,,False,393.99399999999997,,,"LINESTRING (-3.4965926 39.6952255, -3.4963883 39.6952034, -3.496296 39.6951975, -3.4961895 39.6951792, -3.4961044 39.6951387, -3.4960293 39.6950974, -3.4959238 39.6949944, -3.4958718 39.6949062, -3.4958455 39.6948223, -3.4958353 39.6947413, -3.4958466 39.6946676, -3.4958707 39.6945886, -3.4959148 39.6945127, -3.4959836 39.694443, -3.4960579 39.694394, -3.4961318 39.69435, -3.4962317 39.6943142, -3.4963336 39.6942938, -3.4964315 39.6942886, -3.4965412 39.6942903, -3.4966268 39.6943121, -3.4967384 39.6943473, -3.4968505 39.6944166, -3.4969266 39.694486, -3.4969902 39.6945651, -3.4970652 39.6948172, -3.4971129 39.6950285, -3.4971947 39.6953011, -3.4972674 39.6955282, -3.4974218 39.6959552)",,
"[191101857, 24332037, 24332039]",False,2,CM-3000,secondary,50,False,261.808,Carretera de Tembleque a Horcajo de Santiago,yes,"LINESTRING (-3.4965926 39.6952255, -3.4970174 39.6951556, -3.4975317 39.6950698, -3.4976732 39.695049, -3.4978337 39.6950305, -3.4981262 39.6949999, -3.4991425 39.6949272, -3.4996183 39.6949004)",,
828577038,True,2,CM-410,primary,40,False,5.211,,,"LINESTRING (-3.5001013 39.6949313, -3.5001418 39.6949663)",roundabout,
174585105,False,2,,residential,50,True,72.736,Avenida de Andalucía,,"LINESTRING (-3.5001629 39.6951658, -3.4999521 39.6957995)",,
191101875,True,1,,residential,40,False,23.834000000000003,Avenida de Andalucía,,"LINESTRING (-3.5001629 39.6951658, -3.5002244 39.695096, -3.5002677 39.6950476, -3.5003092 39.6949839)",,
191196892,False,1,,residential,50,False,105.934,Calle Las Cruces,,"LINESTRING (-3.5001629 39.6951658, -3.5002226 39.6951982, -3.5003115 39.6952529, -3.5009859 39.6958734)",,
202664180,False,2,CM-410,primary,40,False,74.019,Calle Pocillo,,"LINESTRING (-3.5007228 39.6948792, -3.5015864 39.6948399)",,
191101874,True,1,CM-410,primary,40,False,28.252,Calle Pocillo,,"LINESTRING (-3.5007228 39.6948792, -3.500616 39.6948641, -3.5004991 39.69485, -3.5004375 39.6948389, -3.5004043 39.6948217)",,
24332548,False,3,CM-410,primary,50,True,100.439,Avenida de Andalucía,,"LINESTRING (-3.5004061 39.6943662, -3.5004697 39.6942128, -3.5005606 39.6939453, -3.5007082 39.6934936)",,
191101876,True,1,CM-410,primary,40,False,46.489,Avenida de Andalucía,,"LINESTRING (-3.5004061 39.6943662, -3.5003201 39.6944974, -3.5002384 39.6946423, -3.5002023 39.6946991, -3.5001779 39.6947454)",,
191101929,False,1,,residential,50,True,74.61099999999999,Calle del Santo,,"LINESTRING (-3.5023705 39.6948011, -3.5023515 39.69475, -3.5021306 39.694156)",,
202664180,False,2,CM-410,primary,40,False,36.975,Calle Pocillo,,"LINESTRING (-3.5023705 39.6948011, -3.5025362 39.6947895, -3.5028003 39.6947666)",,
202664180,False,2,CM-410,primary,40,True,67.23700000000001,Calle Pocillo,,"LINESTRING (-3.5023705 39.6948011, -3.5021166 39.6948186, -3.501776 39.6948317, -3.5015864 39.6948399)",,
191196859,False,,,residential,,True,23.602,,,"LINESTRING (-3.5028003 39.6947666, -3.5027486 39.6949751)",,
202664180,False,2,CM-410,primary,40,False,20.806,Calle Pocillo,,"LINESTRING (-3.5028003 39.6947666, -3.5030423 39.6947482)",,
191101921,False,1,,residential,50,False,122.291,Calle Valerio,,"LINESTRING (-3.5028003 39.6947666, -3.5028038 39.6947284, -3.5027556 39.6945126, -3.5026622 39.6942336, -3.5025635 39.694045, -3.5021772 39.694144, -3.5021306 39.694156)",,
202664180,False,2,CM-410,primary,40,True,36.975,Calle Pocillo,,"LINESTRING (-3.5028003 39.6947666, -3.5025362 39.6947895, -3.5023705 39.6948011)",,
310084335,False,2,CM-410,primary,40,False,13.11,Calle de Castelar,,"LINESTRING (-3.5050724 39.6947113, -3.5052253 39.6947036)",,
310084335,False,2,CM-410,primary,40,True,12.927,Calle de Castelar,,"LINESTRING (-3.5050724 39.6947113, -3.5049216 39.6947184)",,
191101881,False,2,,residential,50,False,201.66799999999998,Calle Comendador,,"LINESTRING (-3.5050724 39.6947113, -3.5050855 39.6946362, -3.5054181 39.6929751, -3.5054294 39.6929186)",,
309272215,False,2,CM-410,primary,40,True,32.105,Calle de la Cruz Verde,,"LINESTRING (-3.5060905 39.6946921, -3.5057153 39.6946884)",,
191196872,False,2,,residential,50,True,39.613,Calle Las Cuatro Calles,,"LINESTRING (-3.5060905 39.6946921, -3.5061081 39.6947582, -3.5061821 39.6950413)",,
309272215,False,2,CM-410,primary,40,False,106.69,Calle de la Cruz Verde,,"LINESTRING (-3.5060905 39.6946921, -3.5065258 39.6947029, -3.5073366 39.6947276)",,
24332548,False,3,CM-410,primary,50,True,61.153,Avenida de Andalucía,,"LINESTRING (-3.5007082 39.6934936, -3.5008802 39.6929598)",,
24332548,False,3,CM-410,primary,50,False,100.439,Avenida de Andalucía,,"LINESTRING (-3.5007082 39.6934936, -3.5005606 39.6939453, -3.5004697 39.6942128, -3.5004061 39.6943662)",,
191101899,False,1,,residential,50,False,20.525,Calle La Almazara,,"LINESTRING (-3.5007082 39.6934936, -3.5007995 39.6935062, -3.5009349 39.6935505)",,
