osmid,ref,name,highway,maxspeed,oneway,reversed,length,geometry,access,tunnel,junction
75272256,OU-603,Avenida Campo Grande,tertiary,50,False,False,20.737000000000002,"LINESTRING (-7.1106248 42.395484, -7.1107978 42.3954589, -7.1108726 42.3954481)",,,
75272256,OU-603,Avenida Campo Grande,tertiary,50,False,True,41.418,"LINESTRING (-7.1106248 42.395484, -7.1104205 42.395501, -7.1101227 42.3955188)",,,
33506578,,Rúa Cervantes,residential,,True,False,57.597,"LINESTRING (-7.1128405 42.3953303, -7.1128256 42.3952415, -7.1128305 42.3951735, -7.113209 42.394946)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,False,95.726,"LINESTRING (-7.1128405 42.3953303, -7.1138688 42.3952598, -7.1140012 42.3952507)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,True,125.923,"LINESTRING (-7.1128405 42.3953303, -7.1113577 42.3954332, -7.1113137 42.3954353)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,False,33.792,"LINESTRING (-7.1142718 42.3952324, -7.1144112 42.3951931, -7.1145221 42.3951479, -7.1146316 42.3950888)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,True,22.314999999999998,"LINESTRING (-7.1142718 42.3952324, -7.1141124 42.3952438, -7.1140012 42.3952507)",,,
33506557,,Rúa Circunvalación,residential,,False,True,45.234,"LINESTRING (-7.1146493 42.3924758, -7.1151911 42.3924025)",,,
33506557,,Rúa Circunvalación,residential,,False,False,115.32,"LINESTRING (-7.1146493 42.3924758, -7.1145191 42.3925031, -7.1141397 42.3925828, -7.1135818 42.392773, -7.1133506 42.3928608)",,,
33771955,,Rúa Curros Enrríquez,residential,,True,False,110.543,"LINESTRING (-7.1146493 42.3924758, -7.1146706 42.3925369, -7.1149679 42.3933907, -7.1149846 42.3934386)",,,
84258421,,Rúa Doutor Vila,residential,,True,False,43.737,"LINESTRING (-7.1147485 42.3939882, -7.114424 42.3936763)",,,
33506557,,Rúa Circunvalación,residential,,False,False,64.757,"LINESTRING (-7.1133506 42.3928608, -7.1126377 42.3931097)",,,
33506557,,Rúa Circunvalación,residential,,False,True,115.32000000000001,"LINESTRING (-7.1133506 42.3928608, -7.1135818 42.392773, -7.1141397 42.3925828, -7.1145191 42.3925031, -7.1146493 42.3924758)",,,
33771951,,Rúa Silveira,residential,,True,False,53.135,"LINESTRING (-7.114424 42.3936763, -7.1145242 42.3936304, -7.1147633 42.3935208, -7.1149846 42.3934386)",,,
76667587,,Rúa Doutor Vila,residential,,True,False,54.209999999999994,"LINESTRING (-7.114424 42.3936763, -7.1142526 42.3935209, -7.1139799 42.3933163)",,,
88370897,,Rúa Silveira,residential,,False,True,18.877,"LINESTRING (-7.1167124 42.3928948, -7.1164947 42.3929493)",,,
33771953,,Rúa Pontevedra,residential,,False,False,77.08699999999999,"LINESTRING (-7.1167124 42.3928948, -7.1167218 42.3927936, -7.1167707 42.3922703, -7.1167803 42.3922034)",,,
33771951,,Rúa Silveira,residential,,True,False,36.769,"LINESTRING (-7.1149846 42.3934386, -7.1153901 42.3932984)",,,
33771951,,Rúa Silveira,residential,,True,False,86.075,"LINESTRING (-7.1155291 42.3932504, -7.1164947 42.3929493)",,,
33771954,,Rúa Rosalía de Castro,residential,,True,False,98.283,"LINESTRING (-7.1155291 42.3932504, -7.1155109 42.3932047, -7.1152149 42.3924621, -7.1151911 42.3924025)",,,
33506557,,Rúa Circunvalación,residential,,False,False,45.234,"LINESTRING (-7.1151911 42.3924025, -7.1146493 42.3924758)",,,
33506557,,Rúa Circunvalación,residential,,False,True,132.374,"LINESTRING (-7.1151911 42.3924025, -7.1167803 42.3922034)",,,
33506557,,Rúa Circunvalación,residential,,False,False,132.374,"LINESTRING (-7.1167803 42.3922034, -7.1151911 42.3924025)",,,
33506557,,Rúa Circunvalación,residential,,False,True,86.14,"LINESTRING (-7.1167803 42.3922034, -7.1173016 42.39214, -7.1178153 42.3920776)",,,
33771953,,Rúa Pontevedra,residential,,False,True,77.08699999999999,"LINESTRING (-7.1167803 42.3922034, -7.1167707 42.3922703, -7.1167218 42.3927936, -7.1167124 42.3928948)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,True,94.681,"LINESTRING (-7.1197511 42.3928641, -7.1187288 42.3932578)",,,
33771952,,Rúa da Noria,residential,,True,False,114.96900000000001,"LINESTRING (-7.1197511 42.3928641, -7.119719 42.3928228, -7.1195466 42.3926005, -7.1192506 42.3920041, -7.1192051 42.3919153)",,,
75272258,OU-603,Rúa do Progreso,tertiary,50,False,False,29.689,"LINESTRING (-7.1197511 42.3928641, -7.1198906 42.3928094, -7.1200704 42.3927389)",,,
33506557,,Rúa Circunvalación,residential,,False,False,27.753,"LINESTRING (-7.1192051 42.3919153, -7.1189655 42.3919422, -7.118871 42.3919528)",,,
