osmid,oneway,name,highway,reversed,length,geometry,junction,lanes,maxspeed,ref,bridge
38166045,True,Avenida de Pamplona,residential,False,93.23,"LINESTRING (-1.6123906 42.833947, -1.6123292 42.8339822, -1.6114686 42.8343381, -1.6113992 42.8343632)",,,,,
857859105,True,,secondary,False,8.129999999999999,"LINESTRING (-1.6123906 42.833947, -1.6123784 42.8339824, -1.6123792 42.834019)",roundabout,,,,
"[463020708, 112986734]",True,Avenida de Pamplona,"['secondary', 'secondary_link']",False,192.309,"LINESTRING (-1.6123792 42.834019, -1.6122899 42.8340705, -1.6115203 42.8344065, -1.610787 42.8347141, -1.6104497 42.8348425, -1.6103256 42.8348475)",,1,30,,
857750355,True,,secondary,False,13.886000000000001,"LINESTRING (-1.6123792 42.834019, -1.612396 42.8340588, -1.6124282 42.834093, -1.6124729 42.8341187)",roundabout,,,,
857750354,True,,secondary,False,11.055,"LINESTRING (-1.6124729 42.8341187, -1.6125146 42.8341314, -1.6125593 42.8341365, -1.6126043 42.8341336)",roundabout,,,,
857750354,True,,secondary,False,3.686,"LINESTRING (-1.6126648 42.8341157, -1.6127001 42.834095)",roundabout,,,,
27364732,False,Polígono Industrial Landazabal Calle 3,residential,True,77.682,"LINESTRING (-1.6126648 42.8341157, -1.6130857 42.8346716, -1.6131272 42.8347265)",,,,,
857750354,True,,secondary,False,12.235,"LINESTRING (-1.6127001 42.834095, -1.61273 42.8340656, -1.6127483 42.8340315, -1.6127537 42.833995)",roundabout,,,,
189029932,True,,secondary,False,4.706,"LINESTRING (-1.6126729 42.833885, -1.612621 42.8338665)",roundabout,,,,
112986732,True,,tertiary,False,29.249,"LINESTRING (-1.6097073 42.8350638, -1.6098938 42.8350497, -1.6100185 42.8350513, -1.6100647 42.8350475)",,,,NA-2517,
"[112986764, 362757414]",False,Carretera Arre - Oricáin / Arre - Orikain errepidea,tertiary,False,58.18599999999999,"LINESTRING (-1.6097073 42.8350638, -1.609485 42.8350926, -1.6091227 42.8351218, -1.6089999 42.8351304)",,2,,NA-2517,
857750351,True,,tertiary,False,3.356,"LINESTRING (-1.6102402 42.8348204, -1.6101991 42.8348188)",roundabout,,,NA-2517,
446490423,True,Avenida María-Azkarate,residential,False,22.536,"LINESTRING (-1.6128688 42.8280267, -1.6126682 42.8278873)",,,,,
857750363,True,,residential,False,11.734,"LINESTRING (-1.6128688 42.8280267, -1.6128217 42.8280332, -1.6127807 42.8280515, -1.6127513 42.8280793)",roundabout,,,,
857750363,True,,residential,False,6.559,"LINESTRING (-1.6127513 42.8280793, -1.6127383 42.8281072, -1.6127373 42.8281367)",roundabout,,,,
23611257,True,Avenida Serapio Huici,residential,False,86.111,"LINESTRING (-1.6127373 42.8281367, -1.6126347 42.8282499, -1.6120676 42.8286361, -1.6119964 42.8286841)",,,,,
857750362,True,,residential,False,14.405,"LINESTRING (-1.6127373 42.8281367, -1.6127575 42.8281773, -1.6127995 42.8282075, -1.6128552 42.8282215)",roundabout,,,,
857750361,True,,residential,False,10.442,"LINESTRING (-1.613 42.8281046, -1.6129848 42.8280754, -1.6129578 42.8280511, -1.6129217 42.8280344)",roundabout,,,,
23218375,True,Calle Fermin Tirapu,tertiary,False,21.341,"LINESTRING (-1.612667 42.8314684, -1.6127618 42.8314215, -1.6129073 42.8314044)",,,,NA-4200,
