osmid,ref,name,highway,oneway,reversed,length,maxspeed,geometry,junction,lanes,access
6279738,M-608,Calle de España,trunk,False,False,26.157,,"LINESTRING (-3.9688024 40.6760877, -3.9685876 40.6762574)",,,
50551127,M-608,Calle de España,trunk,True,False,33.537,40,"LINESTRING (-3.9688024 40.6760877, -3.9690941 40.6758827)",,,
328473555,M-608,Calle de España,trunk,False,True,53.476000000000006,50,"LINESTRING (-3.9664816 40.6777161, -3.9665607 40.6776916, -3.9666411 40.6776631, -3.9666961 40.6776418, -3.9667685 40.6776092, -3.9668369 40.6775736, -3.9669092 40.6775318, -3.9670131 40.6774605)",,,
1083223330,M-608,Calle de España,trunk,False,False,22.72,50,"LINESTRING (-3.9664816 40.6777161, -3.966397 40.6777404, -3.9663313 40.6777547, -3.9662236 40.6777738)",,,
166666780,,,secondary_link,True,False,92.06600000000002,40,"LINESTRING (-3.9696432 40.6750194, -3.969639 40.6750628, -3.9696087 40.6751455, -3.969569 40.6752515, -3.9695379 40.6753259, -3.9695017 40.6753923, -3.9694561 40.6754764, -3.9693984 40.6755588, -3.9693475 40.6756239, -3.9692952 40.6756808, -3.9692591 40.6757377, -3.9692647 40.6757836)",,,
305491780,M-608,Calle de España,trunk,True,False,83.299,40,"LINESTRING (-3.9696432 40.6750194, -3.9695517 40.6751967, -3.9694868 40.6753379, -3.9693712 40.6755212, -3.9692296 40.675697)",,,
305491780,M-608,Calle de España,trunk,True,False,14.965,40,"LINESTRING (-3.9692296 40.675697, -3.9691206 40.6758032)",,,
166666785,,Calle Talavera de la Reina,residential,True,False,13.426,,"LINESTRING (-3.9692296 40.675697, -3.9691658 40.6756996, -3.9690833 40.6756634)",,,
116405537,,Calle Antón,secondary,False,False,10.662,40,"LINESTRING (-3.9701378 40.6800634, -3.9700783 40.680148)",,,
116405537,,Calle Antón,secondary,False,True,59.675,40,"LINESTRING (-3.9701378 40.6800634, -3.970578 40.6796432)",,,
