osmid,oneway,highway,reversed,length,geometry,lanes,ref,name,maxspeed,bridge
127004446,True,residential,False,46.277,"LINESTRING (-6.6561665 40.0689332, -6.6562762 40.0689711, -6.656516 40.0692382)",,,,,
308186917,True,primary,False,46.811,"LINESTRING (-6.6561665 40.0689332, -6.6564219 40.0692238, -6.6564601 40.0692658, -6.6564747 40.0692819)",2,EX-109,Avenida Pureza Canelo,30,
58614067,False,residential,True,45.469,"LINESTRING (-6.6561971 40.0707841, -6.6565296 40.0711042)",,,Calle Río Ebro,,
318717429,False,tertiary,True,25.468,"LINESTRING (-6.6561971 40.0707841, -6.6559558 40.0709196)",,,Calle de La Moheda,,
318717427,False,tertiary,False,54.957,"LINESTRING (-6.6561971 40.0707841, -6.6566162 40.0705527, -6.6567292 40.070505)",,,Calle de La Moheda,,
318717428,False,residential,False,124.119,"LINESTRING (-6.6561971 40.0707841, -6.6557073 40.0703047, -6.6553116 40.0698972)",,,Campoamor,,
640838694,False,residential,False,10.535,"LINESTRING (-6.6573646 40.0702615, -6.6574764 40.0702208)",,,,,
318717427,False,tertiary,True,60.479,"LINESTRING (-6.6573646 40.0702615, -6.6569933 40.0704045, -6.6568027 40.0704739, -6.6567292 40.070505)",,,Calle de La Moheda,,
321620003,True,primary,False,75.46799999999999,"LINESTRING (-6.6573646 40.0702615, -6.657437 40.0703412, -6.6578708 40.0708188)",2,EX-109,Avenida de Extremadura,30,
109581551,False,primary,True,13.854,"LINESTRING (-6.6549765 40.0670884, -6.6551002 40.0670074)",,EX-108,Avenida de Lusitania,30,
113502674,True,primary,False,25.529,"LINESTRING (-6.6549765 40.0670884, -6.6548495 40.0671208, -6.6547627 40.0671259, -6.6546858 40.0671118)",,,Carretera de Navalmoral de la Mata a Portugal por Coria,,
309109590,True,primary,False,19.469,"LINESTRING (-6.6549765 40.0670884, -6.6548222 40.0671693, -6.654816 40.0672009)",1,,,,
109581551,False,primary,False,13.854,"LINESTRING (-6.6551002 40.0670074, -6.6549765 40.0670884)",,EX-108,Avenida de Lusitania,30,
109581551,False,primary,True,57.875,"LINESTRING (-6.6551002 40.0670074, -6.6556013 40.0666555)",,EX-108,Avenida de Lusitania,30,
127004444,True,residential,False,14.527,"LINESTRING (-6.6551002 40.0670074, -6.6552289 40.0669991, -6.6552594 40.0669775)",,,,30,
308186887,True,primary,False,14.255,"LINESTRING (-6.6549016 40.0673522, -6.6548072 40.0672463)",2,EX-109,Avenida Pureza Canelo,30,
56158915,True,primary,False,23.897,"LINESTRING (-6.6549016 40.0673522, -6.6548918 40.0672741, -6.654948 40.0671446)",,,Carretera de Navalmoral de la Mata a Portugal por Coria,,
