osmid,name,highway,maxspeed,oneway,reversed,length,bridge,width,geometry,lanes,junction,ref,access
158670609,Carrer del Portal de la Mercè,residential,30,False,False,67.85,,,"LINESTRING (3.0753813 42.2611368, 3.0746522 42.2608519)",,,,
"[158670609, 53375474]","['Pont de la Mercè', 'Carrer del Portal de la Mercè']",residential,30,False,"[False, True]",76.46000000000001,yes,2.55,"LINESTRING (3.0753813 42.2611368, 3.075646 42.2612234, 3.0759712 42.2613753, 3.0760752 42.2614329, 3.076181 42.2614825)",,,,
158859952,Carrer del Portal Nou,residential,,False,True,40.687,,4,"LINESTRING (3.0753813 42.2611368, 3.0755045 42.2609714, 3.0755328 42.2607956)",,,,
158670609,Carrer del Portal de la Mercè,residential,30,False,False,38.136,,,"LINESTRING (3.0738986 42.2601339, 3.073705 42.2598223)",,,,
160232692,Passatge 2 de Toribi Duran,residential,,False,True,54.528,,,"LINESTRING (3.0738986 42.2601339, 3.0733817 42.2604407)",,,,
158670609,Carrer del Portal de la Mercè,residential,30,False,True,40.501000000000005,,,"LINESTRING (3.0738986 42.2601339, 3.0739904 42.2602817, 3.0741433 42.2604485)",,,,
101122004,Carrer de la Verge,residential,,False,False,20.094,,,"LINESTRING (3.073705 42.2598223, 3.0739104 42.2597246)",,,,
158670609,Carrer del Portal de la Mercè,residential,30,False,True,38.136,,,"LINESTRING (3.073705 42.2598223, 3.0738986 42.2601339)",,,,
158844282,Carrer dels Panissars,tertiary,30,True,False,65.996,,,"LINESTRING (3.073705 42.2598223, 3.0734556 42.2600125, 3.0731497 42.2602505)",,,,
201909160,Carrer de la Muralla,residential,,False,True,52.36,,,"LINESTRING (3.073705 42.2598223, 3.0736804 42.2597481, 3.0734263 42.259446, 3.0733957 42.2594147)",,,,
30453880,Avinguda de Pau Casals,residential,,False,False,44.277,,,"LINESTRING (3.0715123 42.2587217, 3.0717849 42.2583784)",,,,
158839753,Carrer del Pont,residential,,False,True,132.874,,,"LINESTRING (3.0715123 42.2587217, 3.0723955 42.2588857, 3.0729827 42.2591731)",,,,
160233816,Carrer del Pont,residential,,False,True,127.00500000000001,,,"LINESTRING (3.0715123 42.2587217, 3.0713355 42.2586725, 3.0704896 42.2583864, 3.0701783 42.258173)",,,,
201909001,Carrer de Figueres,residential,,False,False,40.766,,,"LINESTRING (3.0715123 42.2587217, 3.0714694 42.2587697, 3.0713457 42.2590649)",2,,,
32470148,,tertiary,40,True,False,21.265,,,"LINESTRING (3.0740413 42.255058, 3.0740882 42.2550633, 3.0741596 42.2550977, 3.0741911 42.2551387, 3.0741981 42.2551843)",,roundabout,,
160234205,Carrer de Santa Clara,residential,40,False,True,159.794,,,"LINESTRING (3.0806811 42.2569748, 3.0788536 42.2564894)",,,,
"[32470353, 160944226]",Carrer del Rentador,residential,30,False,False,173.52899999999997,,,"LINESTRING (3.0806811 42.2569748, 3.0795805 42.2576478, 3.079467 42.2577172, 3.0792226 42.2578667, 3.0790556 42.2579688)",,,,
"[158670609, 53375474]","['Pont de la Mercè', 'Carrer del Portal de la Mercè']",residential,30,False,"[False, True]",76.46000000000001,yes,2.55,"LINESTRING (3.076181 42.2614825, 3.0760752 42.2614329, 3.0759712 42.2613753, 3.075646 42.2612234, 3.0753813 42.2611368)",,,,
