osmid,ref,name,highway,oneway,reversed,length,lanes,geometry,junction,maxspeed,bridge
232193963,AC-566,Avenida da Area,primary,False,True,8.063,,"LINESTRING (-8.053591 43.6609049, -8.0534926 43.6609187)",,,
33910540,AC-566,Avenida da Area,primary_link,True,False,19.357,1,"LINESTRING (-8.053591 43.6609049, -8.0537804 43.6609359, -8.0538257 43.6609433)",,,
33910538,AC-566,Praza de Galicia,primary,True,False,12.383,,"LINESTRING (-8.0538257 43.6609433, -8.0538722 43.6609589, -8.0539232 43.6609631, -8.0539735 43.6609556)",roundabout,,
33910538,AC-566,Praza de Galicia,primary,True,False,3.958,,"LINESTRING (-8.0539735 43.6609556, -8.0539957 43.660948, -8.0540161 43.660938)",roundabout,,
33910541,AC-566,Avenida de Castelao,primary,False,False,132.569,2,"LINESTRING (-8.0506739 43.6580816, -8.0495925 43.657182)",,50,
90438010,,Rúa da Fraternidade,residential,True,False,51.96,,"LINESTRING (-8.0506739 43.6580816, -8.0508257 43.6576274)",,,
33910541,AC-566,Avenida de Castelao,primary,False,True,25.97,2,"LINESTRING (-8.0506739 43.6580816, -8.0508138 43.6581979, -8.0508858 43.6582578)",,50,
33910541,AC-566,Avenida de Castelao,primary,False,False,61.76,2,"LINESTRING (-8.0521341 43.6592963, -8.0516303 43.6588772)",,50,
33910541,AC-566,Avenida de Castelao,primary,False,True,15.297,2,"LINESTRING (-8.0521341 43.6592963, -8.0522589 43.6594001)",,50,
90438071,,Rúa Valdoviño,residential,True,False,44.489000000000004,,"LINESTRING (-8.0521341 43.6592963, -8.0522219 43.6592432, -8.0525583 43.6590396)",,,
90438054,,Rúa Amor Hermoso,residential,True,False,7.448,,"LINESTRING (-8.0521947 43.6611361, -8.0521735 43.6610709)",,,
232193963,AC-566,Avenida da Area,primary,False,False,33.629,,"LINESTRING (-8.0521947 43.6611361, -8.0523093 43.6611166, -8.0526017 43.661067)",,,
232193963,AC-566,Avenida da Area,primary,False,True,73.747,,"LINESTRING (-8.0521947 43.6611361, -8.0517728 43.6612069, -8.0517225 43.6612153, -8.0513016 43.6612858)",,,
33910541,AC-566,Avenida de Castelao,primary,False,True,65.167,2,"LINESTRING (-8.0490609 43.6567398, -8.0495925 43.657182)",,50,
402420813,,Rúa Dos Deportes,residential,False,True,47.379,,"LINESTRING (-8.0490609 43.6567398, -8.0486307 43.6570308)",,,
33910541,AC-566,Avenida de Castelao,primary,False,False,56.441,2,"LINESTRING (-8.0490609 43.6567398, -8.0487229 43.6564586, -8.0486005 43.6563568)",,50,
90437989,,Rúa Condomiñas,residential,True,False,33.307,,"LINESTRING (-8.0538791 43.6612443, -8.0537556 43.6611892, -8.0537127 43.66117, -8.0534978 43.6611414)",,,
402000610,DP-2204,Avenida Zumalacárregui,residential,True,False,24.222,,"LINESTRING (-8.0538791 43.6612443, -8.0539952 43.6610738, -8.0540122 43.6610489)",,,
"[402905529, 33910530]",,Rúa Rosalía de Castro,residential,False,True,60.723000000000006,,"LINESTRING (-8.055375 43.661435, -8.0553223 43.6614108, -8.0548234 43.661182, -8.0547315 43.6611504)",,,yes
33910531,,,residential,True,False,22.859,,"LINESTRING (-8.055375 43.661435, -8.055403 43.6615205, -8.055392 43.6615876, -8.0553839 43.6616374)",,,
90438021,,Avenida Ezequiel López,residential,True,False,20.658,,"LINESTRING (-8.055375 43.661435, -8.0555119 43.6614295, -8.0556162 43.661387)",,,
226956031,,Paseo Arriba da Ponte,residential,False,False,125.68700000000001,,"LINESTRING (-8.0553839 43.6616374, -8.054439 43.6624819, -8.0544038 43.6625176)",,,
226956047,,,residential,True,False,9.411999999999999,,"LINESTRING (-8.0553839 43.6616374, -8.055421 43.6616047, -8.055458 43.6615719)",,,
33910539,AC-566,Avenida de Castelao,primary_link,True,False,14.426,1,"LINESTRING (-8.0539075 43.6607304, -8.0537643 43.6606523)",,,
33910538,AC-566,Praza de Galicia,primary,True,False,11.725999999999999,,"LINESTRING (-8.0539075 43.6607304, -8.0538599 43.6607375, -8.0538174 43.6607546, -8.0537839 43.66078)",roundabout,,
33910538,AC-566,Praza de Galicia,primary,True,False,2.958,,"LINESTRING (-8.0537839 43.66078, -8.0537664 43.6608034)",roundabout,,
33910545,AC-566,Avenida da Area,primary_link,True,False,18.068,1,"LINESTRING (-8.0537664 43.6608034, -8.053591 43.6609049)",,,
33910538,AC-566,Praza de Galicia,primary,True,False,17.505,,"LINESTRING (-8.0537664 43.6608034, -8.053755 43.6608418, -8.0537619 43.6608809, -8.0537864 43.660916, -8.0538257 43.6609433)",roundabout,,
33910541,AC-566,Avenida de Castelao,primary,False,False,32.348,2,"LINESTRING (-8.0537643 43.6606523, -8.053699 43.660598, -8.0535004 43.6604328)",,50,
33910544,AC-566,Avenida de Castelao,primary_link,True,False,14.286999999999999,1,"LINESTRING (-8.0537643 43.6606523, -8.0537798 43.660753, -8.0537839 43.66078)",,,
177165015,,Rúa José Pascual López Cortón,residential,True,False,42.972,,"LINESTRING (-8.0537643 43.6606523, -8.0538377 43.6605673, -8.0538628 43.6605295, -8.0539292 43.6604294, -8.0540079 43.6603089)",,,
232193963,AC-566,Avenida da Area,primary,False,False,8.61,,"LINESTRING (-8.0492012 43.6616454, -8.0493054 43.6616277)",,,
69034207,,Rúa Gaias da Area,residential,False,False,83.809,,"LINESTRING (-8.0492012 43.6616454, -8.049218 43.6617056, -8.0492424 43.6617926, -8.0492108 43.662095, -8.0492312 43.6623949)",,,
90438075,,,residential,True,False,16.062,,"LINESTRING (-8.0563976 43.6601269, -8.0562677 43.6600172)",,,
226956046,,Rúa do Mariñeiro,residential,True,False,17.495,,"LINESTRING (-8.0563976 43.6601269, -8.0564548 43.6599751)",,,
33910541,AC-566,Avenida de Castelao,primary,False,False,25.97,2,"LINESTRING (-8.0508858 43.6582578, -8.0508138 43.6581979, -8.0506739 43.6580816)",,50,
33910541,AC-566,Avenida de Castelao,primary,False,True,91.273,2,"LINESTRING (-8.0508858 43.6582578, -8.051565 43.6588229, -8.0516303 43.6588772)",,50,
90437990,,Rúa San Sarduniño,residential,True,False,45.827000000000005,,"LINESTRING (-8.0508858 43.6582578, -8.0509606 43.6582097, -8.0513117 43.6579841)",,,
232193964,,Rúa da Pitillera,residential,False,False,75.494,,"LINESTRING (-8.0508858 43.6582578, -8.0508119 43.6583137, -8.0507066 43.6583932, -8.0504911 43.6585211, -8.0504126 43.6588053)",,,
232194499,DP-2204,Avenida Zumalacárregui,residential,False,False,9.685,,"LINESTRING (-8.0532845 43.661853, -8.0533616 43.6617861)",,,
232194499,DP-2204,Avenida Zumalacárregui,residential,False,True,42.607,,"LINESTRING (-8.0532845 43.661853, -8.0529417 43.6621451)",,,
401974466,,Camiño Real da Madalena,residential,True,False,8.649,,"LINESTRING (-8.0506513 43.6565588, -8.0505578 43.6565204)",,,
90438047,,Rúa Cariño,residential,True,False,66.223,,"LINESTRING (-8.0506513 43.6565588, -8.0505884 43.6565958, -8.0500127 43.6569346)",,,
90437959,,Rúa da Silva,residential,False,True,122.95100000000001,,"LINESTRING (-8.0507251 43.6621611, -8.0505971 43.6621811, -8.0493695 43.6623733, -8.0492312 43.6623949)",,,
90437992,,Rúa da Paz,residential,False,True,32.496,,"LINESTRING (-8.0507251 43.6621611, -8.0507032 43.6622621, -8.0506624 43.6624498)",,,
232194129,,Camiño da Silva,residential,True,False,96.501,,"LINESTRING (-8.0507251 43.6621611, -8.0506555 43.6620917, -8.0505858 43.6620222, -8.0500806 43.6617167, -8.0500198 43.6615678, -8.0499945 43.6615058)",,,
90438021,,Avenida Ezequiel López,residential,True,False,45.076,,"LINESTRING (-8.0562737 43.6605087, -8.0563008 43.6604672, -8.0563561 43.6603826, -8.0563756 43.660339, -8.0564235 43.6602445, -8.0564155 43.6601804, -8.0563976 43.6601269)",,,
90437963,,Rúa Lagoa,residential,False,True,64.93,,"LINESTRING (-8.0490901 43.6596207, -8.0488229 43.6601717)",,,
402646033,,Rúa Lagoa,residential,True,False,42.55500000000001,,"LINESTRING (-8.0490901 43.6596207, -8.0492418 43.6593081, -8.0492653 43.6592596)",,,
90437944,,Rúa Granxa,residential,False,True,35.457,,"LINESTRING (-8.0498079 43.6632021, -8.0497343 43.6635165)",,,
402642783,,Rúa Mañón,residential,False,False,20.483,,"LINESTRING (-8.0498079 43.6632021, -8.0500589 43.6632331)",,,
90438099,,Rúa Mañón,residential,False,True,62.422999999999995,,"LINESTRING (-8.0498079 43.6632021, -8.0496791 43.6631848, -8.0492143 43.663127, -8.0490472 43.6630935)",,,
402905529,,Rúa Rosalía de Castro,residential,False,True,18.571,,"LINESTRING (-8.0547315 43.6611504, -8.0545278 43.6610718)",,,
226956030,,Rúa de Ortigueira,residential,True,False,48.18,,"LINESTRING (-8.0547315 43.6611504, -8.0546488 43.6612286, -8.0543675 43.6614945)",,,
"[402905529, 33910530]",,Rúa Rosalía de Castro,residential,False,False,60.723000000000006,,"LINESTRING (-8.0547315 43.6611504, -8.0548234 43.661182, -8.0553223 43.6614108, -8.055375 43.661435)",,,yes
