osmid,oneway,name,highway,reversed,length,geometry,lanes,maxspeed,ref,access,junction,tunnel
187057724,True,Carrer de Ramon Sala i Messeguer,residential,False,134.259,"LINESTRING (2.0754499 41.35216, 2.0738718 41.3519265)",,,,,,
4748048,True,Carrer de Joan Fiveller,residential,False,12.671,"LINESTRING (2.0755878 41.3517077, 2.0755686 41.351765, 2.0755507 41.3518182)",,,,,,
590718459,True,Passeig dels Ferrocarrils Catalans,tertiary,False,49.161,"LINESTRING (2.0755878 41.3517077, 2.0756641 41.3517191, 2.0761654 41.3517941)",1,30,,,,
187057724,True,Carrer de Ramon Sala i Messeguer,residential,False,18.294,"LINESTRING (2.0759641 41.3522454, 2.0758384 41.3522277, 2.0757487 41.352215)",,,,,,
175278042,True,Carrer de Menéndez y Pelayo,living_street,False,62.251,"LINESTRING (2.071633 41.3534953, 2.0716133 41.3534816, 2.071178 41.3531541, 2.0711078 41.3530979)",,20,,,,
186649156,True,Carrer de Mossèn Jacint Verdaguer,residential,False,19.663,"LINESTRING (2.071633 41.3534953, 2.0716794 41.3534652, 2.0717372 41.3534407, 2.0717898 41.3534322, 2.0718438 41.3534303)",1,30,,,,
238872128,True,Carretera d'Esplugues,tertiary,False,58.358000000000004,"LINESTRING (2.06733 41.3564426, 2.067789 41.3566218, 2.0679547 41.356678)",2,50,C-245,,,
4748053,True,Carrer de Bartolomé Esteban Murillo,residential,False,107.456,"LINESTRING (2.067831 41.3555524, 2.06733 41.3564426)",,,,,,
"[41559915, 4748100]",True,"['Carrer de Manuel de Lasarte i Pessino', 'Carrer de Pius XII']",residential,False,157.94400000000002,"LINESTRING (2.067831 41.3555524, 2.0683463 41.3557258, 2.0679547 41.356678)",,,,,,
190998766,False,Carrer de Miquel de Ronacalí i Destefanís,residential,False,82.979,"LINESTRING (2.0684775 41.3545119, 2.0685393 41.3545323, 2.0689138 41.3546725, 2.0693685 41.3548428)",,,,,,
191000198,True,Carrer de Bartolomé Esteban Murillo,residential,False,128.83499999999998,"LINESTRING (2.0684775 41.3545119, 2.0684836 41.3545219, 2.0684893 41.354534, 2.0684903 41.3545445, 2.0684883 41.3545543, 2.0684819 41.3545711, 2.0684714 41.3545886, 2.0684474 41.3546271, 2.0683964 41.3546999, 2.0682676 41.3548674, 2.0681801 41.3549898, 2.067831 41.3555524)",,,,,,
540467440,False,Carretera de Sant Boi,tertiary,False,70.325,"LINESTRING (2.0649812 41.3556148, 2.0657253 41.3559115)",5,50,C-245,,,
4748058,True,Carrer de Domènec Martí i Julià,residential,False,101.172,"LINESTRING (2.0649812 41.3556148, 2.0650056 41.3555832, 2.0650738 41.355495, 2.0655435 41.3548924, 2.0655927 41.3548292)",1,,,yes,,
238872128,True,Carretera d'Esplugues,tertiary,False,65.487,"LINESTRING (2.0679547 41.356678, 2.0680926 41.3567121, 2.0682956 41.3567451, 2.0686231 41.3567594, 2.0687259 41.3567694)",2,50,C-245,,,
177929777,False,Avinguda del Parc,residential,True,43.67,"LINESTRING (2.0763106 41.3596065, 2.0760486 41.359628, 2.075789 41.3596233)",,30,,,,
238872124,True,Carrer de Palma de Mallorca,residential,False,29.581,"LINESTRING (2.0746141 41.3591426, 2.074419 41.3593647)",,,,,,
177929777,False,Avinguda del Parc,residential,False,74.96199999999999,"LINESTRING (2.0746141 41.3591426, 2.0751259 41.3593964, 2.0753635 41.3595142)",,30,,,,
177929777,False,Avinguda del Parc,residential,True,62.165,"LINESTRING (2.0746141 41.3591426, 2.0740387 41.3588628, 2.0740113 41.3588527, 2.0739838 41.3588465)",,30,,,,
177929777,False,Avinguda del Parc,residential,False,43.67,"LINESTRING (2.075789 41.3596233, 2.0760486 41.359628, 2.0763106 41.3596065)",,30,,,,
177929777,False,Avinguda del Parc,residential,True,38.209999999999994,"LINESTRING (2.075789 41.3596233, 2.0756755 41.3596168, 2.0755644 41.3595971, 2.075456 41.3595593, 2.0753635 41.3595142)",,30,,,,
967906762,True,Carrer del Benestar,residential,False,65.103,"LINESTRING (2.074985 41.3575983, 2.0756383 41.3579182)",,,,,,
180482169,True,Carrer de la Florida,residential,False,108.35000000000001,"LINESTRING (2.074985 41.3575983, 2.0756029 41.3568208, 2.0756483 41.3567607)",,,,,,
266871186,True,Carrer Bonveí,residential,False,60.099,"LINESTRING (2.0756383 41.3579182, 2.0752581 41.3583772)",,,,,,
967906762,True,Carrer del Benestar,residential,False,56.708,"LINESTRING (2.0756383 41.3579182, 2.076218 41.3581842)",,,,,,
180482169,True,Carrer de la Florida,residential,False,101.003,"LINESTRING (2.0739838 41.3588465, 2.0746062 41.3580675)",,,,,,
177929777,False,Avinguda del Parc,residential,False,62.165,"LINESTRING (2.0739838 41.3588465, 2.0740113 41.3588527, 2.0740387 41.3588628, 2.0746141 41.3591426)",,30,,,,
177929777,False,Avinguda del Parc,residential,True,5.78,"LINESTRING (2.0739838 41.3588465, 2.0739671 41.3588444, 2.0739504 41.358845, 2.0739348 41.3588471, 2.0739164 41.3588525)",,30,,,,
"[909722164, 912455190, 551625663]",False,Avinguda de Salvador Allende,residential,"[False, True]",165.338,"LINESTRING (2.0756483 41.3567607, 2.075456 41.3567518, 2.0751656 41.3567613, 2.074981 41.3567701, 2.0747913 41.3567859, 2.0746087 41.3568081, 2.0745428 41.3568175, 2.0743252 41.3568527, 2.0741766 41.356875, 2.0739656 41.356905, 2.0737941 41.3569369, 2.0737363 41.3569483, 2.0736934 41.3569568)",2,30,,,,
551625663,False,Avinguda de Salvador Allende,residential,True,70.05499999999999,"LINESTRING (2.0756483 41.3567607, 2.0757339 41.3567691, 2.0758494 41.3567775, 2.0760517 41.3568047, 2.0762557 41.3568509, 2.0763598 41.3568789, 2.0764614 41.3569059)",2,30,,,,
4783679,True,Carrer Bonavista,residential,False,164.187,"LINESTRING (2.0753635 41.3595142, 2.076218 41.3581842)",,,,,,
177929777,False,Avinguda del Parc,residential,False,38.21,"LINESTRING (2.0753635 41.3595142, 2.075456 41.3595593, 2.0755644 41.3595971, 2.0756755 41.3596168, 2.075789 41.3596233)",,30,,,,
